TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
26 junio 2023 00:28 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
922,420,45.5531,420,45.5531,0,154345,99799,64.6596

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNIONISTA,CABAL,AZUL,URNG-MAIZ WINAQ,VAMOS,PHG,VICTORIA,MLP,PR,P A N,UR,PIN,BIEN,VALOR,UNE,PPN,FCN-NACION,VIVA,ELEFANTE,CREO,CAMBIO,PODEMOS,MI FAMILIA,SEMILLA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5888,"Chimaltenango",3,"Chimaltenango",1,619,400,8,5,7,8,15,19,3,6,6,1,2,3,0,3,11,12,1,5,30,4,1,8,1,5,30,18,212,44,8,264,0,264,--,--,--,212,264,264,Algún campo sin dato,1,4d3aaaba0ee1c483aed0e8bc3c6dc705edec9daffb4e1d4dd1138cd30be07f25,25/06/2023 23:38:51,ESCANER
5889,"Chimaltenango",3,"Chimaltenango",1,619,400,7,1,19,13,11,13,6,4,4,4,0,3,1,2,3,11,4,7,25,3,4,9,5,3,30,12,204,31,3,238,0,238,--,400,162,204,238,238,Algún campo sin dato,1,dc4659d5bdad0faf63fa54b40d1e8ce28996e9bbc8ca85a666af8140c93ff4a4,25/06/2023 23:26:58,ESCANER
5890,"Chimaltenango",3,"Chimaltenango",1,619,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5891,"Chimaltenango",3,"Chimaltenango",1,619,400,7,4,14,13,10,15,3,6,2,2,3,1,0,2,11,11,3,3,21,2,3,13,5,2,29,11,196,37,11,244,0,244,--,400,156,196,244,244,Algún campo sin dato,1,cc68dfee18e8b30ce1c9fdc3a91a7dcf26079cc3b022a0733808a575fbd70ad6,26/06/2023 00:27:18,ESCANER
5892,"Chimaltenango",3,"Chimaltenango",1,620,400,6,3,10,12,8,16,3,4,7,0,0,0,0,4,3,7,2,6,16,2,4,13,3,7,76,20,232,26,2,260,0,260,0,400,140,232,260,260,,1,c2f1673e333ea82ae510478b07c542f7471be0c9d587294ebf7fa12a75a00f1e,25/06/2023 22:09:28,ESCANER
5893,"Chimaltenango",3,"Chimaltenango",1,620,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5894,"Chimaltenango",3,"Chimaltenango",1,620,257,6,3,6,4,6,8,1,2,2,1,0,0,1,1,1,2,1,4,10,2,0,8,2,1,33,12,117,13,0,130,0,130,--,257,127,117,130,130,Algún campo sin dato,1,8d28cd2eee54cc474dccb7da47c6996d8d83f04616c24304045600008150ec4d,25/06/2023 23:34:57,ESCANER
5895,"Chimaltenango",3,"Chimaltenango",1,620,256,7,2,4,7,4,8,1,3,2,0,1,0,0,2,6,3,3,2,8,1,0,5,2,2,35,7,115,12,1,128,0,128,0,256,128,115,128,128,,1,38f543b7fb08968d94c0330a0a4ef50e8d52ce9a589da906881b2e98d1360616,25/06/2023 22:56:04,ESCANER
5896,"Chimaltenango",3,"Chimaltenango",1,621,400,10,0,16,8,14,20,3,6,6,1,3,2,1,4,7,4,4,6,33,0,3,14,3,4,26,13,211,35,16,262,0,262,--,400,138,211,262,262,Algún campo sin dato,1,a54b8d2b4ea23d64bbe8045ddaad2566f9f0d3444146e7bb406f2dd8b94832e2,25/06/2023 23:49:09,ESCANER
5897,"Chimaltenango",3,"Chimaltenango",1,621,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5898,"Chimaltenango",3,"Chimaltenango",1,621,400,4,4,16,16,11,16,3,12,1,1,1,3,2,5,7,9,7,7,25,6,4,15,5,3,27,17,227,51,9,287,0,287,0,400,113,227,287,287,,1,d278ce0c18c3398d02a59c183c453c01f948bcd2572286f01397d1f2f53a2416,26/06/2023 00:04:36,ESCANER
5899,"Chimaltenango",3,"Chimaltenango",1,621,400,17,4,11,8,8,14,3,7,6,0,3,3,0,4,9,8,6,8,24,4,3,15,6,3,28,12,214,47,8,269,0,269,--,400,128,214,269,269,Algún campo sin dato,1,2e7af17b6ced2057b6156ce5ec721b657797b758fa07d7430846a8678a862c62,25/06/2023 23:54:55,ESCANER
5900,"Chimaltenango",3,"Chimaltenango",1,621,400,15,4,18,7,11,16,1,9,2,0,3,4,2,3,5,8,4,3,42,11,2,13,6,6,15,18,228,40,7,275,0,275,--,400,125,228,275,275,Algún campo sin dato,1,5b275577308be822277fbfd0eedbe56da8cb1496363fc490ab3c4b25930d5136,25/06/2023 22:15:52,ESCANER
5901,"Chimaltenango",3,"Chimaltenango",1,621,400,13,1,12,8,17,11,4,5,7,1,1,1,0,5,4,12,10,4,33,4,3,12,1,0,33,18,220,32,5,257,0,257,--,400,143,220,257,257,Algún campo sin dato,1,db08f928aa455e115adda51a0e0eaf3c455330bcb58eed7cc808e01bd23ca2f0,26/06/2023 00:19:54,ESCANER
5902,"Chimaltenango",3,"Chimaltenango",1,621,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5903,"Chimaltenango",3,"Chimaltenango",1,621,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5904,"Chimaltenango",3,"Chimaltenango",1,621,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5905,"Chimaltenango",3,"Chimaltenango",1,621,400,7,4,11,17,8,10,5,5,5,3,1,2,1,2,8,8,6,4,15,6,0,13,2,2,33,21,199,51,10,260,--,--,1,400,140,199,260,260,Algún campo sin dato,1,60f5b3adfe212c738003ffe1826ede12142f293e73fd1841598cae7d85451754,26/06/2023 00:14:32,ESCANER
5906,"Chimaltenango",3,"Chimaltenango",1,621,400,10,4,8,18,12,17,1,3,3,0,5,4,0,1,4,11,6,10,31,7,2,11,4,1,28,18,219,48,9,276,0,276,--,400,124,219,276,276,Algún campo sin dato,1,a3ba7f3da097841e7f6f835935324d35c66b39b4e6d2cddf6d48a8dc3e2bb9fd,25/06/2023 23:59:20,ESCANER
5907,"Chimaltenango",3,"Chimaltenango",1,621,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5908,"Chimaltenango",3,"Chimaltenango",1,621,400,8,2,11,5,9,18,0,2,2,1,3,2,2,3,9,7,6,6,24,3,2,20,2,4,28,10,189,43,15,247,0,247,--,400,153,189,247,247,Algún campo sin dato,1,a78176c41ee320e13b22d545a86aaaedede9c61106000e0555fd8526e14b0471,26/06/2023 00:24:11,ESCANER
5909,"Chimaltenango",3,"Chimaltenango",1,621,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5910,"Chimaltenango",3,"Chimaltenango",1,621,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5911,"Chimaltenango",3,"Chimaltenango",1,621,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5912,"Chimaltenango",3,"Chimaltenango",1,621,269,2,1,4,1,7,5,0,2,0,0,0,0,0,4,4,4,0,0,20,0,0,6,0,0,44,11,117,22,4,143,0,143,0,--,--,115,141,141,Sumas Asentadas sin cuadrar,1,8faa3e2cb41068197a61dbc5f6abdec92c6f8906f05f6a670453a160f9f273f7,25/06/2023 22:49:44,ESCANER
5913,"Chimaltenango",3,"Chimaltenango",1,621,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5914,"Chimaltenango",3,"Chimaltenango",1,622,400,11,1,23,13,10,11,6,4,1,--,1,3,1,4,10,13,3,9,21,6,4,18,6,6,23,14,222,40,3,265,0,265,0,400,135,222,265,265,Algún campo sin dato,1,75c7c3c3c8493fde100f09bee73e3f02ad4cf5f6c47860da1c9c91c9473f3198,25/06/2023 22:59:26,ESCANER
5915,"Chimaltenango",3,"Chimaltenango",1,622,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5916,"Chimaltenango",3,"Chimaltenango",1,622,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5917,"Chimaltenango",3,"Chimaltenango",1,622,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5918,"Chimaltenango",3,"Chimaltenango",1,622,400,14,3,11,12,15,10,1,5,6,0,2,1,1,2,7,8,6,6,29,6,7,16,4,7,39,14,232,46,10,288,0,288,0,400,112,232,288,288,,1,b40fea3fde89eab27f293397b62199f2d1d2806bb769117bde716991851fd557,26/06/2023 00:28:01,ESCANER
5919,"Chimaltenango",3,"Chimaltenango",1,622,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5920,"Chimaltenango",3,"Chimaltenango",1,622,400,8,4,22,12,14,12,5,6,3,2,0,0,0,1,5,7,3,4,25,7,3,8,4,5,34,22,216,43,4,263,0,263,--,--,137,216,263,263,Algún campo sin dato,1,8944f21d74915cb4d4c9c915704f174217408c3c9466d292e9e643dff7b20532,26/06/2023 00:15:57,ESCANER
5921,"Chimaltenango",3,"Chimaltenango",1,622,400,16,3,23,13,21,16,5,6,7,1,0,0,1,3,9,6,4,5,26,3,2,15,2,3,36,27,253,45,4,302,0,302,0,400,98,253,302,302,,1,31b9100fbd0dd03826adc7a7ac96f506964e2a4084b007defeff8c37b2668894,25/06/2023 23:27:32,ESCANER
5922,"Chimaltenango",3,"Chimaltenango",1,622,400,13,6,20,8,16,14,7,6,5,2,2,2,0,0,10,4,3,4,28,4,6,9,6,3,20,24,222,28,7,257,0,257,--,400,143,222,257,257,Algún campo sin dato,1,4dc1d1975c5de3b44ee0762afa635e2f410289d92ab5ab460c370d4f3d95e2f1,25/06/2023 23:45:00,ESCANER
5923,"Chimaltenango",3,"Chimaltenango",1,622,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5924,"Chimaltenango",3,"Chimaltenango",1,622,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5925,"Chimaltenango",3,"Chimaltenango",1,622,400,6,1,22,7,13,20,2,4,3,0,1,1,0,4,3,9,1,5,21,3,2,14,2,2,45,21,212,31,6,249,0,249,--,400,151,212,249,249,Algún campo sin dato,1,cb4c8f15661280d5a41c35cf9604c6b039d94ce61ce27834d34276020d0e20c0,25/06/2023 23:54:44,ESCANER
5926,"Chimaltenango",3,"Chimaltenango",1,622,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5927,"Chimaltenango",3,"Chimaltenango",1,622,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5928,"Chimaltenango",3,"Chimaltenango",1,622,395,4,7,12,10,6,7,3,0,5,0,1,0,1,1,2,1,2,1,13,3,5,8,0,5,44,10,151,24,2,177,2,179,0,395,216,151,177,179,,1,1f133b1d87b8db5001c616a0b39f7bc59d983528dc0f5a6f388c41cfaea8c976,25/06/2023 22:26:29,ESCANER
5929,"Chimaltenango",3,"Chimaltenango",1,623,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5930,"Chimaltenango",3,"Chimaltenango",1,623,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5931,"Chimaltenango",3,"Chimaltenango",1,623,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5932,"Chimaltenango",3,"Chimaltenango",1,623,400,13,4,16,14,19,18,2,9,9,1,1,6,0,5,6,8,5,7,28,5,9,21,5,6,19,22,258,54,10,322,0,322,--,400,78,258,322,322,Algún campo sin dato,1,4585d5537e4f3aa8c3e628a991c73e78b27057d6319a6d381249081e2aca9c4e,26/06/2023 00:06:13,ESCANER
5933,"Chimaltenango",3,"Chimaltenango",1,623,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5934,"Chimaltenango",3,"Chimaltenango",1,624,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5935,"Chimaltenango",3,"Chimaltenango",1,624,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5936,"Chimaltenango",3,"Chimaltenango",1,624,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5937,"Chimaltenango",3,"Chimaltenango",1,624,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5938,"Chimaltenango",3,"Chimaltenango",1,625,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5939,"Chimaltenango",3,"Chimaltenango",1,625,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5940,"Chimaltenango",3,"Chimaltenango",1,625,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5941,"Chimaltenango",3,"Chimaltenango",1,625,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5942,"Chimaltenango",3,"Chimaltenango",1,626,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5943,"Chimaltenango",3,"Chimaltenango",1,626,374,6,1,10,7,15,16,2,5,6,2,2,2,1,4,4,8,4,8,12,5,1,16,4,4,51,20,216,25,3,244,0,244,--,374,130,216,244,244,Algún campo sin dato,1,eab494763ea8306cc602d16ab4b2e065ff5a338db508b601e8c1d226d8d3b4b0,26/06/2023 00:14:27,ESCANER
5944,"Chimaltenango",3,"Chimaltenango",1,626,373,3,4,12,9,5,21,3,3,2,2,0,1,1,0,4,7,1,1,12,2,1,11,3,1,32,15,156,19,1,176,0,176,--,373,197,156,176,176,Algún campo sin dato,1,f440cd7e662fcec65edb7aa5eac20cdd6e88d159fc32869f4984585e862c1508,25/06/2023 23:15:27,ESCANER
5945,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5946,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5947,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5948,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5949,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5950,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5951,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5952,"Chimaltenango",3,"Chimaltenango",1,627,400,11,3,10,13,12,4,4,2,4,1,2,2,1,3,4,14,4,4,27,3,0,19,4,3,33,23,210,33,10,253,0,253,--,400,147,210,253,253,Algún campo sin dato,1,e2d9369ddf81e45cc3ff1b93e085527e3a8bdbb0b657fab6d1ca195f83ce15ad,25/06/2023 23:26:42,ESCANER
5953,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5954,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5955,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5956,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5957,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5958,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5959,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5960,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5961,"Chimaltenango",3,"Chimaltenango",1,627,400,12,3,13,11,6,13,2,4,3,0,1,1,1,0,5,15,2,4,26,2,1,15,5,3,31,10,189,34,10,233,0,233,--,400,167,189,233,233,Algún campo sin dato,1,ff1d7164b93fad9e33b51cbefca90382978e009d22cb8bf890913fd29e140877,25/06/2023 23:17:14,ESCANER
5962,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5963,"Chimaltenango",3,"Chimaltenango",1,627,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5964,"Chimaltenango",3,"Chimaltenango",1,627,400,6,5,8,10,12,10,3,5,3,2,1,4,1,5,9,7,3,5,21,4,1,10,4,5,66,16,226,27,5,258,0,258,--,400,142,226,258,258,Algún campo sin dato,1,3f1dd8aed5be7950d7cfe5d0075c32b653a3f3949234fd811ac1fa01202a741d,25/06/2023 23:32:54,ESCANER
5965,"Chimaltenango",3,"Chimaltenango",1,627,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5966,"Chimaltenango",3,"Chimaltenango",1,627,390,8,1,6,1,8,11,1,6,1,2,0,3,0,5,6,7,1,3,27,1,2,10,3,2,37,5,157,20,3,180,0,180,--,--,--,157,180,180,Algún campo sin dato,1,af7d95b898df53dfa4e9502f1925b3e44a049cc37cc9f0a31282477ce194720f,25/06/2023 23:31:37,ESCANER
5967,"Chimaltenango",3,"Chimaltenango",1,628,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5968,"Chimaltenango",3,"Chimaltenango",1,628,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5969,"Chimaltenango",3,"Chimaltenango",1,628,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5970,"Chimaltenango",3,"Chimaltenango",1,628,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5971,"Chimaltenango",3,"Chimaltenango",1,628,380,12,2,10,3,13,24,0,10,5,0,5,3,0,3,6,14,2,10,27,7,3,17,0,1,14,6,197,24,16,237,0,237,--,380,143,197,237,237,Algún campo sin dato,1,9094209cda59f8eb083c4a9f858fdae5c657a935db7746e07d6c5bef0e5273fe,26/06/2023 00:23:11,ESCANER
5972,"Chimaltenango",3,"Chimaltenango",1,628,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5973,"Chimaltenango",3,"Chimaltenango",1,628,380,15,4,12,3,4,33,1,11,2,0,6,1,1,1,5,21,3,11,39,6,0,4,3,2,18,4,210,33,10,253,0,253,0,380,127,210,253,253,,1,faafbc5b9eb3f9b49ab7df864d45fd7159e1711528ddd65a642a4220fe2cec20,26/06/2023 00:15:36,ESCANER
5974,"Chimaltenango",3,"Chimaltenango",1,628,380,9,6,17,7,7,25,2,9,2,1,5,3,0,3,1,12,7,9,39,5,2,1,1,5,11,6,195,28,14,237,0,237,0,380,143,195,237,237,,1,affbef684cc914ddc8b853f4956a19743375a481644dc56f928d88aa2fb64340,26/06/2023 00:07:45,ESCANER
5975,"Chimaltenango",3,"Chimaltenango",1,628,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5976,"Chimaltenango",3,"Chimaltenango",1,628,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5977,"Chimaltenango",3,"Chimaltenango",1,628,380,9,4,10,4,7,18,0,6,1,0,4,0,0,2,8,17,4,12,24,5,1,14,1,5,18,10,184,24,7,215,0,215,--,379,164,184,215,215,Algún campo sin dato,1,017edfa017824246b1ec940181eedda3c81f0867230b96c62491bfdf6746de49,25/06/2023 23:58:10,ESCANER
5978,"Chimaltenango",3,"Chimaltenango",1,629,380,14,1,6,5,6,22,0,7,4,1,3,1,1,3,4,14,1,12,21,3,1,14,0,1,22,10,177,27,2,206,0,206,--,380,174,177,206,206,Algún campo sin dato,1,026ef8d8a9315b9b7481c5de095bb4abf32b0c930f97e20a1bc16b87d75460fc,25/06/2023 23:05:20,ESCANER
5979,"Chimaltenango",3,"Chimaltenango",1,629,269,5,5,5,1,2,9,0,6,1,0,2,1,0,0,4,12,1,8,13,3,1,2,0,1,16,3,121,10,14,125,0,125,--,269,144,101,125,125,Sumas Asentadas sin cuadrar,1,6c97d163b7313434d7847535d26d8f195f938bde0dc73bd94d80c3543de4b889,25/06/2023 22:33:52,ESCANER
5980,"Chimaltenango",3,"Chimaltenango",1,629,269,5,4,4,0,5,17,1,6,2,0,0,1,0,1,2,9,0,4,9,2,1,3,0,0,11,4,91,6,5,102,0,102,--,269,167,91,102,102,Algún campo sin dato,1,bc577e6cc90cd85adb047bcd69606a676fec67a5daedab37589e560c23d2358b,25/06/2023 22:09:45,ESCANER
5981,"Chimaltenango",3,"Chimaltenango",1,630,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
