TIPO_DE_ELECCIÓN:;PRESIDENTE Y VICEPRESIDENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03 junio 2023 09:43 (UTC -6);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACTAS_ESPERADAS;ACTAS_CAPTURADAS;PORCENTAJE_ACTAS_CAPTURADAS;ACTAS_CONTABILIZADAS;PORCENTAJE_ACTAS_CONTABILIZADAS;ACTAS_NO_CONTABILIZADAS;LISTA_NOMINAL_ACTAS_CONTABILIZADAS;VOTOS_EMITIDOS_CONTABILIZADAS;PORCENTAJE_PARTICIPACIÓN_CIUDADANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24585;0;0;0;0;0;0;0;--.----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MESA;DEPARTAMENTO;ID_DEPARTAMENTO;MUNICIPIO;ID_MUNICIPIO;CENTRO_DE_VOTACIÓN;PADRÓN;CUARENTA Y UNO ;QUINCE ;TREINTA Y DOS ;TREINTA Y TRES ;VEINTITRES ;TREINTA Y SEIS ;VEINTIOCHO ;TREINTA ;TREINTA Y CUATRO ;DIECIOCHO ;TRECE ;TREINTA Y OCHO ;TREINTA Y SIETE ;ONCE ;DIECISEIS ;VEINTINUEVE ;CINCUENTA Y SIETE ;DIECISIETE ;VEINTISEIS ;TREINTA Y UNO ;TREINTA Y CINCO ;VEINTE ;DOCE ;VÁLIDOS;NULOS;BLANCO;EMITIDOS;INVÁLIDOS;TOTAL;IMPUGNACIONES;PRES-VOTAR;VALIDOS_CALCULADO;EMITIDOS_CALCULADO;TOTAL_CALCULADO;OBSERVACIONES;CONTABILIZADA;CÓDIGO_INTEGRIDAD;FECHA_HORA_PUBLICACIÓN;DIGITALIZACIÓN
1;Distrito Central;0;Guatemala;1;1;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
2;Distrito Central;0;Guatemala;1;1;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
3;Distrito Central;0;Guatemala;1;1;277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
4;Distrito Central;0;Guatemala;1;1;277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
5;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
6;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
7;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
8;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
9;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
10;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
11;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
12;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
13;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
14;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
15;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
16;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
17;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
18;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
19;Distrito Central;0;Guatemala;1;2;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
20;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
21;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
22;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
23;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
24;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
25;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
26;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
27;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
28;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
29;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
30;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
31;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
32;Distrito Central;0;Guatemala;1;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
33;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
34;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
35;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
36;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
37;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
38;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
39;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
40;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
41;Distrito Central;0;Guatemala;1;4;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
