TIPO_DE_ELECCIÓN:,PRESIDENTE Y VICEPRESIDENTE
25 junio 2023 20:54 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
24585,2314,9.4122,2311,9.4000,3,890962,476417,53.4722

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,AZUL,VALOR UNIONISTA,CABAL,TODOS,VAMOS,PHG,PR,PIN,ELEFANTE,VICTORIA,SEMILLA,FCN-NACION,PPN,UR,URNG-MAIZ WINAQ,CREO,BIEN,VIVA,MI FAMILIA,CAMBIO,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,PRES-VOTAR,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
1,"Distrito Central",0,"Guatemala",1,1,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2,"Distrito Central",0,"Guatemala",1,1,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3,"Distrito Central",0,"Guatemala",1,1,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
4,"Distrito Central",0,"Guatemala",1,1,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
7,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
8,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
9,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
10,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
11,"Distrito Central",0,"Guatemala",1,2,400,12,5,35,22,0,6,1,3,0,2,4,81,0,0,6,4,9,9,4,9,1,39,252,18,0,270,0,270,--,401,131,270,252,270,270,Algún campo sin dato,1,0217f45c4674065179c33086607ffe77d16a21247f98dfd6772f7027799d34a7,25/06/2023 20:37:15,ESCANER
12,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
13,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
14,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
15,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
16,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
17,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
18,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19,"Distrito Central",0,"Guatemala",1,2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
20,"Distrito Central",0,"Guatemala",1,3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
21,"Distrito Central",0,"Guatemala",1,3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
22,"Distrito Central",0,"Guatemala",1,3,400,20,3,32,35,1,4,0,6,1,0,7,73,0,0,3,9,2,14,2,10,0,29,251,25,0,276,0,276,--,400,124,124,251,276,276,Algún campo sin dato,1,0b57b22bea08ece115d3fecf9cc46cad1e148d8268d763d067cfb24826e25922,25/06/2023 19:35:07,ESCANER
23,"Distrito Central",0,"Guatemala",1,3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
24,"Distrito Central",0,"Guatemala",1,3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
25,"Distrito Central",0,"Guatemala",1,3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
26,"Distrito Central",0,"Guatemala",1,3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
27,"Distrito Central",0,"Guatemala",1,3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
28,"Distrito Central",0,"Guatemala",1,3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
29,"Distrito Central",0,"Guatemala",1,3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
30,"Distrito Central",0,"Guatemala",1,3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
31,"Distrito Central",0,"Guatemala",1,3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
32,"Distrito Central",0,"Guatemala",1,3,400,17,9,34,14,0,1,0,1,1,4,3,63,1,0,5,6,5,11,14,6,0,17,212,29,1,242,158,400,--,400,158,242,212,242,400,Algún campo sin dato,1,05f5ffc4cfa6f414a522c0e5d56cad83d9b44d942cfcfd833568e219baaa9852,25/06/2023 19:45:14,ESCANER
33,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
34,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
35,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
36,"Distrito Central",0,"Guatemala",1,4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
37,"Distrito Central",0,"Guatemala",1,4,400,10,2,34,26,0,5,0,4,0,3,2,81,0,0,4,7,2,19,4,5,1,33,242,23,0,265,--,265,0,403,138,265,242,265,265,Algún campo sin dato,1,9401ccb57ae97b9854af5cf341841638a31399d307a69ce38eedec9d04a6b896,25/06/2023 20:03:19,ESCANER
