TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
151,151,100.0000,151,100.0000,0,56702,38206,67.3803

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,VALOR UNIONISTA,BIEN,PHG,PR,CREO,PPG,UNE,TODOS,AZUL,MLP,FCN-NACION,MI FAMILIA,PODEMOS,VOS,PPN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2024,"Guatemala",1,"Santa Catarina Pinula",2,153,400,3,2,119,1,18,1,8,4,107,9,1,2,1,0,1,6,0,1,284,9,3,296,0,296,--,400,104,284,296,296,Algún campo sin dato,1,2da1f7e3d7f58df6b656deef71aeb3709dd1d179b62e019ac1c1465fa40e6aac,26/06/2023 01:25:00,ESCANER
2025,"Guatemala",1,"Santa Catarina Pinula",2,153,400,2,3,106,2,13,3,5,4,123,10,1,1,2,0,2,5,3,4,289,13,1,303,0,303,--,400,94,289,303,303,Algún campo sin dato,1,27eb07cb0401bcecdef184aa98c3686aedd5d5bffc73c6db05ccd0ce12219445,26/06/2023 02:44:59,ESCANER
2026,"Guatemala",1,"Santa Catarina Pinula",2,153,400,2,3,97,0,18,0,9,4,102,6,0,1,5,1,2,7,2,2,261,6,5,272,0,272,--,400,128,261,272,272,Algún campo sin dato,1,ad40d416f71d277626ab9b59643525544527e15d7cead80b7b41a2e373256390,26/06/2023 01:45:10,ESCANER
2027,"Guatemala",1,"Santa Catarina Pinula",2,153,400,2,3,107,3,23,2,11,3,112,11,4,1,2,2,0,2,0,1,289,13,1,303,0,303,--,400,97,289,303,303,Algún campo sin dato,1,099b0e7bd8e521191d4625fdc3cf03918e56a13c5cbd8c9bcfd923579ef5c20d,26/06/2023 02:20:07,ESCANER
2028,"Guatemala",1,"Santa Catarina Pinula",2,153,400,1,2,100,6,19,1,8,7,134,11,1,0,4,1,2,8,3,3,311,6,0,317,0,317,--,400,83,311,317,317,Algún campo sin dato,1,dacd0d0a110d0601c3a061a16a4a9106155efc4bd9db7bd21d8f3eaf3f3ea73a,26/06/2023 02:57:18,ESCANER
2029,"Guatemala",1,"Santa Catarina Pinula",2,154,400,3,2,118,2,19,0,9,2,121,6,1,1,0,2,1,6,3,0,296,13,1,310,0,310,--,400,90,296,310,310,Algún campo sin dato,1,f52626797fe2c19dcbda3977c24b7cf84d7728c53bb9098c0fdab85e8b414354,26/06/2023 00:06:27,ESCANER
2030,"Guatemala",1,"Santa Catarina Pinula",2,154,400,4,0,121,3,18,2,12,6,114,11,1,0,3,2,3,2,2,3,307,6,1,314,0,314,--,400,86,307,314,314,Algún campo sin dato,1,2f2f6068b39cde9a949d235de79decbdbbc961d09f1c6bc91c784efc902a82cd,25/06/2023 23:22:10,ESCANER
2031,"Guatemala",1,"Santa Catarina Pinula",2,154,400,2,1,118,0,19,1,5,12,119,9,2,1,1,1,1,2,1,1,296,16,0,312,0,312,--,400,88,296,312,312,Algún campo sin dato,1,c910e98aa3bc8998bfaebc84aeafbb5d1ce8ed14eff09e14cf38d1dea7de4b79,26/06/2023 01:29:30,ESCANER
2032,"Guatemala",1,"Santa Catarina Pinula",2,154,400,2,2,121,1,20,2,9,5,103,5,3,0,6,2,1,4,1,2,289,16,3,308,0,308,--,400,89,289,308,308,Algún campo sin dato,1,ee8aacc6f1c3bf82512b47a1f945597553daff0448fd921786e0a1abe44a3aed,26/06/2023 00:48:54,ESCANER
2033,"Guatemala",1,"Santa Catarina Pinula",2,154,400,2,2,100,4,16,1,12,4,104,8,2,0,3,0,1,6,2,0,267,8,0,275,0,275,--,400,125,267,275,275,Algún campo sin dato,1,cad7372e31c7af0c92c96b12bb4c84b114cc9b8e0401cb09f24a14634b4dd260,26/06/2023 00:17:50,ESCANER
