TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
122,122,100.0000,122,100.0000,0,46334,29441,63.5408

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,BIEN,UNE,SEMILLA,PPG,PR,AZUL,CREO,VALOR,VICTORIA,FCN-NACION,UR,CAMBIO,P A N,PODEMOS,MLP,UNIONISTA,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2175,"Guatemala",1,"San José Pinula",3,173,400,69,12,16,67,6,3,6,25,12,27,5,0,5,1,0,2,3,2,3,264,20,0,284,0,284,--,400,116,264,284,284,Algún campo sin dato,1,1db37b95e6e521ee6d9e9d3481a1c347af6134e0a77d18cb15068408db4bd957,26/06/2023 02:02:18,ESCANER
2176,"Guatemala",1,"San José Pinula",3,173,400,89,13,8,50,8,4,4,20,7,25,3,1,4,1,0,1,1,4,3,246,14,1,261,0,261,--,400,139,246,261,261,Algún campo sin dato,1,7a31455b2acd1319982d22e3baa99eb06a19e880445d8ed2e2984297d8b7a795,25/06/2023 23:46:47,ESCANER
2177,"Guatemala",1,"San José Pinula",3,173,400,59,8,14,52,4,2,0,23,9,41,1,0,2,2,1,0,4,8,6,236,15,1,252,0,252,--,397,145,236,252,252,Algún campo sin dato,1,40a06337bc7358546d63042fbda14adb866335640df0176d97cdadca84ef4731,26/06/2023 02:47:53,ESCANER
2178,"Guatemala",1,"San José Pinula",3,173,400,62,13,11,67,16,4,5,24,13,28,2,0,9,2,0,0,3,4,5,268,11,5,284,0,284,--,400,116,268,284,284,Algún campo sin dato,1,c46cdf5ecd7981acd241bb8857698c3feab537f5f661830bbaaab500dfdd868e,26/06/2023 02:32:47,ESCANER
2179,"Guatemala",1,"San José Pinula",3,173,400,71,14,13,65,6,1,2,29,8,33,3,1,4,0,0,1,1,2,5,259,20,1,280,120,400,--,400,120,259,280,400,Algún campo sin dato,1,c611c5d1a062e3d45ba35d326da413b1a85f2ee34beab3a9e1cdbc18be9ee1af,26/06/2023 03:01:46,ESCANER
2180,"Guatemala",1,"San José Pinula",3,173,400,89,7,14,55,3,3,4,23,9,30,1,0,3,0,0,1,4,1,7,254,8,2,264,4,268,--,400,132,254,264,268,Algún campo sin dato,1,8a9b53556439ab2f1019acbc98d3d3b2d5832296afe36047648eb4bb5e973de5,26/06/2023 01:12:17,ESCANER
2181,"Guatemala",1,"San José Pinula",3,173,400,60,10,9,56,15,3,7,29,8,37,1,1,5,0,2,1,2,3,7,256,18,4,278,0,278,--,400,122,256,278,278,Algún campo sin dato,1,6f5845dca999c772bdf1b2f94c4f71b60319f539df723610051d2e3d1ea84c79,26/06/2023 00:25:28,ESCANER
2182,"Guatemala",1,"San José Pinula",3,173,400,67,9,14,49,10,7,3,37,11,28,2,1,7,0,1,0,4,4,13,267,18,3,288,0,288,--,400,112,267,288,288,Algún campo sin dato,1,221491cc347a4a3b6bbea02a4f94e77296703e1bbc48a0e182f6c6ab7b12e763,26/06/2023 02:14:47,ESCANER
2183,"Guatemala",1,"San José Pinula",3,173,400,68,5,12,60,9,2,1,20,8,34,4,0,6,2,0,0,5,6,7,249,16,0,265,0,265,--,400,135,249,265,265,Algún campo sin dato,1,d1475f8837b90ad161417e29d408bf0ca9028dc931d0e9bece21e9930c0ad44e,26/06/2023 01:38:00,ESCANER
2184,"Guatemala",1,"San José Pinula",3,173,400,89,6,12,64,8,2,9,27,10,32,5,0,8,2,1,0,3,2,3,283,12,6,301,0,301,--,400,99,283,301,301,Algún campo sin dato,1,8afdd94e904ae6c454c4a22446296dcd8e4a21c98406c8e6ad136d0218a0587b,26/06/2023 00:48:13,ESCANER
2185,"Guatemala",1,"San José Pinula",3,173,400,79,8,10,46,14,3,4,31,12,44,1,1,6,0,2,1,3,6,4,275,21,5,301,0,301,--,416,115,275,301,301,Algún campo sin dato,1,14ac503e559d6f57091c3e8731f632c00244db6b18aed2b831bd970ecc390524,25/06/2023 23:58:24,ESCANER
2186,"Guatemala",1,"San José Pinula",3,174,400,75,9,11,48,12,2,5,27,8,50,3,0,6,0,0,1,5,3,11,276,7,2,285,0,285,--,400,115,276,285,285,Algún campo sin dato,1,7983223e3a9edb4c23204abe3ef230594bc214dfa6003730f1b574f9871f9534,26/06/2023 00:20:01,ESCANER
2187,"Guatemala",1,"San José Pinula",3,174,400,78,9,12,40,14,1,4,31,8,24,0,0,4,0,0,0,3,7,3,238,8,1,247,0,247,--,400,153,238,247,247,Algún campo sin dato,1,b65a7dd2ad208754ecde57cd66ffe0bf1ed1130d28ec73a639dc542fa75d5b21,26/06/2023 00:07:31,ESCANER
2188,"Guatemala",1,"San José Pinula",3,174,400,69,5,4,58,16,2,4,26,7,33,2,1,4,1,0,0,0,8,6,246,2,1,249,0,249,--,400,151,246,249,249,Algún campo sin dato,1,90e8f583ea9d691b55c0ab4c2af0ef25c3e69559af595e67fbb5cc7b126b2706,26/06/2023 00:25:04,ESCANER
2189,"Guatemala",1,"San José Pinula",3,174,400,53,8,12,48,8,1,8,27,5,35,1,1,1,0,0,0,4,3,6,221,13,6,240,0,240,--,400,160,221,240,240,Algún campo sin dato,1,504cb4f387168baa943744b42d227bb0281f2560906595137467234e3e731b27,26/06/2023 00:52:43,ESCANER
2190,"Guatemala",1,"San José Pinula",3,174,400,78,10,10,42,11,3,5,30,6,33,0,0,2,1,0,2,2,4,6,245,14,1,260,0,260,--,400,140,245,260,260,Algún campo sin dato,1,3779e022b17fa83c9a56b81afe40af03d8731ad31b9e35477949a7af6699959f,26/06/2023 00:36:23,ESCANER
2191,"Guatemala",1,"San José Pinula",3,174,400,50,8,10,47,29,3,5,28,8,38,3,0,8,1,2,0,2,5,7,254,6,0,260,0,260,--,400,140,254,260,260,Algún campo sin dato,1,0f4a4abc78f28de7a08ca574d6899ec6aa843de425077d4d28179ed26f2ddfdc,26/06/2023 01:04:49,ESCANER
2192,"Guatemala",1,"San José Pinula",3,174,400,69,7,11,44,15,4,6,29,8,41,1,0,4,2,2,1,2,5,3,254,5,1,260,0,260,--,397,137,254,260,260,Algún campo sin dato,1,73881bc4dac4cc85061c7d9c495a33cd0181c50cdaf8a9882fe19c0e471755b3,25/06/2023 23:49:21,ESCANER
2193,"Guatemala",1,"San José Pinula",3,174,400,71,10,11,37,21,4,5,32,10,39,5,3,2,1,3,9,1,3,0,267,9,1,277,0,277,--,397,120,267,277,277,Algún campo sin dato,1,1b2e2b53aeabb04afcf2aee9c00dfe1b4ab384fcf7616efa09d5b464aba9f35f,26/06/2023 00:48:23,ESCANER
2194,"Guatemala",1,"San José Pinula",3,174,400,76,7,11,49,8,3,7,36,7,38,1,1,8,1,1,0,4,9,5,272,16,0,288,0,288,--,400,112,272,288,288,Algún campo sin dato,1,0e7f98b6894e331e2b738772b92dacfc722e53e6b13c035327402d40f7cc3b4b,26/06/2023 02:03:53,ESCANER
2195,"Guatemala",1,"San José Pinula",3,174,400,61,9,15,51,3,4,7,30,10,31,1,0,11,1,2,0,3,0,6,245,17,3,252,0,265,--,400,135,245,265,265,Sumas Asentadas sin cuadrar,1,4a40665b36f8cf66d00ba95179e44670c9ce5334d82f26ce3c0a830576d486fd,26/06/2023 00:34:04,ESCANER
2196,"Guatemala",1,"San José Pinula",3,174,400,59,10,8,51,14,2,6,32,8,32,0,2,5,0,2,1,2,10,8,252,0,1,253,12,265,--,400,135,252,253,265,Algún campo sin dato,1,28a0b0b94288ef286527f4f0b0425f3bcbca8de9c37f54d0d61982f2bb668366,26/06/2023 01:21:30,ESCANER
