TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
102,102,100.0000,102,100.0000,0,37775,20310,53.7657

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,VALOR,UNE,PHG,CAMBIO,VICTORIA,PPG,CREO,VOS,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2321,"Guatemala",1,"Palencia",5,195,400,98,17,22,17,4,37,1,1,0,3,11,211,15,7,233,0,233,--,400,167,211,233,233,Algún campo sin dato,1,59542fbc43cdb8c38e8de3bd38d2924367446c55ed2c31ab1a22ba8fc875539f,25/06/2023 23:47:03,ESCANER
2322,"Guatemala",1,"Palencia",5,195,400,99,19,25,13,11,36,1,0,1,6,10,221,18,0,239,0,239,--,400,161,221,239,239,Algún campo sin dato,1,b8d79fb6b1b7c634fc2fcd1f2b621c97bb8c6bc894ab22b3925821b3704b151d,26/06/2023 01:13:51,ESCANER
2323,"Guatemala",1,"Palencia",5,195,400,113,20,23,22,8,34,3,0,3,5,13,244,17,6,267,0,267,--,400,133,244,267,267,Algún campo sin dato,1,1637a83af27a95e877a82a4b91cbeeec04106b1c24773540f12e8db518bc0d69,26/06/2023 02:24:34,ESCANER
2324,"Guatemala",1,"Palencia",5,195,400,92,21,29,14,10,42,2,2,1,6,10,229,17,0,246,0,246,--,400,151,229,246,246,Algún campo sin dato,1,3cdd61a3fa950fa0ed807c3a32d6962be15b1692d743d162930ce03f93ef6208,26/06/2023 02:22:12,ESCANER
2325,"Guatemala",1,"Palencia",5,195,400,104,12,30,21,2,53,2,1,0,6,14,245,12,6,263,0,263,--,400,137,245,263,263,Algún campo sin dato,1,afeb30c0881b9473b5509812a30e34386c5e22e3cf19b4fdfd348490e21e9530,26/06/2023 00:56:10,ESCANER
2326,"Guatemala",1,"Palencia",5,195,400,78,17,36,21,3,49,2,1,3,2,12,224,24,5,253,0,253,1,400,146,224,253,253,,1,103dee7863d211595251ebc8f1817852c65de1f3e1e5e40c6d55158899c543dc,26/06/2023 00:08:38,ESCANER
2327,"Guatemala",1,"Palencia",5,195,400,102,10,24,21,4,42,1,0,0,5,14,223,13,3,239,0,239,--,400,158,223,239,239,Algún campo sin dato,1,7a5605d56b7c60b052c00a4392df4cd129421163265dfcf299175422b4a155b8,26/06/2023 01:13:57,ESCANER
2328,"Guatemala",1,"Palencia",5,195,400,109,12,38,14,8,45,1,3,4,4,12,250,16,4,270,0,270,--,400,130,250,270,270,Algún campo sin dato,1,dd6b4f3f1e7eb4dd46e8993549c57d01a0f778e042215ff4399df0fe24309c3e,25/06/2023 23:52:08,ESCANER
2329,"Guatemala",1,"Palencia",5,195,400,88,15,21,9,5,42,2,0,2,2,10,196,15,0,211,0,211,0,400,189,196,211,211,,1,5490c6431784a0f068bc0b655c73157d77bc952ea1bda179715ae0942182e7e6,26/06/2023 01:04:27,ESCANER
2330,"Guatemala",1,"Palencia",5,196,400,98,20,30,16,7,39,3,1,2,2,9,227,17,1,245,0,245,--,--,--,227,245,245,Algún campo sin dato,1,90b6a8745975828f271d8d965eabb0220a18415918b2e882ce89a13888240130,25/06/2023 23:45:42,ESCANER
2331,"Guatemala",1,"Palencia",5,196,400,88,14,29,10,7,44,2,1,1,2,10,208,16,0,224,0,224,--,400,176,208,224,224,Algún campo sin dato,1,fc337f299b135960a3c31f0673efe041f56f63774814a42da6c2bc9ae2083604,26/06/2023 00:05:56,ESCANER
2332,"Guatemala",1,"Palencia",5,196,400,108,21,32,13,8,49,3,1,1,3,7,246,13,3,262,0,262,--,400,138,246,262,262,Algún campo sin dato,1,c63570b8149abacbff4cbe47f6bf3db620f819070053bd85aa4773b1d0486973,26/06/2023 00:11:01,ESCANER
2333,"Guatemala",1,"Palencia",5,196,400,94,13,38,10,10,44,1,0,8,4,14,246,5,5,246,151,397,--,397,151,236,246,397,Sumas Asentadas sin cuadrar,1,686408d8be5dd14818c0ebceb98cdc7c94fd80254dc4594dfbbdb0dc6388b083,26/06/2023 03:56:57,ESCANER
2334,"Guatemala",1,"Palencia",5,197,400,85,12,26,14,13,41,1,2,2,5,8,209,19,0,228,0,228,--,400,172,209,228,228,Algún campo sin dato,1,de2539bfadcb799c9fe4305d79d12caf330594864dde5340a277d52086cbdc8e,26/06/2023 00:49:59,ESCANER
2335,"Guatemala",1,"Palencia",5,197,400,87,20,33,15,9,30,1,2,1,3,12,213,16,3,232,0,232,--,--,--,213,232,232,Algún campo sin dato,1,659a9d1ee5b8aa675513cec8940297bdf9dbad20cf0450279d23c97948716b44,26/06/2023 02:43:16,ESCANER
2336,"Guatemala",1,"Palencia",5,197,400,67,13,28,12,7,47,1,1,1,2,6,185,5,2,192,0,192,--,400,208,185,192,192,Algún campo sin dato,1,2301e0626d047ea6731a9396942918496d53609810aff5ae2403901ca7eb25b0,26/06/2023 00:09:45,ESCANER
2337,"Guatemala",1,"Palencia",5,197,400,78,19,19,12,7,39,0,0,0,5,13,192,7,1,200,0,200,0,400,200,192,200,200,,1,4063c2998da1241f619c73d7071e680e8aad56d82c1a2bdde2c2012fb39d1bd5,25/06/2023 22:39:44,ESCANER
2338,"Guatemala",1,"Palencia",5,197,400,94,26,23,16,8,39,2,1,1,7,14,231,6,0,237,0,237,--,400,163,231,237,237,Algún campo sin dato,1,db700e76e7b8763908b22430c29ea8a86563191fa44818f9f56b5edfa4bf1204,26/06/2023 00:06:50,ESCANER
2339,"Guatemala",1,"Palencia",5,197,391,65,19,25,15,6,51,1,1,0,1,14,198,8,0,206,0,206,--,391,185,198,206,206,Algún campo sin dato,1,e041ed791dd78baba1e6fcee99caf2372d01716095a90e439bb0007f93fee075,25/06/2023 23:22:47,ESCANER
2340,"Guatemala",1,"Palencia",5,197,390,65,14,8,10,4,34,3,1,1,8,8,156,6,2,164,2,166,0,391,225,156,164,166,,1,6260e958afcd3328865ecccbc0bcf0ed3df2353d06a1a46fd621a90cc2e3dffa,26/06/2023 00:03:39,ESCANER
2341,"Guatemala",1,"Palencia",5,198,400,74,17,13,15,7,70,2,0,1,4,9,212,19,0,231,0,231,--,400,164,212,231,231,Algún campo sin dato,1,d5d8bea6519a272b37e4345eef114d5530413109955556bdb09f0a17aeb5f222,26/06/2023 00:56:17,ESCANER
2342,"Guatemala",1,"Palencia",5,198,400,69,16,15,11,6,84,4,2,2,1,9,219,22,2,243,0,243,--,400,157,219,243,243,Algún campo sin dato,1,5d2040f30a03bdb550de24e1a5960e0396d356fd27f6ae7cf79bd82fb43ac856,25/06/2023 23:23:33,ESCANER
2343,"Guatemala",1,"Palencia",5,198,400,82,15,11,15,5,72,2,0,1,2,7,212,12,6,230,0,230,--,400,170,212,230,230,Algún campo sin dato,1,58c2107aec7c3869445967f8139110b91a23ba12ebd4b7a4af384b8e81d4cf4f,25/06/2023 23:32:06,ESCANER
2344,"Guatemala",1,"Palencia",5,198,400,81,16,11,19,9,60,2,0,1,5,10,214,15,3,232,0,232,--,400,168,214,232,232,Algún campo sin dato,1,1df0790ac1aa44753b0710e3751bd0415903b89787700591224cf421d2776d7e,26/06/2023 00:22:53,ESCANER
2345,"Guatemala",1,"Palencia",5,198,400,84,22,18,18,4,48,4,3,0,9,6,216,13,4,233,0,233,--,400,167,216,233,233,Algún campo sin dato,1,b1a2176d6e6785ef637dc621dda90f9f8212e40101e0c4cb4e454342ad99ef95,25/06/2023 23:38:40,ESCANER
2346,"Guatemala",1,"Palencia",5,198,336,62,19,5,19,3,40,1,0,2,4,7,162,11,3,176,0,176,--,337,161,162,176,176,Algún campo sin dato,1,28615ee59d373643b54e05b8e9360a56881ad182f59eecb6a0dd0bc4d610aec0,25/06/2023 22:39:35,ESCANER
2347,"Guatemala",1,"Palencia",5,198,336,52,9,9,14,5,54,1,0,2,6,9,161,5,2,168,0,168,--,336,168,161,168,168,Algún campo sin dato,1,0a144307cf7baf4f4ff86adfa1b0f52e6ff4666871a98facb5201e8a74b191d6,26/06/2023 00:34:17,ESCANER
2348,"Guatemala",1,"Palencia",5,199,380,30,10,11,20,113,11,2,2,5,12,6,220,27,6,255,5,255,--,377,117,222,255,260,Sumas Asentadas sin cuadrar,1,42d86e166b7bde5ce9858dc6a0b2a320990d1dcf25c97a6df7c3aacaa0f5cf70,26/06/2023 03:53:09,ESCANER
2349,"Guatemala",1,"Palencia",5,199,380,31,12,10,20,109,25,2,7,4,11,4,235,18,1,254,0,254,--,380,126,235,254,254,Algún campo sin dato,1,71f1c9fe81265bccc82a08f06ab2246d4a30ce005434aef260637540e9d24fda,26/06/2023 00:38:34,ESCANER
2350,"Guatemala",1,"Palencia",5,199,380,29,11,6,17,103,15,2,4,5,19,4,215,21,1,237,0,237,--,378,141,215,237,237,Algún campo sin dato,1,801217f81479c6dc8cc8f676aab67d6f3d051898744a173fe4f970a5fd2884e9,26/06/2023 00:22:31,ESCANER
2351,"Guatemala",1,"Palencia",5,199,380,31,8,10,10,105,17,3,3,13,19,10,229,17,5,251,0,251,--,380,129,229,251,251,Algún campo sin dato,1,e593300a22fae8b1d9346bc8100a6f2d2311b99e9e91ccff82c434cf67afc51b,26/06/2023 00:30:45,ESCANER
2352,"Guatemala",1,"Palencia",5,199,380,33,4,14,11,95,15,4,1,12,17,3,209,12,3,224,0,224,0,380,156,209,224,224,,1,20aae07ea6a9c86262f0c5aae34de82d8eb65313f7f4eaaca6593bacad8cbddf,26/06/2023 01:02:07,ESCANER
2353,"Guatemala",1,"Palencia",5,199,380,33,9,10,21,76,17,4,5,13,19,0,207,25,1,0,0,233,0,380,147,207,233,233,,1,bad7bbaaad0ee775d9f016b8f735f210c3395323d385d4327d6fccdf732faa64,26/06/2023 01:15:21,ESCANER
2354,"Guatemala",1,"Palencia",5,200,380,22,5,5,20,97,16,4,2,8,13,4,196,25,4,225,0,225,--,380,155,196,225,225,Algún campo sin dato,1,b49426ab1dc6fbcb1267a86dcf50a4841c72d14de90a9336e95d8dd5f95eb044,26/06/2023 00:16:41,ESCANER
2355,"Guatemala",1,"Palencia",5,200,380,23,5,9,12,92,14,6,4,5,35,4,209,16,0,225,0,225,--,380,155,209,225,225,Algún campo sin dato,1,c6103f9ca54b02b7ceb4e124b31e4af02720ddc0c35c6f9d00f7b8ded26775bc,26/06/2023 00:09:54,ESCANER
2356,"Guatemala",1,"Palencia",5,200,209,11,3,1,6,47,7,1,1,5,8,2,92,8,0,100,0,100,--,209,109,92,100,100,Algún campo sin dato,1,4df012b5bd5b389718c19aab32d18122de9a4e04670b1c351aa2d6d603131a9b,25/06/2023 23:24:10,ESCANER
2357,"Guatemala",1,"Palencia",5,200,208,9,5,2,6,33,7,2,3,1,21,2,91,7,1,99,0,99,--,209,110,91,99,99,Algún campo sin dato,1,af962b6011565932a9498ba1d6ad15594be7e017c5228408fc61c20a0c2bae2e,25/06/2023 22:58:14,ESCANER
2358,"Guatemala",1,"Palencia",5,201,380,43,10,12,8,39,58,1,2,0,2,7,182,12,2,196,0,196,--,371,175,182,196,196,Algún campo sin dato,1,bb432a511f7a8ab300a13bf58c2d8962ef626247c9c7b66e8b24ec4e48ec63f4,26/06/2023 00:29:11,ESCANER
2359,"Guatemala",1,"Palencia",5,201,380,58,8,18,10,47,40,0,0,3,2,6,192,14,1,207,0,207,--,380,173,192,207,207,Algún campo sin dato,1,c244ceb12ad6ebc5d83afd0fc116e3a0b4709dd5d971f1ea015ad4e1ebb95e58,25/06/2023 23:55:39,ESCANER
2360,"Guatemala",1,"Palencia",5,201,380,49,8,18,11,53,56,0,2,3,5,4,209,19,5,233,0,233,0,380,147,209,233,233,,1,188029628bf469781bad926de05f79948df0c3dd0791e483bf9089a57663fd82,26/06/2023 00:53:24,ESCANER
2361,"Guatemala",1,"Palencia",5,201,380,59,3,17,27,35,51,1,0,2,3,2,200,8,6,214,0,214,0,380,166,200,214,214,,1,c13cd9ee0964008ea2d944a4a6210cb68603533ea64fc8d7fb0e8382e5e4fc3f,26/06/2023 00:46:07,ESCANER
2362,"Guatemala",1,"Palencia",5,201,380,47,9,15,16,38,46,1,0,1,6,2,181,9,5,195,0,195,--,380,185,181,195,195,Algún campo sin dato,1,111a764cfc4563b1fb6bbad1cae0ff37705b667b5f19b4a1ac1c9d0cfcf604dd,26/06/2023 00:36:13,ESCANER
2363,"Guatemala",1,"Palencia",5,201,380,56,8,15,13,36,41,1,1,2,1,8,182,6,2,190,0,190,--,380,190,182,190,190,Algún campo sin dato,1,62d9a22082fa919a25bcef30b5b94b12337746b385a0189b02dce3462bcaa692,25/06/2023 23:38:40,ESCANER
2364,"Guatemala",1,"Palencia",5,201,320,53,4,6,7,45,33,0,0,1,4,5,158,9,0,167,0,167,--,321,154,158,167,167,Algún campo sin dato,1,55a7f1f7f2be885cd61376082c7ef487d7a60f1ad30959a9c21b9c1bd04a92f6,25/06/2023 23:32:17,ESCANER
2365,"Guatemala",1,"Palencia",5,201,319,43,3,3,4,30,53,1,0,1,0,2,140,6,1,147,0,147,--,323,176,140,147,147,Algún campo sin dato,1,8043e031569fecfb26cfa74a064f4978a002adfd93576891c9265b29d27f78b2,25/06/2023 23:24:56,ESCANER
2366,"Guatemala",1,"Palencia",5,202,380,53,6,16,14,39,52,4,1,0,2,17,204,14,4,222,0,222,--,380,158,204,222,222,Algún campo sin dato,1,7fa960836795289cdc31c21095e828d22b247146c1c19badac880f09f1eace52,26/06/2023 01:27:44,ESCANER
2367,"Guatemala",1,"Palencia",5,202,380,61,9,15,18,46,44,1,1,2,3,8,208,17,1,226,0,226,--,380,154,208,226,226,Algún campo sin dato,1,8e77466e9ecb7f2f577f49dbba40e79993606305939931d7228380cb20804638,26/06/2023 01:54:18,ESCANER
2368,"Guatemala",1,"Palencia",5,202,380,46,7,21,11,37,62,1,0,1,0,21,207,20,4,231,0,238,--,380,149,207,231,231,Sumas Asentadas sin cuadrar,1,b18de7a8055c38b3e9a8679e9c933e74db8d9f14d413f822c47f0f29f0343c3a,26/06/2023 01:00:07,ESCANER
2369,"Guatemala",1,"Palencia",5,202,380,49,9,11,23,45,51,0,1,3,3,10,205,20,4,229,0,229,--,380,151,205,229,229,Algún campo sin dato,1,4b3edfc191158e5253e1b0b216ebffe73e00fd9df1ae15b201053fa8df2f43a0,26/06/2023 01:15:52,ESCANER
2370,"Guatemala",1,"Palencia",5,202,380,65,6,18,13,30,69,3,0,3,0,8,215,19,1,235,0,235,--,380,145,215,235,235,Algún campo sin dato,1,5752c712c9dbbadfa87f79a62deae508b2595d4d55764c9333243a16906b544e,26/06/2023 00:24:00,ESCANER
2371,"Guatemala",1,"Palencia",5,202,380,56,5,12,10,34,55,2,0,2,0,8,184,18,2,204,0,204,--,378,174,184,204,204,Algún campo sin dato,1,bb76c471ec388bcb5b119657589c08dee7e2f156d0d1d5fb04df802d9cc57b7c,26/06/2023 01:00:07,ESCANER
2372,"Guatemala",1,"Palencia",5,202,380,51,13,24,14,31,44,0,1,3,8,17,206,9,2,217,0,217,--,380,163,206,217,217,Algún campo sin dato,1,3a9841dae89869df7ed56b945d8f21998dc023043914be099772d68ce15a9f2a,26/06/2023 03:46:19,ESCANER
2373,"Guatemala",1,"Palencia",5,203,380,57,11,21,14,18,37,2,1,2,3,10,176,13,4,193,0,193,--,380,187,176,193,193,Algún campo sin dato,1,8a95340b3c41cf1a4f424ac30b116bfc9618ff6f815b137dca85eff2cd84d679,26/06/2023 01:08:04,ESCANER
2374,"Guatemala",1,"Palencia",5,203,380,60,8,17,30,20,55,2,1,3,3,8,207,14,2,223,0,223,--,377,154,207,223,223,Algún campo sin dato,1,da712ea4e08a5aa1b4cf45db16832cc51bf9aa2947c55bff9c55dcc5813f1fba,26/06/2023 01:41:45,ESCANER
2375,"Guatemala",1,"Palencia",5,203,380,52,6,23,13,18,36,0,0,2,4,12,166,5,0,171,0,171,--,380,209,166,171,171,Algún campo sin dato,1,324a509e7590e4027be21b6d632f4f7c3edc90da29b7a8e43ba9520feca87b6f,26/06/2023 00:00:58,ESCANER
2376,"Guatemala",1,"Palencia",5,203,355,43,14,19,12,25,49,0,1,0,8,8,179,5,0,184,0,184,--,357,173,179,184,184,Algún campo sin dato,1,781692a09c317bd6652c71f2420212e8ef16ebd2a7a853cfaa084ba5f8f7ea6a,25/06/2023 23:29:41,ESCANER
2377,"Guatemala",1,"Palencia",5,203,354,43,9,15,13,19,34,1,1,1,3,6,145,8,2,155,0,155,--,356,201,145,155,155,Algún campo sin dato,1,66e4c3d753c91ca1fa83ef50b2050abc42c38d4ad05d8a8028494c3a8c64368c,25/06/2023 22:59:26,ESCANER
2378,"Guatemala",1,"Palencia",5,204,380,33,4,36,9,5,50,0,5,2,1,19,164,32,10,206,0,206,--,380,174,164,206,206,Algún campo sin dato,1,38a9e8928e59d75558376e181f23dd7980ccb8bc4d7c98a5f7abcf67e0a04545,26/06/2023 01:24:51,ESCANER
2379,"Guatemala",1,"Palencia",5,204,380,51,4,20,16,11,67,0,4,4,1,17,195,18,6,219,0,219,--,380,161,195,219,219,Algún campo sin dato,1,ac494397992cbd98b2e9740c91f98c804c9e0c5068c5575243bfad37c93a6f96,26/06/2023 02:19:25,ESCANER
2380,"Guatemala",1,"Palencia",5,204,380,52,4,33,15,12,44,0,1,2,0,14,177,19,11,207,0,207,--,380,173,177,207,207,Algún campo sin dato,1,3ae580a75e39c4480e0ded1551ac86a0d66485d03477b00ba40ac8228955c56e,25/06/2023 23:19:14,ESCANER
2381,"Guatemala",1,"Palencia",5,204,380,46,3,20,7,8,52,1,0,0,0,7,144,10,9,163,0,163,--,380,217,144,163,163,Algún campo sin dato,1,4c07c8b02a41df5a22f946c57e4ce2b11ba24d537480a2ea0180cc36eeb5cfaa,25/06/2023 23:58:28,ESCANER
2382,"Guatemala",1,"Palencia",5,204,313,40,1,19,6,3,39,0,1,0,0,8,117,6,3,126,0,126,0,313,187,117,126,126,,1,b2cb1c43fb4830c5261080af0703b73f0e6bfb104efb4130287abc46f294c233,26/06/2023 00:44:12,ESCANER
2383,"Guatemala",1,"Palencia",5,204,313,22,2,15,7,5,43,2,0,0,0,9,105,3,6,114,0,114,--,314,200,105,114,114,Algún campo sin dato,1,7b9ca428d494467f61826970053df454810a4c09c216ee5aff3818fe769f73f3,25/06/2023 23:06:11,ESCANER
2384,"Guatemala",1,"Palencia",5,205,380,54,13,9,17,5,60,0,1,1,1,1,162,13,3,178,0,178,--,381,213,162,178,178,Algún campo sin dato,1,d38f008d69df2945bc12d4ba71787e2dfe9c09d42a00fb57b65c369671998b90,25/06/2023 23:52:48,ESCANER
2385,"Guatemala",1,"Palencia",5,205,380,56,10,6,20,2,62,0,0,0,2,2,160,8,13,181,0,181,--,380,199,160,181,181,Algún campo sin dato,1,63501ec35391e10c106c4479f906ae726ef319613b728b75cb3cd4384336fd41,25/06/2023 23:49:55,ESCANER
2386,"Guatemala",1,"Palencia",5,205,380,54,10,6,22,3,57,0,2,1,1,4,160,21,5,186,0,186,--,380,194,160,186,186,Algún campo sin dato,1,b573897a3e9f754016e22c73d8d2e23d97ae6bcab9fe3a1cd5e8b050bb0817b4,26/06/2023 00:27:34,ESCANER
