TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
210,180,85.7142,178,84.7619,2,68908,39359,57.1181

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,PHG,UNE,PPN,AZUL,VOS,UR,CABAL,CAMBIO,U R N G - MAIZ,TODOS,FCN-NACION,VICTORIA,P A N,CREO,VIVA,UNIONISTA,ELEFANTE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2423,"Guatemala",1,"Chinautla",6,213,400,25,16,58,43,4,0,22,0,7,3,13,4,2,3,2,8,10,2,5,11,238,13,3,254,0,254,--,400,146,238,254,254,Algún campo sin dato,1,0ea03e73c29abc7ed521331a8503a1ec5c150ea5ad7abe0ef6dd3e5c517a54d2,26/06/2023 01:03:51,ESCANER
2424,"Guatemala",1,"Chinautla",6,213,400,15,28,66,26,2,2,21,1,5,1,13,4,6,4,2,6,9,3,9,9,232,19,2,253,0,253,--,400,147,232,253,253,Algún campo sin dato,1,ad87688ce6480f2fe51174618faa0edcb6ce4e573ced7f32d651f6b511b3a0fc,25/06/2023 23:56:35,ESCANER
2425,"Guatemala",1,"Chinautla",6,213,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2426,"Guatemala",1,"Chinautla",6,213,400,15,20,75,37,6,0,19,2,8,6,9,2,3,2,2,6,5,3,5,10,235,16,1,252,0,252,--,393,141,235,252,252,Algún campo sin dato,1,6b7d4c1bbd9cf76c29e71364542dec5eee32203ffc7dbc6a9f0c13b5c610051f,25/06/2023 23:55:11,ESCANER
2427,"Guatemala",1,"Chinautla",6,213,400,22,20,70,30,0,5,23,2,7,2,12,1,2,5,4,5,4,3,0,9,226,11,0,237,0,237,--,400,163,226,237,237,Algún campo sin dato,1,c8fb4c80db5f93d4b9ae5588916a5213a1ced5b512d6271f33fee0f5156b0f43,26/06/2023 01:41:31,ESCANER
2428,"Guatemala",1,"Chinautla",6,213,400,21,27,79,27,3,0,21,1,2,6,3,1,1,2,1,8,3,3,6,9,224,17,0,241,0,241,--,400,159,224,241,241,Algún campo sin dato,1,a022f39a6368809ba4b024abdd92ae11167d7acd863ad12354ddb8d42a429e0b,26/06/2023 00:15:01,ESCANER
2429,"Guatemala",1,"Chinautla",6,213,400,16,26,83,26,1,3,19,0,1,8,7,3,3,4,3,4,7,3,8,14,239,16,0,255,0,255,--,400,145,239,255,255,Algún campo sin dato,1,3531e072fb8bcda5a6032c2c51e7b7c73bbdde7cda6fd0524fbe1063c14215f2,26/06/2023 00:37:50,ESCANER
2430,"Guatemala",1,"Chinautla",6,214,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Suma Excede Padrón,0,f8ab25886470620225a0e1338e2150e8734ba23b66021eaa4bcdc390bbfbeced,26/06/2023 02:56:26,ESCANER
2431,"Guatemala",1,"Chinautla",6,214,400,23,19,76,33,2,2,12,3,2,2,3,5,3,7,2,8,6,4,7,13,232,19,0,251,0,251,0,399,148,232,251,251,,1,0a19f2ce7e02d114a87dd120b11ae6ccb9b39d71565a3bae8cae8ff0980a7bcb,26/06/2023 01:05:47,ESCANER
2432,"Guatemala",1,"Chinautla",6,214,400,19,11,85,27,4,2,11,3,1,4,8,1,2,3,2,11,4,1,6,10,215,11,4,230,0,230,--,400,170,215,230,230,Algún campo sin dato,1,0e3a4571f55c60ab9e0e0a0a3d2423471ba32d366015b958893aa68340cfaecd,26/06/2023 00:05:59,ESCANER
2433,"Guatemala",1,"Chinautla",6,214,400,17,12,55,33,2,1,22,2,0,1,10,1,0,0,1,2,3,1,7,12,182,23,4,209,0,209,--,400,191,182,209,209,Algún campo sin dato,1,dfdd52b93ee5a349b4f7a01198b0e1310e7b9d95da6e29a4d055c11764e61dda,26/06/2023 02:15:21,MOVIL
2434,"Guatemala",1,"Chinautla",6,214,400,96,32,59,31,6,1,21,1,2,3,6,2,1,3,2,5,5,2,2,11,211,13,2,226,0,226,--,297,171,291,306,306,Sumas Asentadas sin cuadrar,1,e474e1d3603a9804e6e006f88dafaac4c04ebd9086a2135ceed9f32d2d238d40,26/06/2023 03:08:09,ESCANER
2435,"Guatemala",1,"Chinautla",6,214,400,22,27,73,55,2,1,33,2,2,2,11,2,3,3,2,1,6,1,5,3,256,9,0,265,0,265,--,400,131,256,265,265,Algún campo sin dato,1,89b689db48a530b232118996c28a21aceb70e687f8024f5f13eaacf8f45d56c7,25/06/2023 23:49:11,ESCANER
2436,"Guatemala",1,"Chinautla",6,214,215,7,12,25,10,2,1,14,1,0,1,4,1,0,1,1,0,0,0,6,1,87,5,0,92,0,92,--,215,123,87,92,92,Algún campo sin dato,1,5b878fda160dedfc3e42525041bcb93f46e3dc3933c5f511a7ae972321a9fc9a,26/06/2023 00:10:55,ESCANER
2437,"Guatemala",1,"Chinautla",6,214,214,9,6,28,12,2,0,8,0,0,1,2,5,0,1,0,2,2,0,0,4,82,5,1,88,0,88,--,214,123,82,88,88,Algún campo sin dato,1,85899ff7a4122273448a624f42692c5307b25da547630646e673ff7991c1e495,25/06/2023 22:31:06,ESCANER
2438,"Guatemala",1,"Chinautla",6,215,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2439,"Guatemala",1,"Chinautla",6,215,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2440,"Guatemala",1,"Chinautla",6,215,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2441,"Guatemala",1,"Chinautla",6,215,400,28,22,72,39,3,1,8,1,3,6,11,7,2,3,2,3,6,2,2,9,230,28,0,230,0,0,--,396,138,230,258,258,Sumas Asentadas sin cuadrar,1,20ea0c516993edd29b5e7576d024438f4b1282f2e3fec008ddca8496f5d492f7,26/06/2023 00:59:42,ESCANER
2442,"Guatemala",1,"Chinautla",6,215,400,46,14,58,38,2,3,11,1,2,4,11,9,2,2,2,4,4,1,10,8,232,16,0,248,0,248,--,400,152,232,248,248,Algún campo sin dato,1,46f6ba0be206d1ae5f5f4b55cf6752d876d4b33c66a7c6d47f42932e12865f3e,26/06/2023 02:34:52,ESCANER
2443,"Guatemala",1,"Chinautla",6,215,400,35,16,69,40,0,5,10,2,3,1,7,6,0,5,0,6,6,5,8,7,231,16,2,249,0,249,--,400,151,231,249,249,Algún campo sin dato,1,1f1bc0a1118d2b699a2890211fb94e28216903a6894442eae7a16521a9877657,26/06/2023 02:48:37,ESCANER
2444,"Guatemala",1,"Chinautla",6,215,400,21,17,77,36,4,0,13,0,4,3,7,3,0,3,1,6,2,4,9,12,222,16,2,240,0,240,--,400,160,222,240,240,Algún campo sin dato,1,3ba3acd43e2f8e41150825ed130e057ca3a1b72f0c29b22fc565d3afdba18853,26/06/2023 00:14:11,ESCANER
2445,"Guatemala",1,"Chinautla",6,215,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2446,"Guatemala",1,"Chinautla",6,215,400,31,21,71,32,1,0,12,1,1,1,8,5,2,6,3,1,4,3,8,4,215,11,0,226,0,226,--,384,158,215,226,226,Algún campo sin dato,1,cfbac8aaefb9fdbe0fb071a1809c2981f4fce14616ef77a87cf435aebce57fa0,25/06/2023 23:32:35,ESCANER
