TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
90,90,100.0000,90,100.0000,0,33942,18900,55.6832

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,CABAL,PPG,UNE,WINAQ,AZUL,PODEMOS,MLP,VICTORIA,P A N,CREO,ELEFANTE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2633,"Guatemala",1,"San Pedro Ayampuc",7,232,400,98,4,85,1,15,1,1,24,1,2,0,3,13,1,249,14,4,267,0,267,--,401,134,249,267,267,Algún campo sin dato,1,8dd66bd9081723513ec72e2b9e197c0a22cb3a521ad526e588ad42780beff24e,25/06/2023 23:40:04,ESCANER
2634,"Guatemala",1,"San Pedro Ayampuc",7,232,400,88,5,90,1,18,5,1,17,2,--,--,3,10,1,241,15,5,261,--,261,--,380,119,241,261,261,Algún campo sin dato,1,4b37a2ee9adaa454887838d219b8f6399d806bc0a5621ec010b7d8bdaeac6b06,26/06/2023 00:41:42,ESCANER
2635,"Guatemala",1,"San Pedro Ayampuc",7,232,400,82,7,87,1,11,1,2,20,4,1,0,4,12,0,232,22,3,257,0,257,--,297,140,232,257,257,Algún campo sin dato,1,5da356c1754d008df8bce0d021d8a10f017507fa1b5f73072d637467dd18148f,26/06/2023 03:49:55,ESCANER
2636,"Guatemala",1,"San Pedro Ayampuc",7,232,400,88,8,90,0,21,0,2,12,3,0,0,7,13,2,246,15,3,264,0,264,--,40,136,246,264,264,Algún campo sin dato,1,bed1d0d9b91b443ec7dd9fc2a3e9c57c9e3dd36bfb40858d9a4a1daf65cce491,26/06/2023 00:46:58,ESCANER
2637,"Guatemala",1,"San Pedro Ayampuc",7,232,400,110,4,105,2,10,1,--,11,1,--,1,7,9,--,261,20,1,282,--,282,--,400,118,261,282,282,Algún campo sin dato,1,415f80c8030be7cf4a546fc9e53c162eb9ce42efc7e3ff52dd7f263345d0bff9,26/06/2023 00:02:03,ESCANER
2638,"Guatemala",1,"San Pedro Ayampuc",7,232,400,114,--,98,1,17,--,2,9,--,--,--,8,17,2,268,19,3,290,--,290,--,400,110,268,290,290,Algún campo sin dato,1,5a57f135d2094857acb950a28c05364a2b3f153337871e8955ae7da8e18c0a9c,26/06/2023 01:54:28,ESCANER
2639,"Guatemala",1,"San Pedro Ayampuc",7,232,400,87,3,122,2,9,1,5,13,--,--,--,3,15,--,260,28,6,294,--,294,--,400,106,260,294,294,Algún campo sin dato,1,3ef926e45c452c58df4ebbf8ba284447db3b3cd89c1c160b35fc213f95025c43,26/06/2023 01:53:05,ESCANER
2640,"Guatemala",1,"San Pedro Ayampuc",7,232,400,105,4,117,0,13,0,1,18,0,0,0,3,12,0,273,14,2,289,0,289,--,400,111,273,289,289,Algún campo sin dato,1,05bc7012961949d3251073f162c96b9970e0073a0733f9ec704acf0f0c13344f,26/06/2023 03:00:39,ESCANER
2641,"Guatemala",1,"San Pedro Ayampuc",7,233,400,83,2,109,1,9,1,1,10,2,--,--,1,22,--,241,28,7,276,--,276,--,400,124,241,276,276,Algún campo sin dato,1,9a6addfa72de58088c6ebbd4ca971ddf86265ebfc637199c2a9e95c8a0eae56d,26/06/2023 01:25:30,ESCANER
2642,"Guatemala",1,"San Pedro Ayampuc",7,233,400,76,4,109,1,4,0,1,17,0,1,0,9,12,0,234,13,0,247,0,247,--,400,153,234,247,247,Algún campo sin dato,1,f9738cd91f470797af5e056670a0bbacb401c55b7e11f3d369067128cb406348,26/06/2023 01:19:33,ESCANER
