TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
745,745,100.0000,742,99.5973,3,296306,186114,62.8114

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPG,TODOS,VAMOS,AZUL,UNIONISTA,WINAQ,CAMBIO,PPN,VIVA,CABAL,MLP,PIN,ELEFANTE,P A N,VICTORIA,PODEMOS,CREO,VALOR,FCN-NACION,UR,BIEN,SEMILLA,VOS,MI FAMILIA,PHG,PODER,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2723,"Guatemala",1,"Mixco",8,245,400,94,3,8,28,5,3,7,13,6,6,4,2,3,1,11,4,3,16,0,15,4,11,6,4,6,1,4,268,18,2,288,0,288,--,399,109,268,288,288,Algún campo sin dato,1,f739a311c02ca70a1bc5927fe023584cf9d36c29bcdd7e5decab62173cfc6d47,26/06/2023 00:47:14,ESCANER
2724,"Guatemala",1,"Mixco",8,245,400,99,2,7,23,7,2,9,15,3,3,0,0,9,0,8,2,1,12,1,6,0,14,7,1,8,0,7,246,10,2,258,0,258,--,400,142,246,258,258,Algún campo sin dato,1,1a6dc977b1736073c415192bd74e52625d738057aa7f53a602099e4afb964790,26/06/2023 00:24:50,ESCANER
2725,"Guatemala",1,"Mixco",8,245,400,99,3,2,29,7,2,11,3,4,9,1,0,10,3,5,3,4,16,0,8,3,11,10,2,7,1,1,254,23,0,277,0,277,--,400,123,254,277,277,Algún campo sin dato,1,914ac97feb1ae64bbebc10f391d4e58432fd232de2fed03e6f05a4c97a67b895,25/06/2023 23:31:14,ESCANER
2726,"Guatemala",1,"Mixco",8,245,400,103,1,6,20,10,3,7,7,5,4,0,2,10,6,10,2,2,20,0,13,3,14,10,1,5,0,5,269,14,1,284,0,284,--,400,116,269,284,284,Algún campo sin dato,1,f9a824c1bfe790aa3303202e8eabfd431c7a6770e7eff1ab8deaeab844c924e5,26/06/2023 01:47:04,ESCANER
2727,"Guatemala",1,"Mixco",8,245,400,106,0,9,23,4,3,9,8,11,4,0,1,6,2,8,1,2,8,0,14,3,9,7,1,4,0,3,246,17,4,267,0,267,--,399,132,246,267,267,Algún campo sin dato,1,493df9054e14b9cec9bf27e9ac6137f8ec11afa27cf22972b8fc3da23898b1f1,26/06/2023 01:13:42,ESCANER
2728,"Guatemala",1,"Mixco",8,245,400,102,0,8,20,2,3,7,11,7,4,2,1,9,3,11,0,1,12,0,1,3,29,8,1,10,0,2,257,14,0,271,0,271,--,400,129,257,271,271,Algún campo sin dato,1,03338316a88dc67586dab108a6652b48f77085457dee9d9a7e14aa592a18f9a8,25/06/2023 23:09:35,ESCANER
2729,"Guatemala",1,"Mixco",8,246,400,116,4,6,22,7,2,7,10,6,3,0,0,4,2,7,3,3,13,0,9,0,15,9,0,7,0,1,256,6,3,265,0,265,--,400,135,256,265,265,Algún campo sin dato,1,d80cd6a6b640a4c64018338620cb9e165274624e4bea80fa5e65a4491e0a96a0,26/06/2023 00:37:44,ESCANER
2730,"Guatemala",1,"Mixco",8,246,400,88,1,5,19,4,2,4,9,5,10,2,1,8,4,9,4,3,21,0,7,3,20,7,1,5,0,1,243,20,0,263,0,263,--,400,137,243,263,263,Algún campo sin dato,1,e618cb304fff554042531ad2bf049885378002eff49c31cbd66be2cf01c426ca,25/06/2023 23:53:46,ESCANER
2731,"Guatemala",1,"Mixco",8,246,400,89,4,4,29,4,2,12,7,6,5,1,0,4,4,12,1,3,16,0,12,0,18,8,0,9,0,2,252,12,0,264,0,264,--,400,136,252,264,264,Algún campo sin dato,1,20da47cbe77eaf80bfd71643665fd060a93956ee48061a071cce1218e2076f05,25/06/2023 23:06:05,ESCANER
2732,"Guatemala",1,"Mixco",8,246,400,102,1,5,19,6,2,9,14,8,9,0,0,8,6,8,3,1,9,1,7,3,16,11,1,10,0,2,261,15,2,278,0,278,--,400,122,261,278,278,Algún campo sin dato,1,08f8c14d0bc24d58e1a0a33a030e54b6e839e8b5d5a15a44346c46c0bebb0b98,26/06/2023 00:34:01,ESCANER
2733,"Guatemala",1,"Mixco",8,246,400,101,3,5,23,2,2,11,6,8,7,3,0,8,4,7,4,0,10,0,10,2,19,11,1,12,0,3,262,13,2,277,0,277,--,400,123,262,277,277,Algún campo sin dato,1,9b6b1b13e4d4d0a77364c16147283fd5ff9dadb26b3613623fbe117411b70250,25/06/2023 23:12:24,ESCANER
2734,"Guatemala",1,"Mixco",8,246,400,97,0,4,31,9,0,6,11,11,5,1,0,7,4,11,2,1,14,1,5,1,17,5,2,3,0,2,250,19,1,270,0,270,--,400,130,250,270,270,Algún campo sin dato,1,82c27cec51852916507bcebed8dd41b0d5884bb9979a78e993e1d03c9d963b84,25/06/2023 23:32:05,ESCANER
2735,"Guatemala",1,"Mixco",8,246,400,98,1,10,24,2,2,9,9,12,5,1,1,7,1,12,1,2,12,0,6,2,16,6,1,5,0,3,248,15,0,263,0,263,--,400,137,248,263,263,Algún campo sin dato,1,ec08c4d7580abb9f2a6e71412c3cab0a78081e83282e5d6a81dc67cda9d48e45,26/06/2023 01:47:32,ESCANER
2736,"Guatemala",1,"Mixco",8,246,400,99,2,9,21,3,2,7,8,7,3,2,0,9,3,10,0,3,18,2,4,2,14,6,1,7,0,5,247,12,0,259,0,259,--,397,138,247,259,259,Algún campo sin dato,1,5ed6751660c3275e1143a768917dcf2ca53a10b36f3f01d56c242cef8340b23f,25/06/2023 22:22:52,ESCANER
2737,"Guatemala",1,"Mixco",8,246,400,95,2,2,20,2,3,4,5,7,6,0,0,4,3,8,1,2,10,0,4,3,17,5,1,6,0,6,216,11,0,227,0,227,--,400,173,216,227,227,Algún campo sin dato,1,5031fd48705b697b756113dc45bc521f1589b187a1cc043b0b2e4b3e73093904,26/06/2023 00:25:10,ESCANER
2738,"Guatemala",1,"Mixco",8,246,400,98,1,9,20,1,1,12,13,10,6,0,0,6,0,12,1,2,8,1,7,2,12,4,1,8,0,4,239,5,1,245,1,246,--,400,154,239,245,246,Algún campo sin dato,1,295b2a38f644825a03740c129737f3d84431e670410495f0dcd3f7344fca31cb,25/06/2023 23:58:15,ESCANER
2739,"Guatemala",1,"Mixco",8,246,400,87,3,2,23,2,3,4,11,6,4,1,0,11,2,5,1,2,6,1,8,4,28,11,1,4,0,1,231,7,0,238,0,238,--,404,166,231,238,238,Algún campo sin dato,1,a3f625df88f9685cb663778b764b8212ac63f0e7bee5f3436da226055cf4e9d5,26/06/2023 00:52:44,ESCANER
2740,"Guatemala",1,"Mixco",8,246,400,119,1,3,21,3,1,10,15,4,4,1,0,5,1,2,3,0,11,0,9,0,58,7,2,6,0,1,287,6,104,293,0,293,--,397,104,287,397,397,Sumas Asentadas sin cuadrar,1,8db37aed35e67ac0103a7999ecb8ece876b01f7636c4a8ae3e1e59dccebaf1f5,25/06/2023 22:55:25,ESCANER
2741,"Guatemala",1,"Mixco",8,246,365,121,0,2,21,3,3,7,8,4,6,0,0,5,1,5,2,0,15,0,2,1,19,3,0,6,0,3,237,3,0,240,0,240,--,365,125,237,240,240,Algún campo sin dato,1,e886ff246611378d02d4db77a79457f213e789bb7c475454a3f909112522b77f,25/06/2023 22:38:11,ESCANER
2742,"Guatemala",1,"Mixco",8,246,364,71,0,5,19,0,2,8,11,4,3,0,0,2,3,5,1,1,6,0,3,0,25,4,1,3,0,1,178,8,2,188,0,188,--,364,176,178,188,188,Algún campo sin dato,1,5ea698ced940a5db759017eaaf4bdd948b3b5164576d7785d276f6ea2ff056d2,25/06/2023 22:26:56,ESCANER
2743,"Guatemala",1,"Mixco",8,247,400,103,0,12,16,5,1,9,13,8,6,0,0,2,1,6,1,1,11,0,10,0,10,5,1,5,0,7,243,24,2,269,0,269,--,400,131,233,259,259,Sumas Asentadas sin cuadrar,1,f78665eb0e963c0d21b136bd19c36dc4e1195994affdf4d03183ad121a0e50a1,26/06/2023 01:39:16,ESCANER
2744,"Guatemala",1,"Mixco",8,247,400,79,3,13,31,3,6,7,7,13,3,0,2,5,0,12,2,0,11,2,4,1,12,2,1,24,0,5,248,17,2,267,0,267,--,399,132,248,267,267,Algún campo sin dato,1,1fcc1e59dea928f68df454148ed9c24419941841aa2e4ac4218fc5b3171584a0,26/06/2023 01:02:43,ESCANER
2745,"Guatemala",1,"Mixco",8,247,400,95,3,13,28,2,1,7,7,15,6,0,0,8,0,11,2,2,11,3,10,0,13,3,1,17,0,2,260,13,5,278,0,278,--,400,122,260,278,278,Algún campo sin dato,1,d8ba5d1e694f06b36a2b1760427704c36f7ff994b0d187687e4c052a6d1ef60d,26/06/2023 01:12:19,ESCANER
