TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
73,73,100.0000,73,100.0000,0,28302,21834,77.1464

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,UNE,MLP,ELEFANTE,VIVA,CAMBIO,CABAL,PPN,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
3468,"Guatemala",1,"San Pedro Sacatepéquez",9,337,400,83,45,63,6,4,88,8,8,11,1,317,11,5,333,0,333,--,396,63,317,333,333,Algún campo sin dato,1,dcb43cd77f6f52137851734e6ab7b2f2b901573dab1858023a3a048618bfae16,26/06/2023 01:53:40,ESCANER
3469,"Guatemala",1,"San Pedro Sacatepéquez",9,337,400,88,51,61,1,9,82,8,6,12,1,319,9,0,328,0,328,--,400,72,319,328,328,Algún campo sin dato,1,a82282885fe5a54cb7426ddd23d5a5e1f02fe7db163cf3894797b6012423aaeb,26/06/2023 00:20:34,ESCANER
3470,"Guatemala",1,"San Pedro Sacatepéquez",9,337,400,98,44,53,1,8,73,13,3,13,2,308,12,2,322,0,322,--,400,78,308,322,322,Algún campo sin dato,1,5354355ad14a34f2464e8444f8f8be32a4b0aac930872422efbcf0bd8408336a,26/06/2023 02:32:21,ESCANER
3471,"Guatemala",1,"San Pedro Sacatepéquez",9,337,400,112,44,62,3,5,91,5,4,11,0,337,6,3,346,0,346,--,400,54,337,346,346,Algún campo sin dato,1,ca8923949de7b36a85846abcb59e37fc3a7da407ee0f0cbdab05446f8d9fb3ae,26/06/2023 02:41:58,ESCANER
3472,"Guatemala",1,"San Pedro Sacatepéquez",9,337,400,131,49,49,7,5,57,8,2,13,0,321,15,3,339,0,339,--,401,62,321,339,339,Algún campo sin dato,1,04c167bd4759fdae4fcff0147ea036edb59f68da4579d81585be94430a01f955,26/06/2023 00:50:07,ESCANER
3473,"Guatemala",1,"San Pedro Sacatepéquez",9,337,400,128,31,65,2,9,76,5,7,16,0,339,8,1,348,0,348,--,400,52,339,348,348,Algún campo sin dato,1,303cdf786cf9ee1b73d439a06b1af7abdd71a8d79efa4a538cbff92215e96efa,26/06/2023 00:43:03,ESCANER
3474,"Guatemala",1,"San Pedro Sacatepéquez",9,337,400,139,34,55,1,6,78,6,4,11,1,335,12,1,348,0,348,--,400,52,335,348,348,Algún campo sin dato,1,5dafc5dfd14084ca898a9e8ffa697188686ac1f488a0f5761dcee97fce20c990,26/06/2023 03:37:55,ESCANER
3475,"Guatemala",1,"San Pedro Sacatepéquez",9,337,400,112,40,45,1,8,84,6,5,21,1,323,2,1,326,0,326,--,400,74,323,326,326,Algún campo sin dato,1,8c9c635606a6d17926b58cf273ad6a55c7b58a7491afc64b80c802a1a9b67e66,26/06/2023 01:22:10,ESCANER
3476,"Guatemala",1,"San Pedro Sacatepéquez",9,337,400,107,38,54,1,4,78,9,7,16,0,314,4,1,319,0,319,--,400,81,314,319,319,Algún campo sin dato,1,963455eca242041d461b36677f7e24dd302d774a26f80ecc26ad50f98e4da0ba,26/06/2023 02:59:42,ESCANER
3477,"Guatemala",1,"San Pedro Sacatepéquez",9,337,400,123,49,67,2,3,60,10,0,11,1,326,8,2,336,0,336,--,400,64,326,336,336,Algún campo sin dato,1,e9c3fa39273c153eb49f529cc73f6cb62dd3d7f569309f811bb5d1057427fed8,26/06/2023 01:39:10,ESCANER
3478,"Guatemala",1,"San Pedro Sacatepéquez",9,337,400,114,33,56,5,3,83,5,2,10,1,312,8,2,322,0,322,--,399,77,312,322,322,Algún campo sin dato,1,8ffd059b33a137910678d1f4d352188403516dbc6a6a883dbb56f619b5a08c2c,26/06/2023 04:03:23,ESCANER
3479,"Guatemala",1,"San Pedro Sacatepéquez",9,337,400,107,55,46,4,4,97,12,2,6,1,334,5,1,340,0,340,--,400,60,334,340,340,Algún campo sin dato,1,79998c4c2e2f890bc00ecf7d48324e890e360e13bd226fea3e1159953984f3ff,26/06/2023 00:28:53,ESCANER
3480,"Guatemala",1,"San Pedro Sacatepéquez",9,338,400,98,45,48,3,4,79,6,5,12,1,301,8,0,309,0,309,--,400,91,301,309,309,Algún campo sin dato,1,145eb5dc805864740b0e96d07599ffbf7a6b2d2a73c7b4d1d9617bfafdd0c854,25/06/2023 23:27:38,ESCANER
3481,"Guatemala",1,"San Pedro Sacatepéquez",9,338,400,140,36,43,2,5,84,6,4,6,0,326,5,1,332,0,332,--,396,64,326,332,332,Algún campo sin dato,1,b2bac288ddf27f64e74a4558083238ab17a196ace01db139b30b4080ae7e1b5b,26/06/2023 00:15:33,ESCANER
