TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
53,53,100.0000,53,100.0000,0,19956,12900,64.6422

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,AZUL,PODEMOS,VOS,UR,UNE,VIVA,CABAL,BIEN,DESANRAY,SEMILLA,P A N,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
3865,"Guatemala",1,"San Raimundo",11,379,400,12,11,26,8,32,12,33,12,9,15,66,5,0,17,258,16,2,276,1,277,0,0,0,258,276,277,,1,c65af7802e3cd77b8f0d9a7553d343e0bef3c4100990288d0cefd4d214f795ba,26/06/2023 01:54:54,ESCANER
3866,"Guatemala",1,"San Raimundo",11,379,400,15,7,21,6,41,7,50,18,12,5,70,4,0,23,279,22,6,307,0,307,0,400,93,279,307,307,,1,60d6f000bc596a7f54b385f21492cd3abb229e2b82b1fb094d9a68bd29a0999b,26/06/2023 01:03:43,ESCANER
3867,"Guatemala",1,"San Raimundo",11,379,400,23,12,19,9,33,4,47,15,13,10,52,6,0,17,260,16,8,284,0,284,0,400,116,260,284,284,,1,7579a1162ba5b35c6d73f3ebc3bf6f0c11c057be7d489c58220273757db6064b,26/06/2023 01:02:57,ESCANER
3868,"Guatemala",1,"San Raimundo",11,379,400,25,14,19,18,28,5,43,17,17,8,70,1,0,21,286,13,4,303,0,303,0,400,97,286,303,303,,1,49b3970bf73e1c044e4a5f05605d5abd6d217b238e4e3016a6792089c952eaa0,26/06/2023 01:15:58,ESCANER
3869,"Guatemala",1,"San Raimundo",11,379,400,18,11,32,15,29,6,49,16,16,6,66,3,0,14,281,17,3,301,0,301,0,408,107,281,301,301,,1,9fdc069da28b62a829593897fb9a6b55a90a3252ebe70b99b7a91ce838e23ec4,26/06/2023 01:36:56,ESCANER
3870,"Guatemala",1,"San Raimundo",11,379,400,19,13,13,8,33,11,50,17,16,4,58,6,0,12,260,11,0,271,0,271,0,397,126,260,271,271,,1,38be7bd762ade40ac1c618fda8e7f7e9cfba54a7eb610a3307315ec9face219f,26/06/2023 00:41:12,ESCANER
3871,"Guatemala",1,"San Raimundo",11,379,400,25,13,15,8,33,2,42,12,12,11,53,1,0,11,238,14,1,253,0,253,0,400,147,238,253,253,,1,f18fb7eb6e5ea47ff02eaa04eca7b127f6fe59ce2df7e49342ef905bb42f605f,26/06/2023 01:06:55,ESCANER
3872,"Guatemala",1,"San Raimundo",11,379,400,12,7,23,7,35,5,44,16,12,6,74,2,0,18,261,8,1,270,0,270,0,400,130,261,270,270,,1,b543c8417f1422660db11aa23bdabc4e1d5b109ae3c15d97e819626cc8bcf8a7,26/06/2023 01:08:45,ESCANER
3873,"Guatemala",1,"San Raimundo",11,379,400,20,5,16,6,31,14,50,17,17,11,73,6,1,13,280,8,1,289,1,290,1,400,110,280,289,290,,1,a3f521a23066d8ba10dad7eebb82dc27b145b608ac4ca6f594b6140115291ce0,26/06/2023 00:52:56,ESCANER
3874,"Guatemala",1,"San Raimundo",11,379,400,24,6,17,4,34,6,34,15,18,7,50,7,0,23,245,15,5,265,0,265,0,380,115,245,265,265,,1,7cab61a53379fbb8f73aa7d03829ba678d5873278ea79c6842b5fa119e5fe0f6,26/06/2023 01:00:04,ESCANER
