TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
34,34,100.0000,34,100.0000,0,12624,9123,72.2671

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,BIEN,PHG,AZUL,UNE,VIVA,CREO,MLP,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
3918,"Guatemala",1,"Chuarrancho",12,388,400,67,21,9,65,86,28,7,7,2,4,296,9,2,307,0,307,--,400,93,296,307,307,Algún campo sin dato,1,21d476d9d6320242432046d4855f9cb7d6e41d48ff3ce1780f2f23c8bd47c4f8,26/06/2023 03:44:20,ESCANER
3919,"Guatemala",1,"Chuarrancho",12,388,400,70,17,17,54,89,27,7,12,1,8,302,14,3,319,0,319,--,400,81,302,319,319,Algún campo sin dato,1,a4d6ad6294823fd4925fe6a9ee842796c6f92de34d74cf58563011487722b1bc,26/06/2023 03:54:11,ESCANER
3920,"Guatemala",1,"Chuarrancho",12,388,400,73,26,12,61,74,33,6,11,2,7,305,15,6,326,0,326,--,400,74,305,326,326,Algún campo sin dato,1,d406f2102dad6b30f14b8a69cb04c9a3d5eee3e1ee32256851ac1210dbfab457,26/06/2023 03:20:22,ESCANER
3921,"Guatemala",1,"Chuarrancho",12,388,400,91,16,11,63,72,29,4,11,2,3,302,16,3,321,0,--,--,400,79,302,321,321,Algún campo sin dato,1,a4c69d735e1fbff4459f533a5ab23d05a8fc3e7669e5ca848004de32abd61677,26/06/2023 05:54:14,ESCANER
3922,"Guatemala",1,"Chuarrancho",12,388,400,95,19,5,59,94,14,9,15,2,2,314,16,3,333,0,333,--,397,64,314,333,333,Algún campo sin dato,1,81c61e5a243c3a7c45a704aa106f553b31f9e2354064728a21b2632479ea85fd,26/06/2023 03:07:49,ESCANER
3923,"Guatemala",1,"Chuarrancho",12,388,400,85,23,11,59,87,22,7,10,6,1,311,27,2,340,--,340,--,400,60,311,340,340,Algún campo sin dato,1,9bf2a2cc71d38692f2cd153efb2e0b41262bb643522f109c2898d65f2beb81e2,26/06/2023 04:15:37,ESCANER
3924,"Guatemala",1,"Chuarrancho",12,388,400,92,22,8,61,87,22,5,6,3,1,307,16,7,330,0,330,1,400,69,307,330,330,,1,6cd9104ea657503ae057cb78130bfbcdd5d432e1925d65a12163d1696c3d128d,26/06/2023 03:30:43,ESCANER
3925,"Guatemala",1,"Chuarrancho",12,388,400,122,19,15,62,86,16,5,10,3,--,338,12,6,356,--,356,--,400,44,338,356,356,Algún campo sin dato,1,1fb4220eedabe913f96bb97074acfaf8ab905e053c36317d13eede4e9aac0b87,26/06/2023 04:15:35,ESCANER
3926,"Guatemala",1,"Chuarrancho",12,388,400,122,14,12,66,77,21,4,2,1,2,321,11,5,337,0,337,--,396,59,321,337,337,Algún campo sin dato,1,a85a1dac2cf7b14a10cc6065fa34a3abc6185ca61996fa629df2d4b2ea018772,26/06/2023 06:01:45,ESCANER
3927,"Guatemala",1,"Chuarrancho",12,388,400,101,24,17,42,58,26,8,7,2,2,287,38,7,332,0,332,1,--,--,287,332,332,Algún campo sin dato,1,aae42ba8faaffde668e4a4eed49f91e01b6ded70d8f378c408f0385b1e1a0923,26/06/2023 03:21:42,ESCANER
3928,"Guatemala",1,"Chuarrancho",12,389,400,75,29,4,55,73,26,8,8,5,1,284,6,0,290,0,290,--,399,109,284,290,290,Algún campo sin dato,1,4b00aab311129ab6535f5baa82092decb55a34733d42752d822a8c47f9f61248,26/06/2023 02:38:43,ESCANER
3929,"Guatemala",1,"Chuarrancho",12,389,400,57,27,13,55,60,32,7,13,1,3,268,5,1,274,1,275,2,400,123,268,274,275,,1,0bbadc1f279baede7f94992da99b1c3685af7ba1dcc6aa93ee60e5c0b3ab32f7,26/06/2023 05:14:15,ESCANER
3930,"Guatemala",1,"Chuarrancho",12,389,400,59,20,3,61,75,26,6,7,7,1,265,13,2,280,0,280,--,400,120,265,280,280,Algún campo sin dato,1,d240d3b3b1fec3fb426d375b120819e0e5819a39ab6f9017e510c86245e6b453,26/06/2023 03:20:57,ESCANER
3931,"Guatemala",1,"Chuarrancho",12,389,400,72,14,11,36,76,31,5,9,5,1,260,5,1,266,--,--,1,400,133,260,266,266,Algún campo sin dato,1,0fc7e4bfe9c7d04a3c47875da422586314fcc15032429ee2f71dd53b65bfa682,26/06/2023 02:18:29,ESCANER
3932,"Guatemala",1,"Chuarrancho",12,389,400,53,20,7,39,82,38,1,11,6,2,259,18,7,284,1,285,1,400,115,259,284,285,,1,6a98242fecd94f54f694ee553cbd80ef9d0d673b492fe30c74306c5345c1c05e,26/06/2023 04:18:25,ESCANER
3933,"Guatemala",1,"Chuarrancho",12,389,400,60,17,12,52,81,17,4,6,5,2,256,11,2,269,0,269,--,400,131,256,269,269,Algún campo sin dato,1,2adbf8c025c073823a83d7c6ce3a401d7462928d8f5d6bcfbe72ac8dd26b8c25,26/06/2023 03:10:49,ESCANER
3934,"Guatemala",1,"Chuarrancho",12,389,400,88,17,10,53,75,26,13,2,3,1,288,2,0,290,0,290,--,--,--,288,290,290,Algún campo sin dato,1,b3d6d8374fbb56d247bcbf518358cb13128f41c00d5a7d28e314b7e8811bf44a,26/06/2023 02:57:57,ESCANER
3935,"Guatemala",1,"Chuarrancho",12,390,400,72,12,7,64,72,23,3,9,1,2,265,6,2,273,0,273,--,400,124,265,273,273,Algún campo sin dato,1,6a3d4540948bed554cda341da973db3d08017ad5fc32f52439d1aa87fa8242da,26/06/2023 02:52:41,ESCANER
3936,"Guatemala",1,"Chuarrancho",12,390,400,64,29,8,47,81,29,5,5,2,1,271,4,0,275,0,275,1,400,125,271,275,275,,1,d99dddb6af152bd032699ed29c6d68214d56a172fcd16762923c4b2f61bf784d,26/06/2023 02:40:05,ESCANER
3937,"Guatemala",1,"Chuarrancho",12,390,400,77,29,5,47,83,25,6,8,1,2,283,5,2,290,0,283,--,400,110,283,290,290,Sumas Asentadas sin cuadrar,1,00a9e7e3cb645e1a62b3c316242693cb75bfa296593099e5b78848ec35ddd1b2,26/06/2023 02:35:41,ESCANER
3938,"Guatemala",1,"Chuarrancho",12,390,394,67,28,6,51,92,23,5,11,0,1,284,1,1,286,0,286,--,394,108,284,286,286,Algún campo sin dato,1,05fe323cfe5ff2308a2557652d482be51aad55dfdd254dcaafca359fa33a666b,26/06/2023 00:53:35,ESCANER
3939,"Guatemala",1,"Chuarrancho",12,390,394,58,20,7,65,67,14,6,13,3,0,253,4,1,258,0,258,--,394,136,253,258,258,Algún campo sin dato,1,36bcd5382d72f319245987d9fec7177cfa6223e897da4372f18a997ba3c50e30,26/06/2023 02:01:21,ESCANER
3940,"Guatemala",1,"Chuarrancho",12,391,205,55,21,9,24,31,10,3,3,1,0,157,2,2,161,0,161,--,205,44,157,161,161,Algún campo sin dato,1,7ec1caa949f4a81ed83bab3e00f48890fcb9f9075230bb86f94eaa5c80de81ae,26/06/2023 01:04:53,ESCANER
3941,"Guatemala",1,"Chuarrancho",12,391,205,33,17,9,22,38,12,1,2,2,0,136,4,1,141,0,141,--,205,64,136,141,141,Algún campo sin dato,1,518e44fa396a805705a581d9b7857fc48771f1b73a9f5e50543ff75391ff9af5,26/06/2023 01:20:12,ESCANER
3942,"Guatemala",1,"Chuarrancho",12,392,400,99,18,5,34,74,20,18,5,2,1,276,20,5,301,0,301,--,400,99,276,301,301,Algún campo sin dato,1,223d20b9e5a127eb8ce7484af7ea9c9083a1f404eec9cf79ead059bd4d914930,26/06/2023 00:30:02,ESCANER
3943,"Guatemala",1,"Chuarrancho",12,392,400,131,15,11,40,56,12,18,3,0,3,289,23,8,320,0,320,--,400,80,289,320,320,Algún campo sin dato,1,cb6abb0ffeb4cc15c483051cefb90e82a26acf43b7c29d14f640617c96d7366a,26/06/2023 00:52:46,ESCANER
