TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
86,86,100.0000,86,100.0000,0,32091,23292,72.5810

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,UNE,AZUL,VIVA,UR,TODOS,CABAL,ELEFANTE,MLP,VOS,UNIONISTA,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
3952,"Guatemala",1,"Fraijanes",13,395,400,110,119,15,7,3,2,0,7,3,3,1,5,0,275,16,2,293,0,293,--,--,--,275,293,293,Algún campo sin dato,1,3f4e8ef09e58ac992e46c9d0844a0c2b3e4a52d7f11f4518da08c53cc6339e61,26/06/2023 00:23:38,ESCANER
3953,"Guatemala",1,"Fraijanes",13,395,400,103,117,26,5,4,2,--,4,1,11,1,2,--,276,12,1,289,0,289,--,400,111,276,289,289,Algún campo sin dato,1,cbc58419c2baa7a7c9b4f2b59aa8ca620175fd2826a1e4770ccf27a2b1dcb8c4,26/06/2023 01:18:02,ESCANER
3954,"Guatemala",1,"Fraijanes",13,395,400,105,126,23,7,3,--,--,8,1,5,2,1,--,281,21,--,302,--,302,--,400,98,281,302,302,Algún campo sin dato,1,f551574de5ab926ada83e540efe241744370f646fc2ff073be3e0ef9c9b38ded,26/06/2023 00:44:37,ESCANER
3955,"Guatemala",1,"Fraijanes",13,395,400,112,128,19,5,5,1,0,10,2,4,1,1,0,288,18,1,307,0,307,--,400,93,288,307,307,Algún campo sin dato,1,1396a1269e9795c04d2a66e61b4b1df7554bd1459f4cba0e69d79d363e0feda7,26/06/2023 00:50:20,ESCANER
3956,"Guatemala",1,"Fraijanes",13,395,400,120,135,20,10,5,0,0,10,4,3,3,1,0,311,15,1,327,1,328,1,399,69,311,327,328,,1,2a215199fb92932f4f1f39ce5d2f8edd9a271beb2a8c0328ea8a97d84d64fa8c,26/06/2023 01:40:27,ESCANER
3957,"Guatemala",1,"Fraijanes",13,396,400,102,123,21,9,4,0,0,8,0,6,1,1,0,274,23,2,299,--,--,--,400,101,275,300,300,Sumas Asentadas sin cuadrar,1,a8901727994da5db9e3b7db8c796b979f7a25ebec6cd7fef2afc0f66c0b2c2b9,26/06/2023 00:35:12,ESCANER
3958,"Guatemala",1,"Fraijanes",13,396,400,126,140,17,6,4,0,0,8,1,1,3,0,0,329,20,3,329,0,329,0,400,71,306,329,329,Sumas Asentadas sin cuadrar,1,619e3a59dde41576bad02fcbbabb2457eee5d7a782a046253820787afebaaf99,26/06/2023 02:33:33,ESCANER
3959,"Guatemala",1,"Fraijanes",13,396,400,117,117,24,14,4,1,2,7,0,5,0,3,0,294,22,2,318,1,319,1,400,81,294,318,319,,1,11af4f076f15a2afaf70c273a081fcffa5a7f436b76d2130c83b0d2e89c1f173,26/06/2023 01:14:11,ESCANER
3960,"Guatemala",1,"Fraijanes",13,396,400,147,116,20,1,1,0,0,6,1,8,4,2,0,306,19,1,326,0,326,--,400,74,306,326,326,Algún campo sin dato,1,113ef560a6444bb1e4693abccae6b88a7cce181b6af0a2fe86fb95f12be9cdb0,26/06/2023 00:02:15,ESCANER
3961,"Guatemala",1,"Fraijanes",13,396,400,136,154,19,6,1,0,0,5,0,8,1,2,0,332,13,3,348,0,348,0,399,48,332,348,348,,1,208ab6a3c7c74de069800b88a0086ef21047296cea91d68a0ace68be5dce951f,26/06/2023 00:24:39,ESCANER
3962,"Guatemala",1,"Fraijanes",13,396,400,105,121,15,4,3,0,0,10,0,8,4,2,0,272,8,0,280,0,280,--,400,120,272,280,280,Algún campo sin dato,1,14bcdac58ec77f33467b3634298ef1cd81cdde71178ac21810ece4a8640c9967,26/06/2023 00:58:22,ESCANER
3963,"Guatemala",1,"Fraijanes",13,396,400,122,100,19,5,5,1,0,10,2,4,1,3,0,272,8,0,280,0,280,--,397,116,272,280,280,Algún campo sin dato,1,c3c502e77a0d7bbbab6834ccd676ff4a961c3b985a99669511e0e24051a7a167,26/06/2023 00:15:00,ESCANER
3964,"Guatemala",1,"Fraijanes",13,396,400,120,97,18,7,7,0,0,5,2,3,2,5,0,266,21,1,288,0,288,--,400,112,266,288,288,Algún campo sin dato,1,4ece82b40d4fbdfd3998be927d8ed84b7b785ce85371c4a948afc0c316fb4892,25/06/2023 22:22:28,ESCANER
3965,"Guatemala",1,"Fraijanes",13,396,400,114,111,21,5,4,0,1,4,3,6,4,1,0,292,17,1,292,0,292,--,400,108,274,292,292,Sumas Asentadas sin cuadrar,1,a170032d2633388b3d8d2491aa0709beeb98eaac476ceb1c19bb6659c542f32c,25/06/2023 22:55:20,ESCANER
3966,"Guatemala",1,"Fraijanes",13,396,400,101,125,15,7,4,0,1,7,1,9,3,9,0,282,7,1,290,0,290,--,400,110,282,290,290,Algún campo sin dato,1,d63ab95a4cdd39dc1542809527174154dee2046f95fe13cf0a95121b83f67dd6,25/06/2023 22:44:35,ESCANER
3967,"Guatemala",1,"Fraijanes",13,396,400,103,121,21,4,7,2,1,4,1,5,2,4,0,275,9,0,284,116,400,--,400,116,275,284,400,Algún campo sin dato,1,f734bed96346043ab5bfd61b7782b00bd5f230782277cf080d38dbd1f3d43118,25/06/2023 22:30:36,ESCANER
3968,"Guatemala",1,"Fraijanes",13,396,400,124,107,26,10,0,1,0,3,3,5,1,2,0,282,17,1,300,0,300,--,396,96,282,300,300,Algún campo sin dato,1,0a0e3df79ae3a03f18837855f36486cab0c9b98e2f4cf16e446d0573cb0ac911,26/06/2023 00:45:11,ESCANER
3969,"Guatemala",1,"Fraijanes",13,396,400,106,114,16,10,4,1,1,7,1,1,1,1,0,263,16,0,279,1,280,--,400,120,263,279,280,Algún campo sin dato,1,b6c757b4a9428881ae7939744113f002724ed77ec8a0af57730c90d7d27a3aa0,25/06/2023 23:59:31,ESCANER
3970,"Guatemala",1,"Fraijanes",13,396,400,104,98,25,8,6,1,0,10,0,3,4,2,0,261,14,1,277,1,277,--,400,123,261,276,277,Sumas Asentadas sin cuadrar,1,5f53396c57dcb3ca7bbb5ca3eb2eaf3ddb5152c054cd3577b1d57d6f6fab9f2f,26/06/2023 01:31:13,ESCANER
3971,"Guatemala",1,"Fraijanes",13,396,400,107,108,16,12,5,0,0,6,2,2,4,3,0,265,2,4,271,10,281,1,400,118,265,271,281,,1,12b7fc262d8c2656d6aef19ea1c33d1d9d2bd9f8a61cad71b899e682b6fecdba,26/06/2023 01:19:33,ESCANER
3972,"Guatemala",1,"Fraijanes",13,396,400,128,113,18,8,1,0,0,3,0,4,0,0,0,275,5,1,281,0,281,--,400,119,275,281,281,Algún campo sin dato,1,b65c37560fc363d2cc0aa37335889e624dcbb923428a6b7099bc487b384ed7e8,26/06/2023 01:24:16,ESCANER
3973,"Guatemala",1,"Fraijanes",13,396,400,94,132,19,7,8,2,1,1,3,4,8,0,0,279,9,1,289,0,289,--,400,111,279,289,289,Algún campo sin dato,1,cefbda7d2d957d2957a75253ba0c1c4d9534db9abf80b7b47e6ee2528b7ada3f,26/06/2023 01:36:54,ESCANER
3974,"Guatemala",1,"Fraijanes",13,396,400,98,122,13,10,8,1,0,8,2,6,8,3,0,279,4,0,283,0,283,--,400,117,279,283,283,Algún campo sin dato,1,54123bb486c58c9b762ba067b2418b4b9ee82fa668c576f9175f271ee06ddad6,26/06/2023 00:15:08,ESCANER
3975,"Guatemala",1,"Fraijanes",13,397,400,129,128,17,15,0,0,0,2,0,3,2,0,0,296,6,0,302,0,302,--,400,98,296,302,302,Algún campo sin dato,1,4e26ea4ad97dacd6656e32554563db3f88647e310cda13cbb842ebba4dec83dc,25/06/2023 22:57:17,ESCANER
