TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
208,208,100.0000,208,100.0000,0,78651,44789,56.9465

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,MLP,VAMOS,UNE,U R N G - MAIZ,VIVA,BIEN,CABAL,UR,PPN,FCN-NACION,MI FAMILIA,VOS,PHG,PR,TODOS,P A N,VICTORIA,AZUL,PODEMOS,CAMBIO,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
4038,"Guatemala",1,"Amatitlán",14,405,400,51,6,6,12,10,7,59,42,3,19,1,10,6,12,1,1,2,1,6,1,0,1,257,25,0,282,0,282,--,400,118,257,282,282,Algún campo sin dato,1,e60f44458612fa418e796e1dc8b6024ec8186bca620dc6492d6daf8fbe0237d2,26/06/2023 00:44:38,ESCANER
4039,"Guatemala",1,"Amatitlán",14,405,400,43,8,9,18,8,6,52,46,5,21,1,12,6,5,4,1,3,2,9,0,1,2,262,10,1,273,0,273,--,400,127,262,273,273,Algún campo sin dato,1,d729f269a383c4e170514e61e3d0d6c6f4f16adc19afb52c175c110530aba40f,25/06/2023 22:27:46,ESCANER
4040,"Guatemala",1,"Amatitlán",14,405,400,43,6,8,20,10,5,50,47,5,11,0,5,7,8,1,1,4,2,8,0,1,3,245,12,2,259,0,259,--,400,141,245,259,259,Algún campo sin dato,1,8bf91c2c68a29806eac5bc52da3668e67bb94e5dfb9f4fc9cd564c6862c24bd7,25/06/2023 23:41:33,ESCANER
4041,"Guatemala",1,"Amatitlán",14,405,400,57,4,4,6,13,3,50,54,1,16,0,7,5,5,1,1,6,3,4,0,1,2,243,17,1,261,0,261,--,400,139,243,261,261,Algún campo sin dato,1,a8d94da6bbf2dc2f95bc034fb0e7e470c7b45469a8ea84bf634a434f1e3713d1,26/06/2023 01:13:01,ESCANER
4042,"Guatemala",1,"Amatitlán",14,405,400,58,6,14,12,6,4,56,49,3,23,5,6,9,2,2,5,0,3,6,4,0,0,273,18,2,293,0,293,--,400,107,273,293,293,Algún campo sin dato,1,bb34ee7c1d59890872f356c5b209ad00abbd89eee66e9458506b36995cdd8103,26/06/2023 01:33:23,ESCANER
4043,"Guatemala",1,"Amatitlán",14,405,400,49,5,12,10,11,8,50,42,6,17,0,7,10,8,0,1,3,3,8,1,3,2,256,18,3,277,0,277,--,397,120,256,277,277,Algún campo sin dato,1,fa3669992cca2b2baa2343791f069fff202afb4dce51b10acaad0c65bfe95d03,26/06/2023 01:59:55,ESCANER
4044,"Guatemala",1,"Amatitlán",14,405,400,48,5,2,16,12,6,60,54,2,15,1,4,10,5,0,2,3,3,8,1,1,4,262,20,2,284,0,284,--,400,116,262,284,284,Algún campo sin dato,1,514cbfd2e8e75c7088f4926b794f9b5f94ad8250b051df30f377e7d507aaed8e,26/06/2023 01:22:16,ESCANER
4045,"Guatemala",1,"Amatitlán",14,405,400,49,3,8,14,13,3,43,65,1,28,2,15,14,7,1,1,1,3,5,1,0,1,278,16,0,294,0,294,0,400,106,278,294,294,,1,d7a65854ed877379c45af5a69063083fac2b215c7321b7ad8ad8a82cf3d5952a,26/06/2023 00:33:55,ESCANER
4046,"Guatemala",1,"Amatitlán",14,405,400,46,4,8,17,11,6,47,46,4,18,1,8,5,8,0,1,5,2,4,2,4,5,252,22,2,276,0,276,0,401,125,252,276,276,,1,8ee7744984f3aaa79d57111059a1c50989acd278f8ada20bdd30a8c1fcc40b2c,26/06/2023 02:13:21,ESCANER
4047,"Guatemala",1,"Amatitlán",14,405,400,51,5,6,16,16,3,51,44,3,12,3,4,7,2,2,0,3,0,5,4,2,5,244,23,2,269,0,269,0,403,134,244,269,269,,1,3b288b8cf8c537f7b0b0eb8c127733a518441d7e2860abd571eb08a38023d3ce,26/06/2023 01:06:13,ESCANER
4048,"Guatemala",1,"Amatitlán",14,406,400,41,4,7,7,10,3,50,41,1,16,0,6,11,10,2,1,1,2,1,0,4,0,218,13,1,232,0,232,--,400,168,218,232,232,Algún campo sin dato,1,efd76326648a16a44c5294bda350d7bc7096b0290279ac3958eafbf245f9f89d,26/06/2023 02:52:35,ESCANER
4049,"Guatemala",1,"Amatitlán",14,406,400,54,2,8,11,9,3,49,48,2,10,2,11,7,7,0,1,1,0,8,0,3,2,238,12,0,250,1,251,--,400,149,238,250,251,Algún campo sin dato,1,16e8dc86ee6c442b388628e92901e203fce25b9a4c1e2e182328a18259021aed,26/06/2023 02:15:10,ESCANER
4050,"Guatemala",1,"Amatitlán",14,406,400,55,2,12,19,12,0,41,41,3,21,1,6,10,2,1,0,3,1,10,1,1,0,242,22,0,264,0,264,--,400,136,242,264,264,Algún campo sin dato,1,138d356689f0c73be32f63dfdc315f602ebea88ac2d9ac06d37d93d002e3efae,25/06/2023 23:07:46,ESCANER
