TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
233,233,100.0000,233,100.0000,0,88301,52553,59.5157

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,VICTORIA,PPN,PPG,UNE,VOS,BIEN,PR,UR,CABAL,TODOS,MLP,SER,PIN,PHG,CAMBIO,SEMILLA,P A N,UNIONISTA,PODEMOS,AZUL,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
4886,"Guatemala",1,"Villa Canales",16,483,400,8,52,4,3,9,71,1,26,1,0,4,4,0,2,11,3,1,21,3,3,9,2,3,241,16,1,258,0,258,--,400,142,241,258,258,Algún campo sin dato,1,b90a0a4ef918cec7d0b9333e9ae913b2dfc3e759afae820044fe6589e44e8055,26/06/2023 00:57:57,ESCANER
4887,"Guatemala",1,"Villa Canales",16,483,400,16,56,8,8,3,67,8,19,1,1,6,7,1,1,8,0,0,20,3,0,7,0,2,242,23,1,266,0,266,--,384,118,242,266,266,Algún campo sin dato,1,f2cafd2f3df0f16a6620bb8e6b3e0e7ddabbf53ad615ca694134404881d56270,25/06/2023 22:35:44,ESCANER
4888,"Guatemala",1,"Villa Canales",16,483,400,20,44,6,7,7,59,5,30,0,3,3,11,1,2,15,7,1,16,2,2,9,0,2,252,20,1,273,0,273,--,388,115,252,273,273,Algún campo sin dato,1,1a596c679de5f366b56164a73a9653e27002579f86df4cc98cff382eb705d1f7,26/06/2023 01:28:32,ESCANER
4889,"Guatemala",1,"Villa Canales",16,483,400,14,47,9,12,7,51,5,16,3,--,1,2,--,--,9,8,--,21,1,4,9,1,7,227,26,5,258,0,258,--,400,400,227,258,258,Algún campo sin dato,1,03b5bd14c61f5a2b23c0c4eb2c0d260f961e16f6f879efc940a2837b7bde3f48,26/06/2023 00:54:44,ESCANER
4890,"Guatemala",1,"Villa Canales",16,483,400,16,52,6,7,4,65,1,25,0,2,8,5,1,0,11,6,1,13,0,1,6,1,6,237,23,1,261,0,261,1,400,138,237,261,261,,1,ec30885e34dc03b5e5b807de5e323196e015f70868e37657a0ef97713fe84b33,26/06/2023 00:04:53,ESCANER
4891,"Guatemala",1,"Villa Canales",16,483,400,19,47,5,2,11,58,3,23,1,1,3,7,1,2,12,5,0,13,2,3,11,1,4,234,13,2,249,0,249,--,393,144,234,249,249,Algún campo sin dato,1,2079929888795dc697b74f07355a81567f39750ad124dae209158475b485b3c7,26/06/2023 01:19:19,ESCANER
4892,"Guatemala",1,"Villa Canales",16,483,400,13,33,7,11,7,64,9,28,0,1,3,5,0,1,15,6,0,20,0,2,4,2,5,236,18,3,257,0,257,--,396,139,236,257,257,Algún campo sin dato,1,ad53631193009ace7e91dd3bbe553e00c1152fd4cb25b0bc03b03cf95c71025a,26/06/2023 00:22:54,ESCANER
4893,"Guatemala",1,"Villa Canales",16,483,400,12,43,8,13,14,70,2,16,0,1,1,5,2,1,10,7,0,18,2,2,7,2,2,238,8,2,248,0,248,--,--,--,238,248,248,Algún campo sin dato,1,68e450f3b66e81e0295bc3a09ff1cf55361fc86547f394c539d00e9a4b528c74,26/06/2023 00:29:54,ESCANER
4894,"Guatemala",1,"Villa Canales",16,483,400,14,44,4,10,6,56,5,22,0,4,7,3,3,0,8,3,0,21,1,1,6,0,8,226,9,0,235,0,235,--,388,153,226,235,235,Algún campo sin dato,1,8b9610e6d531b4e5b52cc4c9aed79b5e854a1061e6570c59d37e35aab7d23bd1,26/06/2023 01:54:26,ESCANER
4895,"Guatemala",1,"Villa Canales",16,483,400,11,35,7,9,4,77,10,30,1,1,2,3,0,2,11,8,0,25,0,1,11,1,9,258,12,2,272,0,272,--,400,128,258,272,272,Algún campo sin dato,1,123a696bcfc5a95b6e0815bfd4afe8536d1102253f1210f8ebfc88bfb9ecdba5,25/06/2023 23:06:21,ESCANER
4896,"Guatemala",1,"Villa Canales",16,483,400,9,50,5,9,12,69,12,21,0,0,4,3,1,0,9,5,0,11,0,4,3,1,4,232,23,4,259,0,259,--,389,131,232,259,259,Algún campo sin dato,1,fa78e7029dc5880e66c01cac33505d6d8ee97eec8c911fa9af077adcf43bff1c,26/06/2023 01:03:03,ESCANER
