TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
218,218,100.0000,217,99.5412,1,82231,51520,62.6527

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,CABAL,SEMILLA,PPN,VICTORIA,CREO,PPG,PODEMOS,VOS,UNE,VALOR,U R N G - MAIZ,CAMBIO,UR,ELEFANTE,PHG,MI FAMILIA,PR,UNIONISTA,AZUL,P A N,MLP,PIN,BIEN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5119,"Guatemala",1,"Petapa",17,509,400,9,6,6,23,27,9,0,0,13,15,51,47,1,1,3,3,1,0,1,1,0,2,8,0,2,4,233,22,0,255,0,255,--,400,145,233,255,255,Algún campo sin dato,1,3ab3a7a83993638726b092abead2649aaf9e7cd368c4ef87387e3ad963a3841c,26/06/2023 03:25:11,ESCANER
5120,"Guatemala",1,"Petapa",17,509,400,5,9,7,32,19,16,0,1,3,17,45,36,2,2,5,6,0,3,1,3,1,1,9,0,3,6,232,18,2,252,0,252,--,397,145,232,252,252,Algún campo sin dato,1,ce330935312877800865a563bd0b43c3ceae87c65d1d27e9ea83f6a3f0ff6756,26/06/2023 03:01:11,ESCANER
5121,"Guatemala",1,"Petapa",17,509,400,9,11,2,33,22,17,0,1,6,12,45,56,4,0,3,6,2,3,0,1,1,1,5,0,2,7,249,25,2,276,0,276,--,400,124,249,276,276,Algún campo sin dato,1,d6fcd405d7a1741e265e273d1f691a9c3bbed1ccedbce12a46f6b2bb989fd3e5,26/06/2023 02:51:22,ESCANER
5122,"Guatemala",1,"Petapa",17,509,400,14,7,4,26,27,23,0,0,6,20,40,46,2,2,4,6,1,1,1,2,0,1,6,1,3,7,250,16,3,269,0,269,--,--,--,250,269,269,Algún campo sin dato,1,d71de5739415753db3349ebabd0adc01353e53f2960a069df1ca8e5d88c40dba,26/06/2023 03:16:12,ESCANER
5123,"Guatemala",1,"Petapa",17,509,400,6,9,5,34,24,21,0,2,5,19,59,46,1,0,7,3,0,2,0,1,0,1,5,1,3,6,260,14,2,276,0,276,--,412,136,260,276,276,Algún campo sin dato,1,8749bb0ab04be0609c5888fb04383ee7d2e0eb5edd8788e29e424ee3e429e103,26/06/2023 05:38:19,ESCANER
5124,"Guatemala",1,"Petapa",17,509,400,5,6,7,33,19,8,0,2,7,13,42,60,5,1,2,4,2,0,0,0,0,2,9,1,2,6,236,18,2,256,0,256,--,400,144,236,256,256,Algún campo sin dato,1,cafbd2cc49ea13b8c1b227b6d1827379007f956aa05d942a93cf3be61acac213,26/06/2023 03:17:36,ESCANER
5125,"Guatemala",1,"Petapa",17,509,400,11,9,1,36,20,7,0,1,9,21,55,55,0,3,3,6,1,3,1,0,1,2,9,1,3,4,262,13,1,276,0,276,--,412,136,262,276,276,Algún campo sin dato,1,8d7f7b3eacb676f729aa562228295a4b2a2e3b75a224ef9a4653c489610d4459,26/06/2023 02:51:28,ESCANER
5126,"Guatemala",1,"Petapa",17,509,400,10,7,2,44,14,11,0,0,6,17,80,61,3,0,5,2,1,1,1,0,0,0,6,0,3,2,276,9,1,286,0,286,1,--,--,276,286,286,Algún campo sin dato,1,0f1be617616fd4f1913c03b813f4b76c58a7c7bf666a9db0a0b236ef11243fc8,26/06/2023 03:45:16,ESCANER
5127,"Guatemala",1,"Petapa",17,509,400,7,2,4,49,28,20,0,0,6,21,44,60,0,1,8,2,0,0,1,0,0,2,5,3,0,2,265,12,3,280,0,280,--,297,17,265,280,280,Algún campo sin dato,1,f5bbd5bce097a97dc71f041c722eefd6afe1f01ffa9fa7dd99a063adf5d53fc1,26/06/2023 03:03:20,ESCANER
5128,"Guatemala",1,"Petapa",17,509,400,5,13,7,22,18,44,0,2,6,21,48,50,3,1,3,4,2,1,1,1,0,4,7,2,3,5,273,12,4,289,0,289,289,400,111,273,289,289,,1,3551ea83e7afc0f191b8b1a98513d7ec7dcfc58eba1560680e75f5dbb87fe3cd,26/06/2023 01:57:09,ESCANER
5129,"Guatemala",1,"Petapa",17,509,400,9,7,2,53,28,15,0,2,4,10,47,47,4,0,1,1,2,2,1,2,0,0,9,1,3,8,258,14,0,272,0,272,--,400,128,258,272,272,Algún campo sin dato,1,7f86438fdf6570d4d3c53f7223f7098ebc3ecfdc6b50da23b7aa8587f5be68b4,26/06/2023 03:01:32,ESCANER
5130,"Guatemala",1,"Petapa",17,509,400,4,4,3,30,24,12,0,0,4,21,46,41,0,0,2,5,0,1,0,1,0,0,2,3,1,4,208,9,1,218,0,218,--,398,180,208,218,218,Algún campo sin dato,1,4ec6c4ff79718de763d6f11d03cf030970c0b8d6a0375f624afc07028046ea91,26/06/2023 01:40:16,ESCANER
5131,"Guatemala",1,"Petapa",17,509,400,6,6,4,40,19,12,0,2,6,15,51,46,1,1,2,5,0,0,3,0,0,1,0,3,1,3,227,14,0,241,1,242,1,399,157,227,241,242,,1,66d135fbb2f2190e4edef781125eab90bd4f821503302890f8feb16d3a97cc0a,26/06/2023 02:51:05,ESCANER
5132,"Guatemala",1,"Petapa",17,509,400,7,6,3,34,20,12,0,1,3,17,46,48,4,1,3,5,1,0,1,1,1,2,7,1,2,5,231,16,3,250,0,250,--,400,150,231,250,250,Algún campo sin dato,1,48816b949b9a646264d3b5e8d7ce308266c23c189a1d631a525baff44c3163a3,26/06/2023 02:58:06,ESCANER
5133,"Guatemala",1,"Petapa",17,509,400,10,5,6,31,20,12,0,1,8,13,40,46,2,2,6,3,1,2,0,1,0,1,3,2,3,1,219,13,4,236,0,236,--,400,164,219,236,236,Algún campo sin dato,1,19ab347914aafb250bd39c117de0b84edcbe1e7f3d63963d9cf183f2bcffe13d,26/06/2023 01:59:15,ESCANER
5134,"Guatemala",1,"Petapa",17,509,400,6,9,4,29,24,10,0,2,5,15,43,49,1,3,3,3,0,0,2,1,2,0,4,1,2,2,220,18,0,238,0,238,--,400,162,220,238,238,Algún campo sin dato,1,985ae7a34610e08d00c0c59c4c041bf026b868279ac766fa4175ea4fa83cbbbc,26/06/2023 01:26:20,ESCANER
5135,"Guatemala",1,"Petapa",17,509,400,7,11,2,44,15,13,0,0,7,8,46,45,2,2,4,8,1,1,2,1,2,0,4,1,3,8,237,20,3,260,0,260,--,408,148,237,260,260,Algún campo sin dato,1,b1d7b8266eb392430ccd16292842bebbaa3e274bc83b29dcc6d93f408090d703,26/06/2023 03:09:23,ESCANER
5136,"Guatemala",1,"Petapa",17,509,400,13,11,4,33,14,13,0,0,3,23,43,51,0,1,2,4,0,3,0,1,0,0,6,1,3,0,229,13,1,243,0,243,--,400,157,229,243,243,Algún campo sin dato,1,524602cff15d2723cd9b890c3aee86bed82cfbc86d90e09867f5fa28daa23da7,26/06/2023 00:54:56,ESCANER
5137,"Guatemala",1,"Petapa",17,510,400,6,12,2,33,25,15,0,2,8,23,43,64,1,1,1,4,0,5,0,1,0,3,7,1,1,7,265,16,4,285,0,285,--,400,115,265,285,285,Algún campo sin dato,1,16c7db18caaf9978dc873b5cf94cb2cf7571e1fabc228eadb07483b4c743b73b,26/06/2023 02:04:05,ESCANER
5138,"Guatemala",1,"Petapa",17,510,400,13,9,5,37,17,10,0,1,5,20,37,65,1,1,3,3,1,2,0,0,0,1,9,0,3,4,247,22,0,269,0,269,--,400,131,247,269,269,Algún campo sin dato,1,403984460e53b523af004615ac939f607191f4415f371bb1fae0d030c3df0ba2,26/06/2023 03:03:00,ESCANER
5139,"Guatemala",1,"Petapa",17,510,400,7,1,5,41,17,11,0,2,3,12,55,53,2,1,4,4,1,0,0,0,1,0,4,0,1,6,231,14,2,247,0,247,--,412,165,231,247,247,Algún campo sin dato,1,bf5ea358449e3df4c816e19113f7a478b35c4ae02a9675be82b3340ae46f62ac,26/06/2023 02:44:05,ESCANER
5140,"Guatemala",1,"Petapa",17,510,400,9,6,1,34,17,15,0,4,5,13,46,54,0,0,7,6,1,3,2,0,0,3,13,4,4,3,250,9,3,262,0,262,--,397,135,250,262,262,Algún campo sin dato,1,d007fc93114ecaf7ec069d017ee052a4619f7b958a0e4b4ef27596e9330edc35,26/06/2023 02:25:27,ESCANER
5141,"Guatemala",1,"Petapa",17,510,400,6,11,1,40,20,13,0,1,3,15,50,57,2,0,2,4,1,1,0,2,0,1,10,0,0,0,257,15,2,257,0,257,--,400,143,240,257,257,Sumas Asentadas sin cuadrar,1,f5c56667903edc775620b1b0297b438307210805e49927b2028f0107b6df5204,26/06/2023 02:30:42,ESCANER
5142,"Guatemala",1,"Petapa",17,510,400,5,4,4,41,25,15,0,2,11,17,39,42,0,0,4,3,0,1,1,0,1,1,2,0,1,2,221,20,2,243,1,244,--,393,149,221,243,244,Algún campo sin dato,1,722cc06472c1f7e5ee7d891cf2990f77262d894b195b287d3a6cd3878d2d7db1,26/06/2023 02:45:25,ESCANER
5143,"Guatemala",1,"Petapa",17,510,400,6,2,3,33,23,14,0,1,9,15,46,45,0,0,3,6,0,0,0,1,3,3,8,1,3,3,228,10,1,239,0,239,--,400,161,228,239,239,Algún campo sin dato,1,754cff89fb1369a5d4fd8cea34293ceb6a83228553e5c9b30a95cae3a1110ed8,26/06/2023 03:05:01,ESCANER
5144,"Guatemala",1,"Petapa",17,510,400,5,3,0,32,14,13,0,0,3,13,43,55,0,0,6,4,0,1,0,1,0,2,4,0,3,4,207,11,1,219,0,219,1,400,181,206,218,218,Sumas Asentadas sin cuadrar,1,96f2ae623615e78a74d60d7b41d58de8de14837f24ffa721704c64437f06dc3d,26/06/2023 02:39:48,ESCANER
5145,"Guatemala",1,"Petapa",17,510,400,3,5,3,40,17,9,0,1,8,7,29,50,0,1,5,6,2,1,0,0,1,1,3,1,3,1,197,15,1,213,0,213,--,400,187,197,213,213,Algún campo sin dato,1,61d2234894e919e9754ba4b53558a41c7a0cb133fb28a52bd572e04cce43d635,26/06/2023 03:01:21,ESCANER
5146,"Guatemala",1,"Petapa",17,510,400,8,5,7,27,23,10,0,2,7,12,47,40,0,1,1,3,0,0,1,0,1,3,3,1,0,3,205,15,0,220,0,220,--,400,180,205,220,220,Algún campo sin dato,1,f514629c2ff656416a7a0b42222d82857ad6bc5887299ef43d7e2841a97549c9,26/06/2023 02:44:26,ESCANER
5147,"Guatemala",1,"Petapa",17,510,400,6,7,1,67,18,4,0,4,2,24,35,42,0,1,1,2,2,0,0,0,1,0,6,2,0,2,227,7,1,235,0,235,--,400,162,227,235,235,Algún campo sin dato,1,acd00b3fe8c02056197582661dbfaafc463bc31ab800d2f3804d2ad29cfc08dd,26/06/2023 02:54:30,ESCANER
5148,"Guatemala",1,"Petapa",17,510,400,3,3,2,61,17,2,0,2,7,20,27,69,1,0,2,4,1,0,1,0,1,1,2,5,6,7,251,3,0,254,0,254,--,394,143,244,247,247,Sumas Asentadas sin cuadrar,1,0ead0a8158e82d91547c35b4fb511ef0ac81be457a0163221ae6cdf8ee22c34f,26/06/2023 02:58:59,ESCANER
5149,"Guatemala",1,"Petapa",17,510,400,9,5,2,48,15,8,0,0,3,16,57,41,1,0,3,2,1,0,0,0,0,0,4,0,2,1,218,6,0,224,0,224,--,400,176,218,224,224,Algún campo sin dato,1,1118ef57e5737ee55e6b911f7177c4d9f03b7c962a877777daf851ffc659b996,26/06/2023 04:46:21,ESCANER
5150,"Guatemala",1,"Petapa",17,510,400,6,5,0,44,25,10,0,0,2,16,70,45,0,0,4,0,1,1,0,1,0,0,4,0,0,1,235,9,0,244,0,244,1,400,156,235,244,244,,1,e16e6d83d0f62c8091a1dbbbd0a9b68853f15b815d21c00826010df2f7cf46bf,26/06/2023 02:38:55,ESCANER
5151,"Guatemala",1,"Petapa",17,510,400,6,8,2,20,22,6,0,1,5,15,53,47,2,0,0,1,1,1,2,0,0,0,0,1,2,3,197,12,0,209,0,209,1,400,191,198,210,210,Sumas Asentadas sin cuadrar,1,93ce7a58a1cfd57c33b356173f708fec34251d001ff5626025c13a65d127f301,26/06/2023 05:44:27,ESCANER
5152,"Guatemala",1,"Petapa",17,510,400,9,0,4,32,21,15,0,0,6,8,30,42,0,1,2,3,1,2,0,0,2,1,2,0,2,2,185,7,1,193,0,193,--,400,207,185,193,193,Algún campo sin dato,1,062e5a86074e88eac6d6df1cc1b01171b5b4f508d84029f74617964c69481afb,26/06/2023 02:51:35,ESCANER
5153,"Guatemala",1,"Petapa",17,510,245,3,5,2,20,9,1,--,1,4,8,16,39,--,--,6,2,--,--,--,--,--,--,1,--,2,2,121,7,--,121,--,128,1,--,--,121,128,128,Sumas Asentadas sin cuadrar,1,a7b0e186f3f8553d48d89b441bca9458733ba638cbb2de49b25979a252a2bcc5,25/06/2023 21:49:15,ESCANER
5154,"Guatemala",1,"Petapa",17,510,245,4,3,1,22,11,4,0,0,2,8,11,29,0,3,4,1,0,0,0,0,0,2,2,0,0,1,106,3,1,110,0,110,--,245,135,108,112,112,Sumas Asentadas sin cuadrar,1,13afb2c503ea8cc11777a4396104a696697a3fec4c810f8ac52c73238482f241,25/06/2023 23:15:33,ESCANER
5155,"Guatemala",1,"Petapa",17,511,400,12,3,6,28,23,13,0,4,5,14,45,62,2,1,9,8,2,5,1,2,2,2,3,0,1,2,255,10,1,266,0,266,--,401,135,255,266,266,Algún campo sin dato,1,7f8d7bf3201772354a76727b81cd18e532379a3c468689f0d2d95269eae4053e,26/06/2023 01:39:53,ESCANER
5156,"Guatemala",1,"Petapa",17,511,400,17,2,2,33,29,16,0,4,6,11,44,54,1,0,4,3,0,6,0,0,2,1,4,1,1,9,250,14,2,266,0,266,--,400,134,250,266,266,Algún campo sin dato,1,bb4d662c90a5842c22ff33971725a5d504df885c632d85b46be94cd2b11d21d2,26/06/2023 01:37:15,ESCANER
5157,"Guatemala",1,"Petapa",17,511,400,23,2,3,32,26,14,0,5,6,15,38,65,4,0,0,7,1,7,0,0,3,2,3,2,3,11,272,16,1,289,0,289,1,399,110,272,289,289,,1,5ce10c171d26e0a92a3e620d4db0f2c79815a284c177862309fc55d3df561125,26/06/2023 02:17:27,ESCANER
5158,"Guatemala",1,"Petapa",17,511,400,19,6,5,36,26,14,0,5,7,18,43,56,3,1,2,3,0,5,0,0,1,3,4,3,7,7,270,8,2,280,0,280,1,400,120,274,284,284,Sumas Asentadas sin cuadrar,1,ea6be0552ca016b5c3f14a16fc458a853cdc22fd4d7a05d125cd8a3d32ccb394,26/06/2023 01:49:31,ESCANER
5159,"Guatemala",1,"Petapa",17,511,400,11,7,5,34,19,10,0,1,3,17,35,68,2,2,5,5,1,5,1,1,0,5,0,1,3,6,247,14,0,261,0,261,--,400,139,247,261,261,Algún campo sin dato,1,8aef4add71cbca0fdc29ba532e0ebb013d2da1c764d27027e63cd12b9b592fec,26/06/2023 02:43:48,ESCANER
5160,"Guatemala",1,"Petapa",17,511,400,10,0,2,36,22,10,0,5,10,20,32,76,3,1,1,5,0,3,1,0,1,1,3,3,4,11,260,6,0,266,4,270,--,400,130,260,266,270,Algún campo sin dato,1,09be9dbedfd60fabd176bc7e2fd5a6ec285a0c9c68a83ff243903944e71dcd7b,26/06/2023 05:08:06,ESCANER
5161,"Guatemala",1,"Petapa",17,511,400,11,5,5,33,20,9,0,2,5,15,33,73,2,3,5,7,1,3,0,1,3,0,2,1,1,3,243,12,1,256,0,256,--,400,144,243,256,256,Algún campo sin dato,1,42195fe7cfd30a48ef2149feb9d5e47ce3ead608ea1cb5cb1ded506a36e0df4e,25/06/2023 23:28:08,ESCANER
5162,"Guatemala",1,"Petapa",17,511,400,17,8,3,27,30,10,0,2,4,16,38,64,2,3,2,2,0,3,0,0,0,2,6,0,2,8,249,12,0,261,0,261,--,400,139,249,261,261,Algún campo sin dato,1,2714866d4c4cef0ca8b39f18a7c500e60dac057da990305a3265be151eecf594,26/06/2023 02:01:16,ESCANER
5163,"Guatemala",1,"Petapa",17,512,400,7,3,2,33,19,9,0,--,4,11,29,55,1,3,2,6,0,4,--,0,4,3,4,1,4,7,211,13,2,226,0,226,--,397,171,211,226,226,Algún campo sin dato,1,59393e89d9c92bb1d1cdb7dee2f5cffa54caac533a57b192237d8e9be5cd7348,26/06/2023 01:59:52,ESCANER
5164,"Guatemala",1,"Petapa",17,512,400,2,10,5,43,18,9,0,1,4,19,33,74,0,4,1,3,1,2,0,0,1,0,1,2,4,2,239,6,0,245,0,245,2,400,155,239,245,245,,1,92c79ad6915d9c3bc19c7e3111d6e4144600485f16cbecf593c01859286da49e,26/06/2023 01:42:39,ESCANER
5165,"Guatemala",1,"Petapa",17,512,400,10,3,1,44,18,4,0,1,2,13,41,49,1,1,5,2,1,3,2,0,0,0,0,3,0,4,208,7,1,215,1,217,--,400,184,208,216,217,Sumas Asentadas sin cuadrar,1,ed2c2cda0811fac54cfbe173c149881389f360648142fb114d16f3ce518f5e11,26/06/2023 01:56:45,ESCANER
5166,"Guatemala",1,"Petapa",17,512,211,4,3,2,23,15,8,0,1,3,5,16,23,2,0,0,3,0,1,1,0,1,0,0,0,1,0,112,4,1,117,0,117,--,211,94,112,117,117,Algún campo sin dato,1,8c1d5baf862cf08b7e3baabacc088d3b362ba00b1a2304a79589505643a92043,26/06/2023 01:08:25,ESCANER
5167,"Guatemala",1,"Petapa",17,512,211,3,3,0,33,15,5,0,0,3,6,16,35,1,0,2,1,0,0,1,2,0,0,2,0,0,1,129,7,0,136,0,129,--,210,72,129,136,136,Sumas Asentadas sin cuadrar,1,c40f31b2b571a4746385f99e82679081d18086a46d68bb5043eee1064a8bf460,26/06/2023 02:33:50,ESCANER
5168,"Guatemala",1,"Petapa",17,513,400,6,2,6,25,26,17,0,2,15,11,48,52,4,3,2,7,0,4,0,1,2,1,0,1,4,10,249,16,2,267,0,267,--,400,133,249,267,267,Algún campo sin dato,1,4d15e140f90531e78c5d42a37fe079fa79b92a081be527c65a6587121ff45a94,26/06/2023 02:14:24,ESCANER
5169,"Guatemala",1,"Petapa",17,513,400,10,5,9,16,32,21,0,0,19,13,41,48,0,1,5,6,3,5,0,1,1,3,7,0,2,2,250,13,2,265,0,265,--,400,135,250,265,265,Algún campo sin dato,1,94b02d53f73b566e2c464edaa57fbafd967a1387b01d542ea2af07f05641cac1,26/06/2023 03:00:23,ESCANER
