TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
100,100,100.0000,99,99.0000,1,38719,26828,69.2889

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,MLP,VOS,TODOS,VICTORIA,UNE,FUTURO,SEMILLA,AZUL,WINAQ,CAMBIO,MI FAMILIA,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5337,"Sacatepéquez",2,"Antigua Guatemala",1,527,400,17,12,12,39,75,1,4,68,27,5,9,2,10,1,282,15,0,297,3,300,--,400,100,282,297,300,Algún campo sin dato,1,fc81bcb7e34f1162f815cffa30c5b81252497ac892950efc6c4f42d22a6a6bda,26/06/2023 01:03:14,ESCANER
5338,"Sacatepéquez",2,"Antigua Guatemala",1,527,400,13,16,20,42,67,0,6,59,25,4,3,1,7,5,268,17,2,287,0,287,--,--,113,268,287,287,Algún campo sin dato,1,0b2fbaafa5ca1c46ce2134ccc99c0d0b90d507114740d9e669708d2c8bc43628,25/06/2023 22:37:19,ESCANER
5339,"Sacatepéquez",2,"Antigua Guatemala",1,527,400,16,11,13,30,78,1,10,76,27,11,6,1,14,2,296,8,0,304,1,305,--,400,95,296,304,305,Algún campo sin dato,1,bdd39703e618b95911b0a2753b6f06fc44319515f9f8d81d923a62e026d82495,26/06/2023 00:20:51,ESCANER
5340,"Sacatepéquez",2,"Antigua Guatemala",1,527,400,12,12,12,42,70,3,7,76,26,9,6,0,8,5,288,10,1,299,0,299,--,400,101,288,299,299,Algún campo sin dato,1,7cdb826d180ca73fb744276e5e3a61741ccd746f7ebd644b90d3656eae915f57,25/06/2023 23:20:28,ESCANER
5341,"Sacatepéquez",2,"Antigua Guatemala",1,527,400,22,16,6,47,74,1,5,63,25,6,3,1,13,4,286,18,0,304,0,304,--,400,96,286,304,304,Algún campo sin dato,1,19c0c3fadbe05bc58664e297cbe3d616deb551348dfed87d4a28d517aeb1e7fa,26/06/2023 00:21:37,ESCANER
5342,"Sacatepéquez",2,"Antigua Guatemala",1,527,400,15,10,11,39,69,2,3,88,34,8,7,0,11,3,300,10,1,311,0,311,--,400,89,300,311,311,Algún campo sin dato,1,a372a147cc468d9618cff5fc63c8423e6cc604056dca6182c4c87d08422f8020,25/06/2023 22:08:05,ESCANER
5343,"Sacatepéquez",2,"Antigua Guatemala",1,528,400,16,17,9,31,57,2,6,94,26,2,4,2,10,4,280,8,0,288,0,288,--,400,112,280,288,288,Algún campo sin dato,1,e731f4a10896092626d3957d4ed9b34c0dfbea5fbc2929bdbdd8cf75e395586d,25/06/2023 23:11:04,ESCANER
5344,"Sacatepéquez",2,"Antigua Guatemala",1,528,400,12,20,13,45,77,2,4,71,18,6,6,2,13,3,292,11,1,304,0,304,--,397,93,292,304,304,Algún campo sin dato,1,c6065631475085bbe73319af312b3c3ebe3303557e6e22191a91c22035f9e03b,25/06/2023 23:45:27,ESCANER
5345,"Sacatepéquez",2,"Antigua Guatemala",1,528,400,26,9,15,33,83,1,5,79,21,8,9,1,9,3,302,12,1,315,0,315,--,405,90,302,315,315,Algún campo sin dato,1,c7660dfdabad7898bf8e8821e9435958daa9084f5a4ddc8dfa6f528489595396,25/06/2023 23:06:11,ESCANER
5346,"Sacatepéquez",2,"Antigua Guatemala",1,528,400,16,12,8,42,73,0,6,83,24,12,4,1,7,5,293,11,0,304,0,304,--,400,96,293,304,304,Algún campo sin dato,1,f9e1e7c9f17a22d0855e5083a3e37ed7907900898dcfe124f25c36f29113244e,25/06/2023 22:23:47,ESCANER
5347,"Sacatepéquez",2,"Antigua Guatemala",1,528,400,20,12,6,43,67,1,2,92,27,3,2,1,7,2,285,6,0,291,0,291,--,406,115,285,291,291,Algún campo sin dato,1,d5af2135aeec54d49f80522d9f521da607281b5bed5dc8ea8780cced828f3ac3,26/06/2023 00:00:35,ESCANER
5348,"Sacatepéquez",2,"Antigua Guatemala",1,528,400,13,12,7,38,68,1,3,94,29,8,1,0,2,4,280,6,0,286,0,286,--,400,114,280,286,286,Algún campo sin dato,1,72ea6bcdf4639870560ffb6cae1b8fa2106b11c3c12b8318b0026aeeb732d3e5,26/06/2023 00:25:16,ESCANER
5349,"Sacatepéquez",2,"Antigua Guatemala",1,528,400,13,13,8,36,68,0,3,80,31,5,4,1,9,4,275,11,1,287,0,287,--,400,113,275,287,287,Algún campo sin dato,1,62ceb28f4d58fc0971c7fa4374485230bbdd365ce087ca6b9127a52c2caf71f6,26/06/2023 00:13:21,ESCANER
5350,"Sacatepéquez",2,"Antigua Guatemala",1,528,400,9,13,9,41,59,6,6,80,35,9,6,0,7,2,282,8,0,290,2,292,--,400,108,282,290,292,Algún campo sin dato,1,30037437a49e5e6c700df2744be6b04c1be56e4766502b276d3c10a4a62cfa88,26/06/2023 00:28:48,ESCANER
5351,"Sacatepéquez",2,"Antigua Guatemala",1,528,400,14,6,16,30,62,3,6,85,24,4,8,1,5,2,266,12,0,278,0,278,--,407,129,266,278,278,Algún campo sin dato,1,ac45f78768cc6906b3106d1fb68416113fcffd8847ce5aac4cde268c43fb1392,25/06/2023 23:47:05,ESCANER
5352,"Sacatepéquez",2,"Antigua Guatemala",1,529,400,17,11,11,38,73,2,10,79,20,6,3,0,9,1,280,12,2,294,0,294,--,397,103,280,294,294,Algún campo sin dato,1,34a58e50bc047f7881929559b4fb3717e87ed663a5a8b6abdb31e3006fa88eaa,25/06/2023 23:37:16,ESCANER
5353,"Sacatepéquez",2,"Antigua Guatemala",1,529,400,15,16,18,39,67,0,3,72,21,2,6,1,2,4,266,9,0,275,0,275,--,400,125,266,275,275,Algún campo sin dato,1,b0f74b3c231e50bc5ddaa850fffa1b0029c26aaa03b9ec0ea31535b28c901397,25/06/2023 23:13:09,ESCANER
5354,"Sacatepéquez",2,"Antigua Guatemala",1,529,400,16,8,15,28,74,1,5,76,30,5,2,0,8,1,269,15,0,284,4,288,--,400,112,269,284,288,Algún campo sin dato,1,ae387aee268d3010a27d469ba609a7c3984a72b6b2c550d29304693da3e29467,26/06/2023 00:01:07,ESCANER
5355,"Sacatepéquez",2,"Antigua Guatemala",1,529,400,27,9,11,43,66,1,4,75,18,7,4,2,4,1,272,8,0,280,0,280,--,407,127,272,280,280,Algún campo sin dato,1,46e259449e2362f66599ecf0c29f2b9ecb5de56f23744a074cb21c72ab29f772,25/06/2023 23:57:46,ESCANER
5356,"Sacatepéquez",2,"Antigua Guatemala",1,529,400,12,19,11,30,78,0,3,77,24,12,6,0,7,4,283,13,0,296,0,296,--,--,--,283,296,296,Algún campo sin dato,1,8d013ead04f4a4edb4ad46bf1bec9ec051849e66dccd3ee7744cd0ad431f8a59,26/06/2023 00:08:51,ESCANER
5357,"Sacatepéquez",2,"Antigua Guatemala",1,530,400,29,11,8,33,76,1,7,64,22,9,5,3,7,4,279,12,0,291,0,291,--,400,109,279,291,291,Algún campo sin dato,1,2095853944eea0dd72e647a06a59f4f93b1b3050fed448e898a95f06584e5a48,25/06/2023 23:22:49,ESCANER
5358,"Sacatepéquez",2,"Antigua Guatemala",1,530,400,22,11,9,37,77,2,3,85,24,10,3,2,7,3,295,13,1,309,0,309,--,400,91,295,309,309,Algún campo sin dato,1,19257fa30818b97909e41785d2e09aa1c12338a17de0ec3c935eb3b255855700,26/06/2023 00:20:14,ESCANER
5359,"Sacatepéquez",2,"Antigua Guatemala",1,530,400,20,5,7,30,80,3,6,64,20,8,3,2,8,3,259,16,2,277,0,277,--,400,123,259,277,277,Algún campo sin dato,1,3dfe0e950c790c2ec975a53d284e9a8b56921a53c6e741eb206a95d5bffe08ba,25/06/2023 23:31:56,ESCANER
5360,"Sacatepéquez",2,"Antigua Guatemala",1,530,400,23,15,11,37,79,1,8,73,19,7,4,1,6,2,286,10,1,297,0,297,--,400,103,286,297,297,Algún campo sin dato,1,888a0f6f6990a33688ab08198ba14b375f4b64ff169b48908f1dcac4526a34f0,26/06/2023 00:40:52,ESCANER
5361,"Sacatepéquez",2,"Antigua Guatemala",1,530,400,19,9,7,38,68,0,7,84,24,9,3,0,12,1,281,4,0,285,0,285,--,400,115,281,285,285,Algún campo sin dato,1,f2f6663f7f0704ad3519f299979a1bd9d07f7d92c7925e8ca16f380b1b6eff5e,25/06/2023 23:52:05,ESCANER
5362,"Sacatepéquez",2,"Antigua Guatemala",1,530,400,14,12,14,18,81,1,1,71,28,8,5,1,3,3,260,9,0,269,9,269,--,400,131,260,269,278,Sumas Asentadas sin cuadrar,1,2a9fec7370fc5a34896530ca6430ed65f34e454d75ca8215fc45e2d87d0393fd,26/06/2023 00:41:06,ESCANER
5363,"Sacatepéquez",2,"Antigua Guatemala",1,531,400,9,13,9,17,70,1,0,96,24,5,3,0,5,3,256,10,0,265,1,266,1,400,131,255,265,266,Sumas Asentadas sin cuadrar,1,3cd432e0d43f0a0cc46aea69aeece880c4d121841bee537ba2b3a75dbe17a1f0,25/06/2023 23:42:58,ESCANER
5364,"Sacatepéquez",2,"Antigua Guatemala",1,531,400,16,9,10,37,54,0,0,89,25,10,1,1,7,4,263,4,0,267,0,267,--,400,133,263,267,267,Algún campo sin dato,1,c35fd9258909f990e3d5588ba7d0f30397e390d70ba5124f7363cced7ca6322c,25/06/2023 22:20:30,ESCANER
5365,"Sacatepéquez",2,"Antigua Guatemala",1,531,400,12,12,6,40,76,0,1,116,34,2,3,1,1,0,304,5,0,309,0,309,--,400,91,304,309,309,Algún campo sin dato,1,dd40501a4881a5fdb8cb9a1df5eaf09f5208a436f8820080a90edaebe601cd0c,25/06/2023 21:53:14,ESCANER
5366,"Sacatepéquez",2,"Antigua Guatemala",1,531,400,16,12,9,30,73,0,2,124,25,5,2,1,2,0,301,4,2,307,0,307,--,400,93,301,307,307,Algún campo sin dato,1,259c04458f0076d8ae445b792a9ff20d9b23f5de12e6fa9ae29ee120eeffb32c,25/06/2023 22:36:50,ESCANER
5367,"Sacatepéquez",2,"Antigua Guatemala",1,531,400,12,12,6,37,86,0,0,96,23,4,4,2,9,0,291,4,0,295,0,295,--,400,105,291,295,295,Algún campo sin dato,1,6ab68738398e0ff5bdefbc99017f1b851c769635f597c4f2164a7fd96bb5b441,26/06/2023 00:28:29,ESCANER
5368,"Sacatepéquez",2,"Antigua Guatemala",1,531,354,12,10,2,36,56,2,1,60,21,4,3,0,2,2,211,1,0,212,0,212,0,354,142,211,212,212,,1,6c484125f8db64bdb65f7e91bd7c9c72e27d2b8c4186fab48fab2e79b907973c,25/06/2023 22:29:13,ESCANER
5369,"Sacatepéquez",2,"Antigua Guatemala",1,531,353,11,7,5,14,44,1,5,53,11,1,0,0,5,1,159,5,1,165,0,165,--,350,185,158,164,164,Sumas Asentadas sin cuadrar,1,22518f7d01a8f315d2077475dc9eeecf04309d86afff5a48ea3100a6310f0d78,25/06/2023 23:47:55,ESCANER
5370,"Sacatepéquez",2,"Antigua Guatemala",1,532,400,20,26,12,75,53,1,11,71,11,3,6,1,9,5,304,10,2,316,0,316,--,400,84,304,316,316,Algún campo sin dato,1,8a00eefa1431df66a3abc503a6bbb4807d509e37586d7dab5ed617575dfec0fd,25/06/2023 23:53:55,ESCANER
5371,"Sacatepéquez",2,"Antigua Guatemala",1,532,400,18,22,8,81,62,1,6,74,17,7,2,1,12,2,313,10,0,323,0,323,--,400,77,313,323,323,Algún campo sin dato,1,dd8faedf689b45e40b060299bb8a9b06dfe1e89423b9026d8d0205cf7fda3c6e,26/06/2023 01:55:45,ESCANER
5372,"Sacatepéquez",2,"Antigua Guatemala",1,532,400,20,16,18,71,67,2,2,81,10,4,3,0,15,3,312,8,0,320,0,320,--,396,76,312,320,320,Algún campo sin dato,1,ff596e21906fb45be13ee5773a3b8baa4e5f195e5d0930a9e47f6a6768da70ab,26/06/2023 00:33:13,ESCANER
