TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
37,37,100.0000,36,97.2972,1,14376,10525,73.2122

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,MARCUS,VOS,CABAL,WINAQ,VALOR UNIONISTA,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5437,"Sacatepéquez",2,"Jocotenango",2,546,400,9,44,72,30,103,5,27,11,301,9,1,311,--,311,--,399,88,301,311,311,Algún campo sin dato,1,53baeae14d321e895185a45054f13866da60ff0447112d82215879325af3772d,26/06/2023 02:06:39,ESCANER
5438,"Sacatepéquez",2,"Jocotenango",2,546,400,7,42,64,37,113,8,18,8,297,6,1,304,0,304,--,400,96,297,304,304,Algún campo sin dato,1,eb5c884f8ca299776feb104e0d9122362c82f76bce5619b4daa095ad58c24f62,26/06/2023 00:42:27,ESCANER
5439,"Sacatepéquez",2,"Jocotenango",2,546,400,4,51,64,49,91,8,25,20,312,12,1,325,0,325,0,399,74,312,325,325,,1,70d427a550c7fbb0f276dc0a4ca9b565d5f278feebaea2f485ae601d702df76e,26/06/2023 01:12:10,ESCANER
5440,"Sacatepéquez",2,"Jocotenango",2,546,400,5,48,76,42,107,5,15,13,311,11,2,324,0,324,--,400,76,311,324,324,Algún campo sin dato,1,719232b47ca2cb96e47cd4c179e97b25731fa984571bc167cac4f38f05251ed0,26/06/2023 02:33:12,ESCANER
5441,"Sacatepéquez",2,"Jocotenango",2,546,400,7,43,60,40,106,8,22,6,302,9,1,302,0,302,--,400,98,292,302,302,Sumas Asentadas sin cuadrar,1,303d5e78a8baa406245ccd721544154a3de105ceae0035a7c4d99fbc8573f58d,26/06/2023 00:57:18,ESCANER
5442,"Sacatepéquez",2,"Jocotenango",2,546,400,6,45,62,44,100,8,18,17,300,9,1,310,0,310,--,399,89,300,310,310,Algún campo sin dato,1,0fc12b3f3a7244619cda51bb6fc03d5b26fe15e7727f12c820d26b13d6a4ffe9,26/06/2023 01:41:59,ESCANER
5443,"Sacatepéquez",2,"Jocotenango",2,547,400,3,39,92,55,75,4,29,13,310,10,2,322,0,322,--,400,78,310,322,322,Algún campo sin dato,1,380956e332e41083512308dfa764f5f7ead8f460aabd743b2c7cf005ff9b2d93,25/06/2023 22:50:32,ESCANER
5444,"Sacatepéquez",2,"Jocotenango",2,547,400,5,55,74,43,103,6,18,5,309,9,1,319,0,319,--,400,81,309,319,319,Algún campo sin dato,1,2240d89ec38244a1fc977aee4e0aca23e730d63a167d4c9586f0e15a2482c2bb,26/06/2023 00:54:33,ESCANER
5445,"Sacatepéquez",2,"Jocotenango",2,547,400,4,38,78,42,102,7,20,10,301,11,1,313,0,313,--,400,87,301,313,313,Algún campo sin dato,1,ca88bb7148f8e88a5c0edc0a8078887125529fafbfc0096a771fe75ba07efef7,26/06/2023 00:49:31,ESCANER
5446,"Sacatepéquez",2,"Jocotenango",2,547,400,8,47,67,41,114,3,15,13,308,13,0,321,0,321,--,400,79,308,321,321,Algún campo sin dato,1,661ec876cd17a1e04a0d8c2ec71639d5058d0d79f42bb46f561b60365f525f2c,26/06/2023 00:32:09,ESCANER
