TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
28,28,100.0000,28,100.0000,0,10808,8221,76.0640

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,M.U.P,CABAL,VAMOS,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5474,"Sacatepéquez",2,"Pastores",3,553,400,107,158,4,14,283,13,3,299,0,299,--,404,105,283,299,299,Algún campo sin dato,1,8cacc8144e598b82ba68d7a7a867216cf093e9651fd7e8f61fdf6dbd2999afd4,26/06/2023 00:25:37,ESCANER
5475,"Sacatepéquez",2,"Pastores",3,553,400,118,168,7,15,308,13,3,324,0,324,--,400,76,308,324,324,Algún campo sin dato,1,47016051422cac81cbbfd5f0ea95cdd783454d23fed7bbe2054815b871c4b447,25/06/2023 23:09:29,ESCANER
5476,"Sacatepéquez",2,"Pastores",3,553,400,117,162,10,13,302,20,2,324,0,324,--,400,76,302,324,324,Algún campo sin dato,1,77e9186a54a8c645af5e81bc07de991bf46201527bc64813f3d80a847f533280,26/06/2023 02:37:37,ESCANER
5477,"Sacatepéquez",2,"Pastores",3,553,400,114,186,4,10,314,6,0,320,0,320,--,400,80,314,320,320,Algún campo sin dato,1,9e75c5b45aeb6c1747c341ad7405cfb825425c8a759a4d3e579b4aeffc9dfd6b,25/06/2023 23:29:28,ESCANER
5478,"Sacatepéquez",2,"Pastores",3,554,400,106,169,4,30,309,11,1,321,0,321,--,400,79,309,321,321,Algún campo sin dato,1,5e8b6f109c7dee2a199968281982b7f005ea6a0c45faaf921467d69886d4c5b9,26/06/2023 00:41:02,ESCANER
5479,"Sacatepéquez",2,"Pastores",3,554,400,134,181,4,15,334,10,1,345,0,345,--,400,55,334,345,345,Algún campo sin dato,1,5c0411d58375574477fca2ddf6bc7789355b4185291b77b561fb9115ecbd53a0,26/06/2023 01:16:38,ESCANER
5480,"Sacatepéquez",2,"Pastores",3,554,400,138,167,2,17,324,9,4,337,0,337,--,400,63,324,337,337,Algún campo sin dato,1,4f86bae548c5af243fc3a4598ea2a2035fa67abae40ed013062e2d6aa792bee9,25/06/2023 23:06:42,ESCANER
5481,"Sacatepéquez",2,"Pastores",3,554,400,125,173,5,18,321,12,4,337,0,337,--,--,--,321,337,337,Algún campo sin dato,1,ce2ab3f701cb97de98a07406c1bda35502bc12a2f2cfb66538c9d73665957dc8,26/06/2023 00:27:50,ESCANER
5482,"Sacatepéquez",2,"Pastores",3,554,400,103,184,7,21,315,16,4,335,0,335,--,397,62,315,335,335,Algún campo sin dato,1,e14bd687da05a92195ef10a68f8eeb797465ad46d9eb9b24a9acdd5164832ce1,26/06/2023 01:18:02,ESCANER
5483,"Sacatepéquez",2,"Pastores",3,554,400,103,179,5,22,309,4,2,315,0,315,--,400,85,309,315,315,Algún campo sin dato,1,b526123cc78a9cc892c0a827203129a94faebae3246b67f2573fd9ab3d8ddf89,25/06/2023 23:20:53,ESCANER
5484,"Sacatepéquez",2,"Pastores",3,555,400,87,174,5,18,284,15,5,304,--,304,--,400,96,284,304,304,Algún campo sin dato,1,8a7b8d964d151ebab29fb6128d95a6e67592269f04468b0c3d0213895a2d7290,25/06/2023 23:42:53,ESCANER
