TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
52,52,100.0000,52,100.0000,0,20604,12414,60.2504

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CC NUEVO AMANECER,VALOR UNIONISTA,COMITE CIVICO SOMOS SUMPANGO,UNE,PPN,AZUL,CABAL,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5502,"Sacatepéquez",2,"Sumpango",4,561,400,60,46,10,53,16,25,7,22,6,245,14,4,263,1,264,--,400,136,245,263,264,Algún campo sin dato,1,7b7a96c823810d2c2eb01ba9125dedce30271bc22b9dd4aded77feb8202f4715,26/06/2023 00:42:24,ESCANER
5503,"Sacatepéquez",2,"Sumpango",4,561,400,73,30,6,44,10,21,8,18,2,212,19,6,237,0,237,--,400,163,212,237,237,Algún campo sin dato,1,056848f4ff89a8b8b14c3f4c24346f32ebe15d296dad63bf1a7c6050ebb4ded2,26/06/2023 03:18:28,ESCANER
5504,"Sacatepéquez",2,"Sumpango",4,561,400,66,33,3,62,9,10,9,11,4,207,21,6,234,0,234,--,400,166,207,234,234,Algún campo sin dato,1,57039be7326846927cc234c0b13934b53934e01e71093db01d9400b27beb4706,26/06/2023 00:43:08,ESCANER
5505,"Sacatepéquez",2,"Sumpango",4,561,294,41,31,4,32,8,9,5,12,4,146,7,1,154,0,154,--,287,133,146,154,154,Algún campo sin dato,1,4b464431f70b0377e25a816e75a2da7b69909b87ecbea2fadc677a54dd002292,25/06/2023 22:14:02,ESCANER
5506,"Sacatepéquez",2,"Sumpango",4,561,294,37,36,1,17,3,14,5,6,2,121,3,1,125,0,125,--,291,166,121,125,125,Algún campo sin dato,1,a3ec689c15197bb1543898cba98b9a429c6dac13defc9ba0185b88d5b112f121,25/06/2023 22:54:32,ESCANER
5507,"Sacatepéquez",2,"Sumpango",4,562,400,40,20,17,55,8,67,13,16,4,240,27,9,276,0,276,--,400,121,240,276,276,Algún campo sin dato,1,0363f546197fd666470f4876d4cdd11c9a362be375f31e675af98af1a8e6e26e,26/06/2023 00:40:28,ESCANER
5508,"Sacatepéquez",2,"Sumpango",4,562,400,35,26,23,47,21,63,18,14,4,251,21,4,276,0,276,--,400,124,251,276,276,Algún campo sin dato,1,8b0f0829f8c592d4b0bd3a71fc7f5d8f34e1e4175750f87190de03835699c83c,25/06/2023 22:59:23,ESCANER
5509,"Sacatepéquez",2,"Sumpango",4,562,400,39,42,15,46,15,65,14,25,3,264,17,10,291,0,291,--,396,105,264,291,291,Algún campo sin dato,1,d99e797641d2874e6b2161dc78f18f3fca7ae4a772b5eca2a3d2455f8b65d9da,25/06/2023 23:46:08,ESCANER
5510,"Sacatepéquez",2,"Sumpango",4,562,400,41,34,12,34,14,71,17,13,2,238,28,9,275,0,275,--,400,125,238,275,275,Algún campo sin dato,1,de506b4ae58fbe74e310d358c26981295bbd1aa3f51708da04a1942f29b8316d,26/06/2023 01:14:09,ESCANER
5511,"Sacatepéquez",2,"Sumpango",4,562,400,38,30,34,39,13,52,15,20,4,245,10,5,260,0,260,--,400,140,245,260,260,Algún campo sin dato,1,7274126d742d37ebda55ab05c88ac368c97dc8b407c9c7f1bb89ad8e603a83e5,25/06/2023 23:57:17,ESCANER
