TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,18000,10841,60.2277

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,MLP,TODOS,UNE,C.S.S.,UR,AZUL,VICTORIA,WINAQ,PODEMOS,VIVA,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5574,"Sacatepéquez",2,"Santiago Sacatepéquez",6,569,202,3,12,8,28,1,60,4,5,5,5,6,9,3,149,8,1,158,0,158,0,202,44,149,158,158,,1,fc9e9b20975ee24931e6b4ce56f529671ccf8d3cd5f69744381fd1f0c785a851,25/06/2023 22:32:06,ESCANER
5575,"Sacatepéquez",2,"Santiago Sacatepéquez",6,569,202,4,9,3,23,3,72,3,2,4,1,3,2,0,129,14,1,144,0,144,0,202,58,129,144,144,,1,842d617d2f8ab4b773971b8aa8fc42ee04ae838f0194cfcaa63e9641e24660e3,25/06/2023 22:28:55,ESCANER
5576,"Sacatepéquez",2,"Santiago Sacatepéquez",6,570,400,12,41,5,62,0,65,12,8,7,1,2,17,2,234,15,4,253,0,253,0,400,147,234,253,253,,1,f94d8173959f9ebb52c805f535cae7f874abdeb1cf8f1f8e82796cd5b5351b27,26/06/2023 00:07:12,ESCANER
5577,"Sacatepéquez",2,"Santiago Sacatepéquez",6,570,400,17,37,4,68,9,57,5,9,5,2,7,17,0,237,10,2,249,0,249,0,400,151,237,249,249,,1,0baf01b22ffd102b1cafbfe7e6a3d4a4006b394ad9c5793a504009247829bfae,25/06/2023 23:26:45,ESCANER
5578,"Sacatepéquez",2,"Santiago Sacatepéquez",6,570,400,16,55,6,58,4,64,6,6,3,3,4,14,1,240,7,4,251,0,251,0,400,149,240,251,251,,1,b531ce5dc3dc388496861a959334a3a9fca781f6c1657b7687e90bc40484ba12,25/06/2023 23:59:33,ESCANER
5579,"Sacatepéquez",2,"Santiago Sacatepéquez",6,570,400,14,44,2,64,4,72,9,5,6,2,3,16,1,242,14,4,260,0,260,0,400,140,242,260,260,,1,df4b8b4d5bc2a9dd50d1880e5e350c697e4ac6d84697a2ac7f55c6f974590a60,26/06/2023 00:49:27,ESCANER
5580,"Sacatepéquez",2,"Santiago Sacatepéquez",6,570,400,15,45,1,64,4,57,8,4,4,3,4,17,1,227,10,5,242,0,242,0,400,158,227,242,242,,1,78c99c06092a3917d0ea001563d373f50e399e24e81e167ec65f5514f9cf2606,26/06/2023 00:25:23,ESCANER
5581,"Sacatepéquez",2,"Santiago Sacatepéquez",6,570,400,16,54,4,58,4,57,11,6,5,3,2,19,0,239,9,3,251,2,253,0,400,149,239,251,253,,1,d68254ea643f0d544d717686bcb384c8fd6626c600037c8ef3e6c1cb9d185874,25/06/2023 23:38:41,ESCANER
5582,"Sacatepéquez",2,"Santiago Sacatepéquez",6,570,400,13,58,2,55,6,75,7,15,5,2,6,13,0,257,9,5,271,0,271,--,400,129,257,271,271,Algún campo sin dato,1,80ea818fe29d73a7c558ee7108f8487f67cd6f3eebb5d8c95f63cb8dd05ff64f,25/06/2023 23:40:29,ESCANER
5583,"Sacatepéquez",2,"Santiago Sacatepéquez",6,570,400,25,39,3,65,2,67,9,9,4,5,6,17,0,251,9,2,262,0,262,--,400,138,251,262,262,Algún campo sin dato,1,701e879f6127ebdfcb144e74f146ef829cc35a2c1217b6c78a378e28753058fb,25/06/2023 21:38:06,ESCANER
5584,"Sacatepéquez",2,"Santiago Sacatepéquez",6,570,400,20,52,3,52,7,52,2,5,7,6,4,12,2,224,11,2,237,0,237,0,400,163,224,237,237,,1,285d7d2503224534398ee3e4a976f6e694a795db9a40829316e95260fd041060,26/06/2023 00:49:07,ESCANER
5585,"Sacatepéquez",2,"Santiago Sacatepéquez",6,570,400,20,48,8,48,5,73,6,8,7,3,7,16,1,250,7,2,259,6,265,0,400,135,250,259,265,,1,837f359233ccccdc6552c57e752188e6d9381cc00f5fb9218cc305969576c9f2,26/06/2023 01:49:27,ESCANER
5586,"Sacatepéquez",2,"Santiago Sacatepéquez",6,571,400,19,44,1,57,8,54,8,7,8,2,4,24,1,237,4,4,245,0,245,0,400,155,237,245,245,,1,1b585b6171549d2d51448f075e3304f652139dac56c1255a06babc0d70f0b60e,25/06/2023 23:16:38,ESCANER
5587,"Sacatepéquez",2,"Santiago Sacatepéquez",6,571,400,29,34,4,76,2,56,11,8,4,1,5,15,0,245,9,3,257,0,257,--,400,143,245,257,257,Algún campo sin dato,1,c9270180a658474fd2dd687f26c11de3a4b1dd92eb37cb50b95357b3b2e09a63,26/06/2023 01:40:23,ESCANER
5588,"Sacatepéquez",2,"Santiago Sacatepéquez",6,571,400,22,43,6,76,3,65,4,6,4,2,3,9,0,243,4,5,252,0,252,--,397,145,243,252,252,Algún campo sin dato,1,43ca0dab42fbe6575c11c4ddebb05bcb2eb3b732ac80a0fdb29538a3c6a9e215,25/06/2023 22:37:21,ESCANER
