TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
14,14,100.0000,14,100.0000,0,5324,3576,67.1675

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,PIN,VAMOS,AZUL,VOS,VICTORIA,VIVA,MI FAMILIA,TODOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5622,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,400,64,13,43,50,12,19,3,13,11,1,30,259,19,1,279,1,280,0,400,120,259,279,280,,1,470e4416955bb66bb74385c178d80253482b65ec83481c2eb07dce93cf29f4d1,26/06/2023 00:24:25,ESCANER
5623,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,400,60,14,66,43,6,14,1,21,13,2,17,257,18,3,278,0,278,0,400,122,257,278,278,,1,dd0347bbe99875a84c3f5b19fd8bd1dcec48261ec09880f98a6ab8c00c5f21b3,26/06/2023 01:33:37,ESCANER
5624,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,400,58,8,51,46,18,21,3,36,16,0,26,283,14,0,297,0,297,0,400,103,283,297,297,,1,3becea88d151493ae4971f5016b72ff7de25a2909eefb3894b5d31534b628c17,26/06/2023 02:14:14,ESCANER
5625,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,400,62,10,46,52,13,18,0,28,9,2,28,268,6,0,274,1,275,2,400,122,268,274,275,,1,f6a0e10059fa3070e2ed4a2362aad9af644ef0cf6f06c2443cf436b47434ac0c,26/06/2023 01:51:58,ESCANER
5626,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,400,63,12,54,48,15,17,0,21,4,0,28,262,6,0,268,0,268,0,400,132,262,268,268,,1,3ff9700245ffa62865c5955e929a0fc8d7cef91ef1e0ba1527f2a4bb16c5768c,26/06/2023 00:18:32,ESCANER
5627,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,400,68,8,47,43,18,23,1,29,7,0,23,267,9,0,276,0,276,0,400,124,267,276,276,,1,e119d416d8bcd93736f22a332a268717b02add2ae335ef360d2b4698499b93e1,26/06/2023 00:46:46,ESCANER
5628,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,400,58,10,59,51,8,25,3,14,8,1,23,260,8,0,268,0,268,0,400,132,260,268,268,,1,faa4693a905adce2eaca310a2880d695666db9c6d3b8dfb79cbedb50ce9a88b7,26/06/2023 02:02:06,ESCANER
5629,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,400,69,14,46,45,10,24,0,20,15,1,13,257,9,5,271,0,271,0,400,129,257,271,271,,1,e30e16c9f3eb837ded78ac0a4d4d0d179137d6a0c66d679bad0299a882d382d5,26/06/2023 01:17:11,ESCANER
5630,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,400,57,6,53,45,10,26,0,25,7,2,16,247,6,6,259,1,260,--,400,140,247,259,260,Algún campo sin dato,1,765bd1fbe90030e264d46a79165718694f8a3891c46291a17bd839e8b427969b,26/06/2023 01:24:17,ESCANER
5631,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,400,60,5,48,47,10,25,0,22,11,2,17,247,9,1,257,0,257,0,400,143,247,257,257,,1,774c4b62a6c6ca53227a55e55aed466c81745edad22f9549cc27d1b763c82c16,26/06/2023 00:43:54,ESCANER
5632,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,400,75,8,52,57,16,22,3,32,7,1,15,288,10,0,298,0,298,0,400,102,288,298,298,,1,4a3f4bb3a58832af70ca9e2393cad021b5aeb9bf9006059275729467ee94d6d4,26/06/2023 02:10:35,ESCANER
5633,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,351,56,4,59,25,6,31,2,17,5,3,15,223,11,0,234,0,234,0,351,117,223,234,234,,1,f7457dd1828d6c547802eed8b8e91bf136c35d0e47fd083b9c74f9817b304868,25/06/2023 23:35:09,ESCANER
5634,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,580,350,65,5,33,30,6,26,0,21,7,1,14,208,5,1,214,0,214,0,350,136,208,214,214,,1,1aa7743111a0f71e90d726f8d5a48ea36275c062f66ef81e26c097f734426fce,26/06/2023 00:04:28,ESCANER
5635,"Sacatepéquez",2,"San Bartolomé Milpas Altas",7,581,223,29,6,11,15,2,6,1,9,7,0,10,96,5,2,103,0,103,0,223,120,96,103,103,,1,939b2c8b75f7cb206b736317ce154c8f43d138bfae3d53e16607e588d098c62c,25/06/2023 22:40:29,ESCANER
