TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
45,45,100.0000,45,100.0000,0,17281,11497,66.5297

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,UNE,AZUL,PPN,VIVA,CABAL,UR,PODEMOS,VICTORIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5636,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,582,400,53,39,83,25,34,19,10,5,2,1,271,13,3,287,1,288,--,400,112,271,287,288,Algún campo sin dato,1,ea099b00951e78e22d9f0ae104b1b443b1a66ff7520063ef986c1bbfdfa8fab8,26/06/2023 01:38:23,ESCANER
5637,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,582,400,55,42,92,19,28,19,3,15,3,0,276,13,3,292,0,292,--,400,108,276,292,292,Algún campo sin dato,1,ba5440c4256effa74e3f265e32d2bcca4dd7c8d2ae830d841b3c37f720ab15ae,26/06/2023 03:52:07,ESCANER
5638,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,582,400,53,32,90,23,30,13,12,8,3,2,266,11,0,277,0,277,--,400,123,266,277,277,Algún campo sin dato,1,e88358406f26b99cab2e42b33055634c5ce0e355085f377a07edac059e0fd6eb,26/06/2023 03:23:18,ESCANER
5639,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,582,400,51,33,98,24,33,9,12,6,4,5,275,8,5,288,0,288,--,400,112,275,288,288,Algún campo sin dato,1,650ee5b7f2e066ba544c4f4ca83c8892b6d1109852688e6a55006b31c9e4d1ca,26/06/2023 00:52:04,ESCANER
5640,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,582,400,51,38,81,16,28,12,13,12,5,6,262,18,2,282,0,282,--,400,118,262,282,282,Algún campo sin dato,1,0168232f7956ad9864501a9a030c20386a153306cf6e2a90bd77a0907beb65fc,26/06/2023 00:28:34,ESCANER
5641,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,582,400,55,33,92,26,28,13,7,8,2,6,270,12,3,285,0,285,--,400,115,270,285,285,Algún campo sin dato,1,9fca826ff4ef7abbf337dc95397cb6f0b68d391e5aeb113e0ce09fe387f4d38a,26/06/2023 02:55:37,ESCANER
5642,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,582,400,61,32,96,19,26,12,13,9,2,5,275,11,0,286,0,286,--,400,114,275,286,286,Algún campo sin dato,1,3418d1f3c00466626ec27370d68dd0bbe7a9f732317eca7434d28f1c7e325bd7,26/06/2023 02:37:02,ESCANER
5643,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,582,400,55,37,103,35,28,10,8,9,0,5,290,24,3,317,0,317,--,400,83,290,317,317,Algún campo sin dato,1,098b425a73bc3ddae7d5a5860e59f04dfd87e8a362a58f49916a6f574b09086d,26/06/2023 02:04:37,ESCANER
5644,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,582,400,57,43,102,15,26,15,5,10,4,1,278,19,1,298,0,298,--,400,102,278,298,298,Algún campo sin dato,1,2a47b0f7fb3c2e39b62dfb889edce91b0e726a3230f81abc599659874427ebf2,26/06/2023 02:06:58,ESCANER
5645,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,582,400,54,37,94,17,17,14,6,6,2,2,249,10,3,262,0,262,--,400,138,249,262,262,Algún campo sin dato,1,fd36df13743136091ed8eb0e4dde3f7e2957a30c488c909f89c374db3b27f11d,26/06/2023 01:59:28,ESCANER
5646,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,582,400,60,33,96,16,22,10,7,5,2,3,254,16,4,274,0,274,1,400,125,254,274,274,,1,445b1c2d996abf5c5dc306cd8fe5a581e8ec2f8d381d1a4338991ba408bbdf0e,26/06/2023 00:20:33,ESCANER
5647,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,582,400,51,30,87,20,30,11,6,3,3,5,246,8,2,256,0,256,--,400,144,246,256,256,Algún campo sin dato,1,0fa2be2f91cc931a6d9959f59f16ad9246e83841ddebe2ce0bc7b9faa0f201a1,26/06/2023 01:50:10,ESCANER
5648,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,583,400,48,34,83,27,17,10,15,7,0,1,242,8,0,250,0,250,--,400,150,242,250,250,Algún campo sin dato,1,33c722e901115f2e7f6b88aa187270dd3090d2563cba25ca1ae20759a9328ae1,26/06/2023 01:00:28,ESCANER
5649,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,583,400,57,22,91,22,26,8,12,6,6,1,251,16,2,269,131,400,--,400,131,251,269,400,Algún campo sin dato,1,9d7ca12c5a41d353bf68f8cab64dda6086fa9d630867bb8649f1d62b88a36f36,26/06/2023 01:48:12,ESCANER
5650,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,583,400,55,26,90,14,24,9,10,3,1,6,238,14,0,252,0,252,1,400,147,238,252,252,,1,797cac8fcf8a3f2b0faca30d675c541d4cb235a6e9ae78c8bf3aba3af8a3faae,26/06/2023 02:05:21,ESCANER
5651,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,583,400,37,28,87,15,22,10,15,9,7,3,233,8,2,243,0,243,--,400,157,233,243,243,Algún campo sin dato,1,e4c2dd36b7ebf93a8bd98203a1349fd56a24e12cca9bc9f76cc8953dbdbc5195,26/06/2023 02:38:36,ESCANER
5652,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,583,400,41,40,73,22,32,16,15,4,3,3,249,16,3,268,0,268,1,400,131,249,268,268,,1,0482d754af508ccc0bb5371bfffee48e7bfe41c74946fe4c5e4fbc09c0bd321f,26/06/2023 03:25:29,ESCANER
5653,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,583,400,48,40,80,15,32,13,12,8,3,5,256,8,0,264,0,264,--,400,136,256,264,264,Algún campo sin dato,1,0b28b2e7b4e4d4c9dfd8ad6d8bb43fe216fb42cff97391eb96269a4c59298f6f,26/06/2023 02:09:47,ESCANER
5654,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,583,400,43,44,83,21,32,14,7,8,3,2,257,16,1,274,0,274,--,400,126,257,274,274,Algún campo sin dato,1,dc1379b8e08e28901648ba170d87a8da2086c349f508df1e2fbf6e0cbf71cf8f,26/06/2023 01:04:42,ESCANER
