TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
19,19,100.0000,18,94.7368,1,6810,4981,73.1424

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,UNE,AZUL,PPG,PPN,MI FAMILIA,VIVA,UR,VAMOS,VICTORIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5708,"Sacatepéquez",2,"Magdalena Milpas Altas",10,591,400,58,43,23,17,25,6,4,19,2,18,8,49,272,21,2,295,0,295,--,400,105,272,295,295,Algún campo sin dato,1,0203208dcf3c5a448029dc6a6a0fc4c3f88e1783f0a4f1bd4ac11fcc79667ec1,26/06/2023 01:42:36,ESCANER
5709,"Sacatepéquez",2,"Magdalena Milpas Altas",10,591,400,70,39,21,19,18,5,11,15,5,19,11,42,275,26,4,305,95,400,--,400,95,275,305,400,Algún campo sin dato,1,9452a1f57175f4c03e02e32b5d4738355a78e6e18255f1e94b8d3eaace5ec0d7,26/06/2023 01:16:15,ESCANER
5710,"Sacatepéquez",2,"Magdalena Milpas Altas",10,591,400,68,39,18,17,27,9,4,15,3,16,11,56,283,18,0,301,0,301,--,400,99,283,301,301,Algún campo sin dato,1,b50646f23c0254aa176c55da8f278983389c5373a5a4f7d6f60f34aabf607fd6,25/06/2023 23:39:38,ESCANER
5711,"Sacatepéquez",2,"Magdalena Milpas Altas",10,591,400,78,41,9,19,28,11,5,9,3,20,8,62,293,20,5,318,0,318,--,400,82,293,318,318,Algún campo sin dato,1,2ad85c175e7be1a2043c9aa0907cfedc1c1ef49b58d2f6efe249a0913fe590b5,26/06/2023 00:49:59,ESCANER
5712,"Sacatepéquez",2,"Magdalena Milpas Altas",10,591,400,94,38,15,17,35,12,7,5,5,8,6,59,301,13,3,317,0,317,--,400,83,301,317,317,Algún campo sin dato,1,6554619c531dc01f752f6eec724e6ea325fb92df9a9f7cc7547fb06f65237cd2,26/06/2023 00:35:30,ESCANER
5713,"Sacatepéquez",2,"Magdalena Milpas Altas",10,591,400,89,21,23,13,24,3,2,10,1,18,8,64,276,22,4,302,0,302,--,400,98,276,302,302,Algún campo sin dato,1,729ad54b493c8df7e97a7d6713e2158a13bc7a436518f46b8a9fb25f7bd05092,26/06/2023 00:44:30,ESCANER
5714,"Sacatepéquez",2,"Magdalena Milpas Altas",10,591,400,70,36,23,13,40,5,10,9,3,10,10,45,274,11,3,288,0,288,--,400,112,274,288,288,Algún campo sin dato,1,ab48f15143879f587cd1b4001a503be559c22aeb284d752af67292f9445d09f1,25/06/2023 23:49:16,ESCANER
5715,"Sacatepéquez",2,"Magdalena Milpas Altas",10,591,400,48,42,19,10,41,5,2,14,8,19,9,58,275,13,2,290,0,290,--,400,110,275,290,290,Algún campo sin dato,1,410f521f9a0275ba72fef192b65a4db686e5285c9be9f49e000c50df6233a2b4,26/06/2023 03:16:41,ESCANER
5716,"Sacatepéquez",2,"Magdalena Milpas Altas",10,591,400,66,35,23,15,36,5,8,17,3,18,12,59,297,7,1,305,0,305,--,400,95,297,305,305,Algún campo sin dato,1,89812015b0e1d2839c48c3ddb6a530479882f1f856a19fc0a75444b0af6189f7,26/06/2023 01:03:01,ESCANER
5717,"Sacatepéquez",2,"Magdalena Milpas Altas",10,591,400,75,26,14,12,32,10,5,20,4,19,7,52,276,8,3,287,0,287,--,400,113,276,287,287,Algún campo sin dato,1,32045dd95abc2ec57988aeb785ff433b9d07120c52c53bf69e271b1a8a205be4,25/06/2023 23:29:55,ESCANER
