TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
33,33,100.0000,33,100.0000,0,12809,7653,59.7470

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,UNE,VICTORIA,PPN,AZUL,WINAQ,VOS,UR,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5727,"Sacatepéquez",2,"Santa María De Jesús",11,594,400,21,43,42,33,46,24,1,3,19,12,1,245,7,2,254,0,254,--,400,146,245,254,254,Algún campo sin dato,1,8ce85b325782457a10abbd88b5702eeb13f7f69ed7af52c1b00d867bfdc67b16,25/06/2023 22:12:05,ESCANER
5728,"Sacatepéquez",2,"Santa María De Jesús",11,594,400,23,38,44,30,64,21,9,1,20,9,4,263,6,2,--,--,--,1,400,129,263,271,271,Algún campo sin dato,1,9d943be9d837d7689a78ca11aecc7f6f700d53198bd68997a915b7742c14d86b,25/06/2023 22:52:29,ESCANER
5729,"Sacatepéquez",2,"Santa María De Jesús",11,594,400,17,34,47,28,64,13,4,3,20,4,2,236,9,5,250,0,250,--,400,150,236,250,250,Algún campo sin dato,1,a0cfbe280897089d546db409516849d5d31404aa9634304c66cf132441edf57e,26/06/2023 00:16:26,ESCANER
5730,"Sacatepéquez",2,"Santa María De Jesús",11,594,400,23,42,50,31,48,20,4,2,20,12,1,253,5,2,260,0,260,--,400,140,253,260,260,Algún campo sin dato,1,e15ac5c12b0e8bc4037048801bb3f7e2b9d1ada70060035871005c4b85a139b5,26/06/2023 01:11:33,ESCANER
5731,"Sacatepéquez",2,"Santa María De Jesús",11,594,400,23,40,36,23,66,18,4,2,24,3,3,242,15,4,261,--,--,--,400,--,242,261,261,Algún campo sin dato,1,13edf8c322dfc54b101eac4878f5850662f7c8ae92ee312c416e5b21452d0e70,26/06/2023 01:42:55,ESCANER
5732,"Sacatepéquez",2,"Santa María De Jesús",11,594,400,23,35,34,41,66,16,5,1,19,8,1,249,13,6,268,0,268,--,400,132,249,268,268,Algún campo sin dato,1,07589c11c5a200c81a6c64ca06dd07cac8391804f2bada28657f743c8fd009d5,26/06/2023 01:09:55,ESCANER
5733,"Sacatepéquez",2,"Santa María De Jesús",11,594,400,26,54,38,27,61,24,1,1,21,7,1,261,5,1,267,0,267,--,400,133,261,267,267,Algún campo sin dato,1,d6e2de52f0fd51645fc8c0e653402632ecf08b434296f8757e6b523c5fadf334,26/06/2023 00:33:27,ESCANER
5734,"Sacatepéquez",2,"Santa María De Jesús",11,594,400,26,38,30,42,62,15,2,4,28,8,6,261,8,3,272,0,272,--,400,128,261,272,272,Algún campo sin dato,1,47b3a04c673fe40027c357ef5c7dc82495d0d08cb5cabe9fbb462cab77bf3778,25/06/2023 23:35:32,ESCANER
5735,"Sacatepéquez",2,"Santa María De Jesús",11,594,400,31,39,49,35,44,12,8,3,21,15,1,258,8,6,272,0,272,--,400,128,258,272,272,Algún campo sin dato,1,6bcaec630f51ac4e177d50db8a9d7a0c1bc146c9462d1aa7375d9916dea60271,26/06/2023 00:01:33,ESCANER
5736,"Sacatepéquez",2,"Santa María De Jesús",11,595,400,23,41,45,20,62,19,5,3,19,8,2,246,6,2,254,0,254,--,400,146,247,255,255,Sumas Asentadas sin cuadrar,1,61d8ba7f808534fbe9b63c7b50a707f4917a668d82c8945fd3196b932c321ef7,26/06/2023 02:01:54,ESCANER
5737,"Sacatepéquez",2,"Santa María De Jesús",11,595,400,41,29,52,37,62,12,5,5,18,10,1,272,8,5,285,0,285,--,399,115,272,285,285,Algún campo sin dato,1,02fda8a223c0a1a4b89303a765528bf16d3bd11b05d5fc885438004cd146d312,26/06/2023 01:33:20,ESCANER
5738,"Sacatepéquez",2,"Santa María De Jesús",11,595,400,28,29,46,32,55,9,3,2,23,8,2,237,8,4,249,--,--,--,400,151,237,249,249,Algún campo sin dato,1,3b47d58cc851c839f957cb7d8cfa9e80a40b0503fa5a6ecce1b62fbb709e900c,26/06/2023 01:39:55,ESCANER
5739,"Sacatepéquez",2,"Santa María De Jesús",11,595,400,24,42,42,32,58,13,3,3,24,4,4,249,5,2,256,0,256,--,400,144,249,256,256,Algún campo sin dato,1,609f1031581288a570012a2485aadcfae3c0df6f99cfee99619bfb99b6649244,26/06/2023 01:29:03,ESCANER
5740,"Sacatepéquez",2,"Santa María De Jesús",11,595,400,22,34,41,43,67,17,7,0,13,6,0,250,1,0,251,0,251,--,400,149,250,251,251,Algún campo sin dato,1,592b77976c65884912483acbbe6d08e2dc423887177ea75bda860aa6c8b9c6b2,26/06/2023 01:24:48,ESCANER
5741,"Sacatepéquez",2,"Santa María De Jesús",11,595,400,23,24,46,35,66,21,3,3,25,2,6,254,7,0,261,0,261,--,400,139,254,261,261,Algún campo sin dato,1,95fea28889bca1c816f4a221c1423bc69986083211b10b8c48ea23418accf971,26/06/2023 01:24:05,ESCANER
5742,"Sacatepéquez",2,"Santa María De Jesús",11,595,400,19,35,44,38,52,20,3,6,14,10,4,245,6,1,252,0,252,--,400,148,245,252,252,Algún campo sin dato,1,7893ec248c3545ec327567e5fcd08a89623fb0de63b20fb5620fce620f6ddce5,26/06/2023 01:48:54,ESCANER
5743,"Sacatepéquez",2,"Santa María De Jesús",11,596,400,27,35,33,42,48,20,5,7,24,5,1,247,8,1,256,0,256,--,400,144,247,256,256,Algún campo sin dato,1,1456319bd900160de69fbf28031fd8a4182fde3dbbcbdd4d8877b49320760a77,25/06/2023 23:50:09,ESCANER
