TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,19012,12018,63.2127

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PPN,UNE,CABAL,LIBRE CIUDAD VIEJA,WINAQ,MI FAMILIA,VIVA,AZUL,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5760,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,39,20,25,54,120,2,1,3,6,2,272,4,3,279,0,279,--,400,121,272,279,279,Algún campo sin dato,1,de9b69b7a3959ee9fdc8db919ce1753a7a99a15c9dda4c5207d4055ce6937a09,26/06/2023 00:12:05,ESCANER
5761,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,37,24,33,59,96,3,1,3,6,0,262,10,3,275,0,275,--,400,125,262,275,275,Algún campo sin dato,1,ffa212c73df8bfc6ac7812fa319f471ef3c631f015cad1725b3d0cb71ec72297,26/06/2023 00:04:28,ESCANER
5762,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,45,20,27,47,114,1,2,5,5,0,266,11,1,278,0,278,--,401,123,266,278,278,Algún campo sin dato,1,b74393c15ec25e725e0caa18d101c25a5fcfe19273fef9601fcc03da79e59128,26/06/2023 01:33:19,ESCANER
5763,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,44,16,38,39,95,1,1,10,13,2,259,13,1,273,0,273,--,400,127,259,273,273,Algún campo sin dato,1,16d565373697ce882bc7c7e8efe204eea2bf5ee80f913e5d4b3f68d5cc59a3e2,26/06/2023 00:35:18,ESCANER
5764,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,43,13,36,39,127,0,3,0,4,1,266,6,4,276,0,276,--,400,124,266,276,276,Algún campo sin dato,1,e28dc419b3f811325f63d5523f8a9bb3b609683d0800513a045abbc4441cfd4b,26/06/2023 01:10:36,ESCANER
5765,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,49,14,29,33,118,1,5,4,11,1,265,12,2,279,0,279,--,400,121,265,279,279,Algún campo sin dato,1,b8c194ad3731c0e59681d44dd1c3db5c407eb6da1c0811f1047be64f741444aa,26/06/2023 00:49:09,ESCANER
5766,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,36,18,34,51,104,3,3,2,8,3,262,14,0,276,0,276,--,400,124,262,276,276,Algún campo sin dato,1,a50046c2dd09e7b9d5e4ac56f35508d872b3ca1d725923d47f0da943b90fd994,26/06/2023 01:55:39,ESCANER
5767,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,39,12,22,43,139,1,1,2,7,2,268,4,0,272,0,272,--,400,128,268,272,272,Algún campo sin dato,1,4c4e69628e253b3a8ec22eb20b493a29b942b7c5d38bffd82b5a13531e95b2f2,26/06/2023 00:20:23,ESCANER
5768,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,43,18,34,42,115,4,1,5,2,1,265,7,1,273,0,273,--,400,127,265,273,273,Algún campo sin dato,1,f214ac311e9da80b3946e97b9d92827623c7c835bbd376261c99659f78f2a292,26/06/2023 01:58:37,ESCANER
5769,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,40,15,28,54,125,1,0,3,5,0,271,7,2,280,0,280,--,400,120,271,280,280,Algún campo sin dato,1,f9bacc4fb6e74135099b108c6ceb1e281255de1424692762cd9cb4f636aa6d61,26/06/2023 01:44:04,ESCANER
5770,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,40,17,26,52,120,1,0,3,8,0,267,2,3,272,0,272,--,400,128,267,272,272,Algún campo sin dato,1,75b213400954c079a6cfdafe7192cbe4f546d82ac269ff1998258ce2044f965f,26/06/2023 03:22:10,ESCANER
5771,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,27,14,36,43,120,3,1,6,6,1,257,8,3,268,0,268,--,400,132,257,268,268,Algún campo sin dato,1,b849abca16895440e654c9ba5c025f9e316669921e0a767167d7e7fc3951e005,26/06/2023 00:39:57,ESCANER
5772,"Sacatepéquez",2,"Ciudad Vieja",12,599,400,30,11,23,48,132,1,2,3,4,0,254,5,0,259,0,259,--,400,141,254,259,259,Algún campo sin dato,1,e0a249e9e26df3a7c9830d4adbb9a36c96925f91f7b5a716f84f0f37ecd6a223,26/06/2023 00:19:15,ESCANER
5773,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,42,14,29,52,109,5,0,3,4,1,259,8,2,269,0,269,--,400,131,259,269,269,Algún campo sin dato,1,130bba5c14c9d1011a99cfdc276b7d0b5da7d65f6981c5f3453ec2a845f83dca,26/06/2023 01:24:21,ESCANER
