TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
19,19,100.0000,19,100.0000,0,7437,4492,60.4006

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,VIVA,PPN,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5808,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,42,79,12,1,15,86,235,16,3,254,0,254,--,400,146,235,254,254,Algún campo sin dato,1,e22420254a852bb775ae6d4fe6c031acdf7ddf3a264c839bc702d7d493a3084c,26/06/2023 00:57:03,ESCANER
5809,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,40,93,4,0,16,78,231,24,6,261,0,261,--,402,141,231,261,261,Algún campo sin dato,1,4b25b607808b3e9acba06bad9e66b1f3870700bcd278c2eddd34bfc542cfbadc,26/06/2023 00:49:57,ESCANER
5810,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,36,79,7,5,16,91,234,21,8,263,0,263,--,--,--,234,263,263,Algún campo sin dato,1,9a8ad171227b0a84aeb2d8a463f291a7ef609737dfdaa983a4ce92b2828187f6,25/06/2023 23:18:55,ESCANER
5811,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,30,97,14,2,13,78,234,15,2,251,18,269,--,402,133,234,251,269,Algún campo sin dato,1,1120c3d9356817bc9f6074b69155e935ada3dc519c1cb26ecc6d29c0a012bd50,26/06/2023 00:37:03,ESCANER
5812,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,38,102,8,0,13,75,236,33,2,271,0,271,--,400,129,236,271,271,Algún campo sin dato,1,2b9378fe27d0049628ddad8f40fde4fc158d0deb58f0e2ac7bd55597ae8d2653,25/06/2023 22:40:52,ESCANER
5813,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,37,84,9,2,16,87,235,22,4,261,139,400,--,400,139,235,261,400,Algún campo sin dato,1,8cac069e62f5ff54d8177749366039500353b9fd544ef1945a9565ebcfb37bdc,25/06/2023 22:48:20,ESCANER
5814,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,36,100,9,3,12,83,243,22,4,269,0,269,--,396,127,243,269,269,Algún campo sin dato,1,75b00efa9fa24142b2693525afa78281fd4981e7bf6ed8b92c52e458bbed1230,25/06/2023 23:30:18,ESCANER
5815,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,39,83,5,0,10,74,211,24,2,237,--,237,--,402,165,211,237,237,Algún campo sin dato,1,4de02089638fd799922a155be1cee7537d35d3a82afe96956918b1e139ea38cf,25/06/2023 23:54:06,ESCANER
5816,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,34,82,8,1,12,73,210,17,3,230,1,231,--,400,169,210,230,231,Algún campo sin dato,1,1636e91579962635915d3bb541d5d8c09f4421cad72a57389165658fc81f61bd,25/06/2023 23:12:08,ESCANER
5817,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,39,79,10,1,9,86,224,19,4,247,0,247,--,400,153,224,247,247,Algún campo sin dato,1,4ebedbd329cc25645f4ec06033f816393f68cb87b472d1167368466419d693ed,25/06/2023 22:54:05,ESCANER
5818,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,41,71,7,1,16,76,212,23,5,240,0,240,--,400,160,212,240,240,Algún campo sin dato,1,1315a17a42dc20d7d9a7b527c76d96e1d41e4b30a494a31a53989138dc347a34,26/06/2023 00:50:31,ESCANER
5819,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,35,81,7,0,16,88,227,22,1,250,0,227,--,--,--,227,250,250,Sumas Asentadas sin cuadrar,1,d60770dd2d7d6662b1106bfcd613e504bbe20226253fa110fba69413be7d3554,26/06/2023 02:00:50,ESCANER
5820,"Sacatepéquez",2,"San Miguel Dueñas",13,604,400,31,81,7,1,11,89,220,17,5,242,0,242,--,400,158,220,242,242,Algún campo sin dato,1,3dae914e29ba60ca157eca065c0a243c84228e0ffc106a1a024b5f578b9f035a,25/06/2023 23:09:23,ESCANER
