TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
32,32,100.0000,32,100.0000,0,12853,8809,68.5365

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,MLP,PPN,ELEFANTE,VAMOS,AZUL,MI FAMILIA,UR,CREO,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5827,"Sacatepéquez",2,"Alotenango",14,606,400,53,29,3,28,64,41,9,11,5,17,1,7,268,11,2,281,0,281,--,400,119,268,281,281,Algún campo sin dato,1,fdab4251d81f688e8b0fc34c39a830ea59419bcab5f24366910ea1c09a706992,26/06/2023 00:32:41,ESCANER
5828,"Sacatepéquez",2,"Alotenango",14,606,400,34,29,1,43,70,39,5,8,6,13,9,1,258,14,2,274,0,274,--,400,126,258,274,274,Algún campo sin dato,1,a7970ca11c141791d6932b8c5eb430a47a72cf6df0dd32f66767d2cef8b67b31,25/06/2023 23:10:12,ESCANER
5829,"Sacatepéquez",2,"Alotenango",14,606,400,25,25,5,28,77,46,9,8,2,26,9,5,265,10,1,276,0,276,--,400,124,265,276,276,Algún campo sin dato,1,f85feec052e910a75f6b3ad3f86df25bd817664eab13a09abec9d790bf5f26f8,26/06/2023 00:49:43,ESCANER
5830,"Sacatepéquez",2,"Alotenango",14,606,400,35,24,3,33,63,59,5,4,2,18,8,5,259,10,10,279,0,279,--,400,121,259,279,279,Algún campo sin dato,1,844a73a205bef9a203fe63286afd29dd03f5a42edc2ad3c1774191eb337c0ee9,26/06/2023 00:05:07,ESCANER
5831,"Sacatepéquez",2,"Alotenango",14,606,400,32,32,3,28,80,38,7,7,0,25,10,3,265,13,6,284,0,284,--,399,115,265,284,284,Algún campo sin dato,1,50098ad5bc321f11b27bb18c722d92a94e1db5c295158a2cdba03dc916ba0ebb,26/06/2023 01:24:29,ESCANER
5832,"Sacatepéquez",2,"Alotenango",14,606,400,51,27,3,20,78,40,6,6,3,30,6,3,273,12,7,292,0,292,--,400,108,273,292,292,Algún campo sin dato,1,e9b7b5d96aa21accdac70d3f5e1680b2ea18e31a652f0ff0bbb33e4340d4bef2,25/06/2023 23:24:53,ESCANER
5833,"Sacatepéquez",2,"Alotenango",14,606,400,46,34,0,39,82,42,3,11,0,18,6,4,285,8,4,297,0,297,--,399,102,285,297,297,Algún campo sin dato,1,01422497b1fa2a730580f9d4ddf2bcf2128d51adec0a45d458beeb692aea12c2,26/06/2023 00:04:06,ESCANER
5834,"Sacatepéquez",2,"Alotenango",14,606,400,44,31,9,23,60,49,2,5,6,31,11,4,275,9,9,293,0,293,--,400,293,275,293,293,Algún campo sin dato,1,c88b56992a207c0a7f8ba99af8d1995f737c59c736ea3547527a8fcf5dfcb641,26/06/2023 02:04:55,ESCANER
5835,"Sacatepéquez",2,"Alotenango",14,606,400,53,35,0,35,48,48,3,9,1,27,5,5,269,16,9,--,--,269,--,396,102,269,294,294,Sumas Asentadas sin cuadrar,1,eecf24876795dc758800676fdecf582d7b0ccae61bdf80a9a19af36a7190b129,26/06/2023 05:04:43,ESCANER
5836,"Sacatepéquez",2,"Alotenango",14,606,400,42,48,1,13,75,42,4,9,2,23,7,3,269,14,11,294,--,--,--,400,106,269,294,294,Algún campo sin dato,1,b9fb981e456937865404036c4d2f45536f51255cf637838571f078a3478db731,25/06/2023 23:56:40,ESCANER
5837,"Sacatepéquez",2,"Alotenango",14,606,400,39,39,4,27,63,58,4,10,1,25,6,3,279,15,12,306,0,306,--,400,94,279,306,306,Algún campo sin dato,1,e6018f58bae5a315fe1deac75c3d45b8b94e6a735d3489cb797fcfa40e27953a,25/06/2023 23:52:25,ESCANER
