TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
19,19,100.0000,19,100.0000,0,7430,5751,77.4024

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VOS,VAMOS,AZUL,CABAL,PPN,WINAQ,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5859,"Sacatepéquez",2,"San Antonio Aguas Calientes",15,611,400,106,32,19,68,17,6,3,55,306,10,1,317,0,317,--,400,83,306,317,317,Algún campo sin dato,1,1ed64ac83b4e704bd5f98a2814a517c8e41b49417becfe17f6eac0c49be3b6fc,26/06/2023 01:12:54,ESCANER
5860,"Sacatepéquez",2,"San Antonio Aguas Calientes",15,611,400,118,36,33,64,15,0,1,54,321,5,4,330,0,330,--,400,70,321,330,330,Algún campo sin dato,1,9ffe3335689854902ee4cecaa2054c4e4ea3ecea195be11f97645d4025f67492,26/06/2023 04:57:52,ESCANER
5861,"Sacatepéquez",2,"San Antonio Aguas Calientes",15,611,400,115,29,27,65,19,7,3,48,313,3,6,322,0,322,--,400,78,313,322,322,Algún campo sin dato,1,de7c9cefa44ff181aa53a3ab98dc97e2c3c36f365f0db4af0c2ef26804db6be7,26/06/2023 00:25:26,ESCANER
5862,"Sacatepéquez",2,"San Antonio Aguas Calientes",15,611,400,121,34,33,62,19,3,1,52,325,14,1,340,0,340,1,400,54,325,340,340,,1,c4f19d16a58af75ea46939ae17c23f486c054435bac130631b7f301cfa0a2508,26/06/2023 02:38:33,ESCANER
5863,"Sacatepéquez",2,"San Antonio Aguas Calientes",15,611,400,107,40,34,70,22,7,2,45,327,7,5,339,0,339,--,400,60,327,339,339,Algún campo sin dato,1,cb1815b3202682463ed1277f16084445a8dcef6a20cdeac2689f9d0187d31941,26/06/2023 01:56:49,ESCANER
5864,"Sacatepéquez",2,"San Antonio Aguas Calientes",15,611,400,106,43,36,69,13,7,2,53,329,3,3,335,0,335,--,401,66,329,335,335,Algún campo sin dato,1,7e39940651d1eaa1f30de5a4f82162c66de3dbfa4a690d854056bd480d3cd4f9,26/06/2023 01:29:55,ESCANER
5865,"Sacatepéquez",2,"San Antonio Aguas Calientes",15,612,400,102,39,42,58,19,7,1,49,317,0,2,319,3,322,3,400,78,317,319,322,,1,6924d40afb493d981314556a80d18915cd9347b1fae7cba05f272c191cdb66a7,26/06/2023 01:28:19,ESCANER
5866,"Sacatepéquez",2,"San Antonio Aguas Calientes",15,612,400,113,20,26,38,18,6,1,67,289,2,1,292,0,292,--,400,108,289,292,292,Algún campo sin dato,1,565c4b5fd840e963b814b95f96aa9a61e79d9398ce666bad966cd3da9008aa5f,26/06/2023 01:12:02,ESCANER
5867,"Sacatepéquez",2,"San Antonio Aguas Calientes",15,612,400,103,31,16,59,16,5,2,58,290,10,1,301,0,301,--,400,99,290,301,301,Algún campo sin dato,1,7cc727122dad4962ebb2a12ef04353e7d6f45515fa23a0dd4ddf8372d6f11179,26/06/2023 01:47:05,ESCANER
5868,"Sacatepéquez",2,"San Antonio Aguas Calientes",15,612,400,97,25,25,60,21,7,1,58,294,9,1,304,0,304,--,397,93,294,304,304,Algún campo sin dato,1,f6712284e660def13f40b9e3d2c011d4cd9311d06f78e20357daebdc923bfd52,26/06/2023 02:31:07,ESCANER
5869,"Sacatepéquez",2,"San Antonio Aguas Calientes",15,612,400,94,22,26,76,16,12,1,61,308,5,1,314,0,314,--,400,86,308,314,314,Algún campo sin dato,1,fdb2e71cc2110db55a2b004f1915f15ef8c254c4f7ccd5274663f8ce3a94ff14,26/06/2023 00:35:34,ESCANER
5870,"Sacatepéquez",2,"San Antonio Aguas Calientes",15,613,400,83,37,28,73,25,11,3,59,319,4,2,325,0,325,--,400,75,319,325,325,Algún campo sin dato,1,9e523de9cdf2cdeb63849486d57f07af9b9505285aad444a308db78e4d1a1c3e,26/06/2023 02:13:50,ESCANER
