TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
10,10,100.0000,10,100.0000,0,3666,3007,82.0240

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,AZUL,VOS,CC SOMOS STA CATARINA BARAHONA,UNE,VALOR UNIONISTA,CABAL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5878,"Sacatepéquez",2,"Santa Catarina Barahona",16,616,400,44,9,54,118,2,89,9,325,12,3,340,0,340,--,400,60,325,340,340,Algún campo sin dato,1,ec4b62ef1b780920f26514ac041169a34218d29fff6bf1bc32d1c6b09a0d8327,26/06/2023 01:59:39,ESCANER
5879,"Sacatepéquez",2,"Santa Catarina Barahona",16,616,400,57,8,45,102,2,112,10,336,2,2,340,0,340,--,400,60,336,340,340,Algún campo sin dato,1,9c4375d50c720626d7c25908e8d8ad64172ae2d43dd79195dbf8560f61d7e015,26/06/2023 02:05:17,ESCANER
5880,"Sacatepéquez",2,"Santa Catarina Barahona",16,616,400,56,3,40,111,3,103,4,320,10,2,332,0,0,--,400,68,320,332,332,Algún campo sin dato,1,c399b921381bb218b1cdacb916f5b50580ede19aa8d9b6c59185f0edb0dbc298,26/06/2023 02:18:43,ESCANER
5881,"Sacatepéquez",2,"Santa Catarina Barahona",16,616,400,38,2,42,119,4,99,3,307,9,2,0,0,318,--,400,82,307,318,318,Algún campo sin dato,1,451452ac8ab17e5f7134a354914e67ce9fa5fbf6483109fb5076895f6cda0278,26/06/2023 02:10:08,ESCANER
5882,"Sacatepéquez",2,"Santa Catarina Barahona",16,617,400,52,4,45,127,3,81,5,317,7,2,326,1,327,1,400,73,317,326,327,,1,682c815c85974e6ab91de759c8278aa8decf4a5793c03b932886a05d2d6e5245,26/06/2023 01:08:05,ESCANER
5883,"Sacatepéquez",2,"Santa Catarina Barahona",16,617,400,50,6,47,110,6,95,1,315,5,4,324,0,324,--,397,73,315,324,324,Algún campo sin dato,1,b59d1cd554961d806793ae13ca8df73393786d973758f3d23abe2954e793d869,26/06/2023 02:05:05,ESCANER
5884,"Sacatepéquez",2,"Santa Catarina Barahona",16,617,400,47,5,43,130,3,90,1,319,8,1,328,0,328,--,400,72,319,328,328,Algún campo sin dato,1,e48b13e9e78f7406fcc0d4d7540036bd91f56d6322c1829bd21ea43c455cabb8,26/06/2023 03:15:14,ESCANER
5885,"Sacatepéquez",2,"Santa Catarina Barahona",16,617,400,46,9,43,143,0,85,2,328,3,1,332,0,332,--,400,68,328,332,332,Algún campo sin dato,1,d07939172e2ac6c1ee47ec0b5c3f38466cea7a75c193d3488f4a8477f94a3ac0,26/06/2023 01:31:24,ESCANER
5886,"Sacatepéquez",2,"Santa Catarina Barahona",16,618,233,22,1,31,63,0,71,0,188,0,0,188,2,190,2,233,43,188,188,190,,1,4efc2d75914647a8c1409a4e748dd946b23cb7a8e1a4244cf060f286a9d615d7,26/06/2023 02:22:26,ESCANER
5887,"Sacatepéquez",2,"Santa Catarina Barahona",16,618,233,20,1,30,70,2,53,0,176,3,0,179,0,179,--,230,51,176,179,179,Algún campo sin dato,1,c1b8db5533effedf9c8bb0e6137817f8bedbb6335275995215ffc08df42bc8cf,26/06/2023 00:52:36,ESCANER
