TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
151,151,100.0000,151,100.0000,0,57726,36048,62.4467

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNIONISTA,TODOS,VAMOS,AZUL,VALOR,VOS,CH ICH,MANO. L. O.,CAMBIO,UNE,PODEMOS,PPN,URNG-MAIZ WINAQ SEMILLA,COLIBRI,MI FAMILIA,VIVA,ELEFANTE,FCN-NACION,VICTORIA,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5888,"Chimaltenango",3,"Chimaltenango",1,619,400,1,5,49,6,22,12,49,9,31,11,5,7,7,4,1,11,4,1,7,2,244,19,1,264,0,264,0,--,--,244,264,264,Algún campo sin dato,1,d9e04efa7f2b4e4cfed88d527716151f7baa33ad2ae752b390d3bd2f7bf96ce6,25/06/2023 23:36:52,ESCANER
5889,"Chimaltenango",3,"Chimaltenango",1,619,400,0,9,42,5,19,8,51,5,28,19,4,2,8,6,1,7,2,1,7,2,226,11,1,238,0,238,0,400,162,226,238,238,,1,9a59205812b91d81e761bfa3595dbc003c692882691a5bcd4d06d0dcfebc9294,25/06/2023 23:24:51,ESCANER
5890,"Chimaltenango",3,"Chimaltenango",1,619,400,3,18,42,1,18,9,38,6,25,16,3,3,13,7,5,9,2,1,8,4,231,15,2,248,0,248,--,400,152,231,248,248,Algún campo sin dato,1,fafd4c08b4cce974aaf47f8a3677270e854f59003b37981fb72cb2f1041ef735,26/06/2023 02:31:27,ESCANER
5891,"Chimaltenango",3,"Chimaltenango",1,619,400,2,7,43,3,11,8,57,9,25,15,4,6,10,3,0,5,0,1,8,3,220,22,4,246,0,246,--,400,154,220,246,246,Algún campo sin dato,1,9896ce3855d2a06dd0e2bc44a5618699bc082f04f785c80e8b00fc3bdf3d23fa,26/06/2023 00:27:04,ESCANER
5892,"Chimaltenango",3,"Chimaltenango",1,620,400,3,9,55,4,12,11,55,10,19,9,2,5,29,4,4,4,4,2,6,2,249,10,1,260,0,260,0,400,140,249,260,260,,1,5a09bc6dc773d06724f7d80d69583a44cf6dc7a74d02b91966b276bfe5ee915a,25/06/2023 22:08:33,ESCANER
5893,"Chimaltenango",3,"Chimaltenango",1,620,400,1,10,38,5,13,9,66,10,34,14,8,6,16,1,0,5,2,0,4,0,242,7,1,250,0,250,--,400,150,242,250,250,Algún campo sin dato,1,de3587f6380f6f53acccea26a64bb7bd343c35e6e272c03231f184725cbdf195,26/06/2023 02:38:13,ESCANER
5894,"Chimaltenango",3,"Chimaltenango",1,620,257,3,10,18,2,6,4,34,5,12,4,1,2,12,2,1,4,0,1,4,0,125,5,0,130,0,130,0,257,127,125,130,130,,1,b16b9cad020cf9c11f813bcf1f826be09e16977f7e02c026119fec6f20f1821a,25/06/2023 23:32:43,ESCANER
5895,"Chimaltenango",3,"Chimaltenango",1,620,256,0,9,25,3,11,3,24,1,14,7,4,0,8,3,1,1,1,1,2,0,118,10,0,128,0,128,--,256,128,118,128,128,Algún campo sin dato,1,d99b82c20e24a915cdbdc4359de7ac8689d9cd3209413d7898d2d23df3a244ca,25/06/2023 22:53:34,ESCANER
5896,"Chimaltenango",3,"Chimaltenango",1,621,400,2,4,53,5,17,10,50,15,38,8,2,6,8,5,4,13,5,0,2,5,252,9,1,262,0,262,0,400,138,252,262,262,,1,1b48ab79025bc26d6078d8b7f00171f99da3fc62d11d6fac2efca2e07b98cb06,25/06/2023 23:49:14,ESCANER
5897,"Chimaltenango",3,"Chimaltenango",1,621,400,1,6,58,4,17,6,39,13,35,14,3,6,5,3,3,17,0,3,6,1,242,16,4,262,0,262,--,400,138,240,260,260,Sumas Asentadas sin cuadrar,1,66205c325e5b9a48b7b4dcaad1229a706d6f30ad0352760d9e7c7b14d29ab2bd,26/06/2023 04:49:58,ESCANER
