TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
109,109,100.0000,109,100.0000,0,41283,23685,57.3722

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNIONISTA,PODEMOS,CABAL,MAS UNIDOS,BIEN,AZUL,MLP,VICTORIA,ELEFANTE,VIVA,VOS,UNE,CAMBIO,VALOR,PPN,URNG-MAIZ WINAQ,MI FAMILIA,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6081,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,49,5,72,12,18,19,2,1,30,3,0,1,4,12,7,4,11,4,2,256,5,4,265,0,265,0,397,132,256,265,265,,1,609fe948aeec8e0e227545a6042f9fd28cd5caf4af2e7f2abc35e338ec65c462,26/06/2023 03:05:30,ESCANER
6082,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,31,11,62,7,27,20,1,2,24,4,5,1,5,14,6,2,15,4,0,241,16,6,263,0,263,0,400,137,241,263,263,,1,b951842feb210add7613470669c74296945b9a1ac15739445a8791dc1446b3a1,26/06/2023 02:43:10,ESCANER
6083,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,32,8,56,12,26,11,3,0,36,7,0,3,3,15,2,1,7,6,2,230,16,2,248,0,248,--,400,152,230,248,248,Algún campo sin dato,1,be09abba2afc731aa4f106b9847920ea0eb6b417771b8b186781b565169b20d5,26/06/2023 02:52:46,ESCANER
6084,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,33,9,63,13,28,16,5,2,23,3,2,2,3,15,6,0,14,4,5,252,16,7,252,0,275,--,400,125,246,269,269,Sumas Asentadas sin cuadrar,1,88bb6591c86c1048e3aa9f4b2b56b30b8b4fcaafb6a6b320eae6e02fb29d27c4,26/06/2023 02:55:51,ESCANER
6085,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,54,9,50,16,23,20,3,3,22,6,4,6,4,12,6,4,12,5,5,264,12,5,281,0,281,0,397,116,264,281,281,,1,9055647014eb1b36c2997436f16a89f6aecd74bc57515bc1dbccd830bb5cdd4d,26/06/2023 03:32:30,ESCANER
6086,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,46,9,69,7,24,15,1,1,25,4,5,2,3,7,4,3,14,6,1,246,17,2,265,0,265,--,400,135,246,265,265,Algún campo sin dato,1,f93597c95701305fdc328599034c1db8347b5a739d523636bba6f83b0171eafd,26/06/2023 02:19:58,ESCANER
6087,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,38,8,62,11,32,19,5,1,30,4,5,2,3,11,5,2,6,3,3,250,18,4,272,0,272,0,400,128,250,272,272,,1,b7b7e4033260ef2e78862d4014395274c3ef3ff7cef60620b3d37a04437b00fd,26/06/2023 01:16:18,ESCANER
6088,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,44,14,62,6,25,19,1,0,24,3,9,4,3,11,1,1,11,5,2,245,17,5,267,0,267,0,400,133,245,267,267,,1,195a70f7fbb8e57715d29a079be41f3ac596436d602701ab10347e70fbf3b6f5,26/06/2023 04:32:14,ESCANER
6089,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,42,11,65,11,30,22,1,2,33,6,4,0,4,18,3,1,9,1,1,264,19,3,286,0,286,--,400,114,264,286,286,Algún campo sin dato,1,eb2dde00d2d2aece13250531604d2bdecb2960657108f18f76fcfc5df63f0a73,26/06/2023 03:39:21,ESCANER
6090,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,40,11,55,19,28,13,0,1,38,6,3,2,3,19,6,4,18,10,3,279,12,6,297,0,297,0,400,103,279,297,297,,1,264b0eaca3a683216f1d7d5aa51724b333d97bcce03896350ccc0aa073b252f5,26/06/2023 01:52:44,ESCANER
6091,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,44,9,64,16,32,18,2,0,40,8,2,4,3,11,10,5,12,4,0,284,13,5,302,0,302,0,400,98,284,302,302,,1,8d0038c1415b71a8d6eca04510e3b027543c0a2b84c1ae2a08728a6883c0e165,26/06/2023 02:37:30,ESCANER
6092,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,51,7,50,16,21,16,2,3,34,8,1,1,3,19,8,1,8,3,1,253,9,4,266,0,266,0,399,133,253,266,266,,1,d59e91bef8462a76e261e57a45896bf56be96abad409b8820fcfe84a3b4fd58f,26/06/2023 01:15:30,ESCANER
6093,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,39,5,52,12,27,20,0,1,22,2,3,3,1,22,6,2,8,5,2,232,1,0,233,0,233,0,400,167,232,233,233,,1,2864888c92de7e15aebce82460f411faeaa8486ab26ce1473c3331a0ff057932,26/06/2023 02:07:18,ESCANER
6094,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,48,5,50,14,20,14,1,2,35,4,4,2,1,11,6,4,11,1,3,236,5,0,241,0,241,0,400,159,236,241,241,,1,b16fac370bfbe48a48506ff99ac4d0e9b57d4195dddad517660d42bf67d9c3a2,26/06/2023 00:48:37,MOVIL
