TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
29,29,100.0000,29,100.0000,0,10971,9022,82.2349

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,UNIONISTA,PODEMOS,VALOR,VAMOS,CAMBIO,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6256,"Chimaltenango",3,"Santa Apolonia",5,666,400,14,119,74,4,94,16,8,329,5,3,337,0,337,--,399,62,329,337,337,Algún campo sin dato,1,06f59f6bae1020184b452bb8d812b1c7ad71fd04682cde06c66ff82caf57f7af,26/06/2023 02:26:36,ESCANER
6257,"Chimaltenango",3,"Santa Apolonia",5,666,400,6,134,48,10,127,5,7,337,6,1,344,0,344,0,401,57,337,344,344,,1,a64454ef965c33dee485da46cc5a51009599621431f7472e13ec5079998917e6,26/06/2023 00:18:10,ESCANER
6258,"Chimaltenango",3,"Santa Apolonia",5,666,400,12,113,78,5,94,6,13,321,6,4,331,0,331,--,400,69,321,331,331,Algún campo sin dato,1,da9ec86ecb34dc9e9b60b113e643d804568ea4c070247a6b56e68e9cea474122,25/06/2023 22:44:28,ESCANER
6259,"Chimaltenango",3,"Santa Apolonia",5,666,400,14,122,70,3,115,10,2,336,4,6,346,0,346,0,400,54,336,346,346,,1,1e6aedc589eb8e5363f647515effd03109976c50274879d49e195ff76a03c135,26/06/2023 01:35:47,ESCANER
6260,"Chimaltenango",3,"Santa Apolonia",5,666,400,6,125,66,4,132,3,4,340,9,4,353,0,353,0,400,47,340,353,353,,1,6c885a25653c063f24ec27e9b47ed8c4c3ba27b15d977ddd6e4ab23d38c3b1ac,25/06/2023 23:29:28,ESCANER
6261,"Chimaltenango",3,"Santa Apolonia",5,666,400,7,114,67,5,113,11,10,327,4,0,331,0,331,0,400,69,327,331,331,,1,3a362763195dc0e299b1824a5160c2b48a24ddece4a8259a9e3e275840c93f13,26/06/2023 01:45:53,ESCANER
6262,"Chimaltenango",3,"Santa Apolonia",5,666,400,6,139,60,2,117,7,5,336,7,5,348,0,348,0,400,52,336,348,348,,1,a00797721d5115c68b990c04457dccfc6e8b3ef94e678f0f1bd3fbe2ad4b8200,26/06/2023 01:12:48,ESCANER
6263,"Chimaltenango",3,"Santa Apolonia",5,666,400,6,133,60,4,113,12,11,339,3,2,344,0,344,--,400,56,339,344,344,Algún campo sin dato,1,e7f3c3217b90b60fe4ea48225dfa1357b06fe4e786c12c0dcddb5a4e44960e71,26/06/2023 01:15:34,ESCANER
6264,"Chimaltenango",3,"Santa Apolonia",5,666,400,8,117,60,6,112,11,2,316,2,1,319,0,319,--,400,81,316,319,319,Algún campo sin dato,1,c4974abe9c14c64bf17347c23d379d2b15854d1b67c9d56df7649f8cc8ebcb76,25/06/2023 23:55:45,ESCANER
6265,"Chimaltenango",3,"Santa Apolonia",5,666,400,11,111,45,4,110,13,11,305,5,3,313,0,313,--,399,86,305,313,313,Algún campo sin dato,1,2fac4e2632a061d4b1523081ded4df1e96e6908f140e21ac82a93514f0a2223d,26/06/2023 00:36:24,ESCANER
6266,"Chimaltenango",3,"Santa Apolonia",5,666,400,8,123,55,2,100,10,12,310,8,1,319,0,319,--,401,82,310,319,319,Algún campo sin dato,1,c1c8682cd0d075e556cfc09290424575d647218ea659b633b164525ec763a5c1,26/06/2023 00:05:21,ESCANER
6267,"Chimaltenango",3,"Santa Apolonia",5,666,400,8,93,63,6,107,8,9,294,5,3,302,0,302,0,400,98,294,302,302,,1,99e7128ac7c01dff39ece4468a97618e7fcf176bcfc2a53566f3731d8ba6e75d,25/06/2023 22:55:19,ESCANER
6268,"Chimaltenango",3,"Santa Apolonia",5,666,400,6,128,60,5,81,6,6,292,2,0,294,0,294,0,400,103,292,294,294,,1,dbcac22b64581dc261a805a69741c783b6cc1a175e3863e27b2a25128ffdf976,26/06/2023 00:14:11,ESCANER
6269,"Chimaltenango",3,"Santa Apolonia",5,666,400,7,128,54,4,109,9,9,320,0,0,320,0,320,0,396,76,320,320,320,,1,f62e133036fb796f6a39a148119a75c8362768473bf1f726dc0ba81f92e5bde5,26/06/2023 01:10:19,ESCANER
6270,"Chimaltenango",3,"Santa Apolonia",5,666,400,3,118,64,2,110,6,3,306,3,1,310,0,310,0,400,90,306,310,310,,1,bc250940b4ad2ed76a11d88d8b8bc666c920d0ba0bb5b0fa1e7de732c1f4340e,26/06/2023 00:20:06,ESCANER
6271,"Chimaltenango",3,"Santa Apolonia",5,666,400,2,138,67,5,104,4,4,324,1,1,326,0,326,--,399,73,324,326,326,Algún campo sin dato,1,760db5e5e6fb8f438e449d6476c24ade407ed82486f591607b7287df92e1456d,25/06/2023 22:21:09,ESCANER
6272,"Chimaltenango",3,"Santa Apolonia",5,666,296,2,71,50,5,84,3,5,220,3,1,224,0,224,0,297,73,220,224,224,,1,6ca6ddfa115fea53d629fe88bbbdf3d9e3096ce394d1d47ca62fd6cae4559ed3,25/06/2023 22:58:21,ESCANER
6273,"Chimaltenango",3,"Santa Apolonia",5,666,296,11,80,41,2,93,3,7,237,2,1,240,0,240,0,294,54,237,240,240,,1,d4bfbce0b9e27cb36e01deb63ded4faf9b3b77eecd9fcbee778c2bc0dd5ef584,26/06/2023 00:54:24,ESCANER
