TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
107,107,100.0000,107,100.0000,0,41073,23057,56.1366

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,AZUL,VAMOS,CABAL,VALOR,PODEMOS,UNE,UNIONISTA,P A N,VOS,VICTORIA,PPN,UR,ELEFANTE,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6285,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,51,8,36,11,19,20,11,25,2,15,27,2,2,12,11,252,9,5,266,1,267,--,400,133,252,266,267,Algún campo sin dato,1,3ebb22769847f2bcff96738cbf8fd6184c76970eda595e1605b1500536b5e951,26/06/2023 00:19:53,ESCANER
6286,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,32,6,50,10,13,34,9,20,4,12,29,3,1,6,9,238,13,8,259,0,259,--,400,141,238,259,259,Algún campo sin dato,1,e77ebcf7a4b4884aad015addbe617d5c0bf2f346e16e3848c5bb27f84b3c6483,26/06/2023 00:27:59,ESCANER
6287,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,45,10,57,10,33,26,17,25,4,6,23,1,2,2,8,269,16,3,288,0,288,--,400,112,269,288,288,Algún campo sin dato,1,233642ca438739e8f0ea3331026b05c59e1c7f20f77f51d8335cac9c3e609b5e,26/06/2023 01:04:55,ESCANER
6288,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,61,9,43,9,22,21,8,11,11,9,28,2,3,11,6,254,10,4,268,0,268,--,398,130,254,268,268,Algún campo sin dato,1,314f4e19c9c9a0ad15f8eadb42f5e6105d89c5cdc78986e7ac1b6db5fd7fc742,25/06/2023 23:13:32,ESCANER
6289,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,53,6,62,4,23,26,9,25,5,9,25,3,1,10,7,268,11,7,286,0,286,--,400,114,268,286,286,Algún campo sin dato,1,1def512cf3ac901b56955b24f7db701a3be97ae853b73f55d21aebf598d785c3,26/06/2023 00:48:31,ESCANER
6290,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,38,4,59,7,23,33,5,24,3,9,26,4,4,8,3,250,11,3,264,0,264,--,340,116,250,264,264,Algún campo sin dato,1,9c6c5c841e6b903eb5d10d1d8c188b9950acb61fd98bc1fd51481691f0f551d2,26/06/2023 00:09:28,ESCANER
6291,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,41,6,47,12,22,33,9,17,3,14,27,1,4,3,6,245,14,3,262,0,262,--,400,138,245,262,262,Algún campo sin dato,1,5eabb4d2362db277333e7f05c3ad82b28152511bbf43e9c8506aa346ac283bcd,26/06/2023 00:39:50,ESCANER
6292,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,27,9,75,9,30,19,9,12,3,10,15,1,1,12,10,242,9,1,252,0,252,--,400,148,242,252,252,Algún campo sin dato,1,64152a55a5fbc7673015c4d2c5a754e14fb25ffc241d1267dc77ba5e3b3d9f0f,25/06/2023 23:56:15,ESCANER
6293,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,40,6,68,15,32,20,6,25,5,6,18,1,4,7,5,258,16,3,277,0,277,--,400,123,258,277,277,Algún campo sin dato,1,3817d09d8102381850bda13a20fdf56f6874a5c1d63bb4690a369497482f1439,26/06/2023 00:57:12,ESCANER
6294,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,29,14,44,4,35,39,5,15,4,4,19,2,2,7,2,225,9,8,242,0,242,--,400,158,225,242,242,Algún campo sin dato,1,90d27e9e2bfa905bca779344a08ab8901ed88b2b6ddf3fba4a79a3f04cf19436,25/06/2023 22:37:43,ESCANER
6295,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,34,7,42,12,37,62,7,20,1,8,16,2,0,11,7,266,4,6,276,0,276,--,399,123,266,276,276,Algún campo sin dato,1,8d78cfdf5b65c80d2cfe547b3ec940c184b377059123ba003334520f15989f1c,26/06/2023 00:47:29,ESCANER
6296,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,32,3,42,14,29,45,11,23,1,7,16,1,1,4,4,233,7,1,241,0,241,--,400,159,233,241,241,Algún campo sin dato,1,eb0243915a58e2cb17e9168036c933dd0a5e3d317cd330d703ed2b8059f9c0e6,25/06/2023 22:58:55,ESCANER
6297,"Chimaltenango",3,"Tecpán Guatemala",6,668,400,34,2,42,14,34,20,14,20,6,14,31,4,1,9,3,248,12,6,266,0,266,--,400,134,248,266,266,Algún campo sin dato,1,07c474ba909fe6e7418fada8ff3df67ca4dc0b93617a5f7ab555dcd5f09e1b67,25/06/2023 23:27:39,ESCANER
6298,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,27,4,51,16,25,29,15,21,3,7,21,4,2,4,3,232,11,4,247,0,247,--,400,153,232,247,247,Algún campo sin dato,1,5c37389c8abf4f019312f89620f38ef3b3c8ec1ce0fb5ca92f230a942c1fb70d,26/06/2023 00:00:33,ESCANER
6299,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,14,3,49,19,21,25,24,23,4,6,25,0,1,6,3,223,24,7,254,0,254,--,400,146,223,254,254,Algún campo sin dato,1,f1ea9b3589221f6d61b7d2eae737ef066e2324127e11c8a43bb8105926efe7fd,26/06/2023 01:49:24,ESCANER
6300,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,32,5,39,11,25,24,7,20,3,5,23,2,1,15,4,216,7,5,228,0,228,--,400,172,216,228,228,Algún campo sin dato,1,aacdc242133928eb799f2a3c4a6929bf8524b8c2aaf400f5ed3e6f74c977a078,25/06/2023 23:52:47,ESCANER
6301,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,45,3,39,8,19,23,7,16,5,12,21,0,2,9,2,211,7,1,219,0,219,--,400,181,211,219,219,Algún campo sin dato,1,2dfdeaf98f0359c7cba1340f0e7de5864f9926ec2555e35ba63e7cde4d7592ea,25/06/2023 22:17:58,ESCANER
6302,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,39,7,47,7,25,24,5,25,5,9,22,1,0,2,7,225,7,1,233,0,233,--,400,167,225,233,233,Algún campo sin dato,1,7dc09cc911ffae0b56da55ca109e68fe3c1ac3ac2237a4fcec6425786f98295a,25/06/2023 22:50:30,ESCANER
6303,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,50,9,42,8,21,24,7,20,1,15,25,1,0,7,6,236,11,1,248,0,248,--,400,152,236,248,248,Algún campo sin dato,1,f6c6d21a7e6afb2ddf3343a81dbf7fd1519e58aff91c25d7d96d6c7c04a30b1c,25/06/2023 22:26:48,ESCANER
6304,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,56,7,35,8,30,25,11,21,2,11,24,2,2,7,9,250,11,3,264,0,264,--,400,136,250,264,264,Algún campo sin dato,1,957ed6596676259c250ef3ec5bde2d247b5343cf897762cc9bf31147f9748c37,25/06/2023 22:13:26,ESCANER
6305,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,48,1,47,10,23,23,5,19,5,10,35,2,1,11,4,244,11,7,262,0,262,--,400,138,244,262,262,Algún campo sin dato,1,4779591aa657e1627a62a3a521884b86444b8f93c3bd103f0ade89f3d3debb8b,25/06/2023 22:42:33,ESCANER
6306,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,51,13,39,8,28,18,15,32,2,10,24,0,1,6,5,252,13,1,266,0,266,--,400,134,252,266,266,Algún campo sin dato,1,9d1e8dd7a25a6c8b6f357e66ba74798bc08c3ff4bf58d5efa51361612a355f05,25/06/2023 23:09:46,ESCANER
6307,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,65,6,39,8,26,22,4,24,6,17,21,1,2,4,7,252,8,5,265,0,265,--,400,132,252,265,265,Algún campo sin dato,1,071bccab643d6893a57eada5b85d12d2f3d2f53a6b08eac208cce7e5f7833244,26/06/2023 00:31:02,ESCANER
6308,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,42,9,52,13,23,24,12,26,5,7,31,3,1,10,8,266,13,8,287,0,287,--,402,115,266,287,287,Algún campo sin dato,1,c4ed031e9d982d72178ed397268af1736cdbab7ec78663b22d59e09580813bf6,26/06/2023 00:48:34,ESCANER
6309,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,73,6,26,12,23,31,17,20,6,9,31,1,2,7,7,271,7,0,278,0,278,--,400,122,271,278,278,Algún campo sin dato,1,7b0c1ba7d6fa3edb0aef6609b32ff00d53e39dc5c322e06e90359bb33a8313b3,26/06/2023 01:37:37,ESCANER
6310,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,50,5,41,6,20,28,12,24,5,13,18,0,1,12,13,248,7,4,259,0,259,--,400,141,248,259,259,Algún campo sin dato,1,07cfa9430ab711962bcd93c5a41111a222e250b87505361503fdfcda7ae55d55,26/06/2023 01:38:31,ESCANER
6311,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,73,2,52,3,27,28,12,15,7,5,27,3,1,10,8,273,10,3,286,0,286,--,400,114,273,286,286,Algún campo sin dato,1,517c2ca2fc805e44ac0f96b68a7e6726bb134f2e128e9ce7622591e5b849fad4,26/06/2023 02:52:37,ESCANER
6312,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,47,6,50,9,15,30,17,21,7,13,23,0,3,9,8,258,8,0,266,0,266,--,400,134,258,266,266,Algún campo sin dato,1,facf45ec17c5e18d22f80b24cfec069379245b50c0616c7f30b85bdb4f7810f4,26/06/2023 00:41:17,ESCANER
6313,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,61,10,41,5,21,30,9,13,3,12,25,2,4,12,7,268,9,4,268,1,269,--,400,131,255,268,269,Sumas Asentadas sin cuadrar,1,0fa58ad7c70b2695f872da7566b53ca8ac6d512e511a9421ee521b21637c429c,26/06/2023 00:37:24,ESCANER
6314,"Chimaltenango",3,"Tecpán Guatemala",6,669,400,55,10,40,7,28,26,6,17,2,9,31,1,2,6,8,248,11,3,262,0,262,--,400,138,248,262,262,Algún campo sin dato,1,83be119dc40622df0d676145cc02a9b17eb8d817461d7737725340500eb7cac5,26/06/2023 00:18:55,ESCANER
