TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
91,91,100.0000,91,100.0000,0,34321,23236,67.7019

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,AZUL,MLP,PODEMOS,TODOS,VIVA,VALOR,PHG,UNE,PPN,CAMBIO,UNIONISTA,VOS,URNG-MAIZ WINAQ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6392,"Chimaltenango",3,"Patzún",7,679,400,101,33,6,14,9,7,15,1,0,29,3,3,24,9,30,284,11,1,296,0,296,--,400,104,284,296,296,Algún campo sin dato,1,83c2d36e0d9ee743f9438c0b2e7ef5b35cab894d17242bc67fda02b94e01ca2f,25/06/2023 23:20:33,ESCANER
6393,"Chimaltenango",3,"Patzún",7,679,400,79,40,10,5,7,10,14,2,3,52,1,3,20,6,24,276,15,1,292,0,292,--,400,108,276,292,292,Algún campo sin dato,1,3883f676c8cf09453a6682e23f089b4008dde6e986e35bead5a8fa0b1b476185,26/06/2023 00:42:22,ESCANER
6394,"Chimaltenango",3,"Patzún",7,679,400,81,47,3,15,5,16,15,3,0,40,1,0,27,7,25,285,7,4,296,0,296,0,400,104,285,296,296,,1,c491983468909f82f7925e68cf1fd1f00e2dbd2258ac0f8f892fb365438fed2a,25/06/2023 22:30:39,ESCANER
6395,"Chimaltenango",3,"Patzún",7,679,400,108,43,12,10,5,10,10,1,4,45,2,2,11,10,28,301,5,3,309,0,309,0,400,91,301,309,309,,1,d75c3adb5e3740dcb5fd20e2a40cbe7e3e9efcf54dc31fb87e3fb20790fc47f1,25/06/2023 23:46:04,ESCANER
6396,"Chimaltenango",3,"Patzún",7,679,400,76,49,7,9,6,11,13,5,1,45,1,3,17,10,35,288,9,9,306,0,306,--,400,94,288,306,306,Algún campo sin dato,1,6baffc872dbbb5fedd80655e394426314b9af1bf4cbb3cf6dd75c4f42f7e47a0,25/06/2023 23:55:31,ESCANER
6397,"Chimaltenango",3,"Patzún",7,679,400,111,47,7,6,7,9,6,7,2,37,2,2,19,15,38,315,8,0,323,0,323,--,400,74,315,323,323,Algún campo sin dato,1,033954d260319c4018a0663b960777afb62995c128aa297bfa23a5e82c1eead4,25/06/2023 22:44:25,ESCANER
6398,"Chimaltenango",3,"Patzún",7,679,400,100,52,5,9,7,9,19,7,0,31,2,3,13,6,35,298,14,6,318,0,318,0,400,82,298,318,318,,1,d6d9e92c38c7f09fa2c0541119460b00d8857620a671ab4144d1c8ecd8c5d64d,26/06/2023 00:44:14,ESCANER
6399,"Chimaltenango",3,"Patzún",7,679,400,116,42,5,9,4,9,4,2,3,50,2,4,14,10,26,300,13,5,318,0,318,0,400,82,300,318,318,,1,49064a66b70fb83bc35b09fd86513f031d0b6c23cbb2baca75e28afe140acb81,26/06/2023 01:02:28,ESCANER
6400,"Chimaltenango",3,"Patzún",7,679,400,94,44,9,15,6,10,10,1,1,47,4,1,13,7,32,294,15,2,311,0,311,0,400,89,294,311,311,,1,9b785b686298a6bfcc927ac83f7065d3456d9b9b9ef46697bc76cf4f77526c23,25/06/2023 22:23:00,ESCANER
6401,"Chimaltenango",3,"Patzún",7,679,400,102,43,16,7,10,8,13,5,2,25,3,6,10,10,25,285,9,6,300,0,300,0,400,100,285,300,300,,1,5eab2090c5f76a55b5daae92f1888961f8c4cb76cfb18154d4c6e167eb8d23c3,25/06/2023 23:53:53,ESCANER
6402,"Chimaltenango",3,"Patzún",7,679,400,112,51,13,13,1,10,8,3,2,44,0,0,17,7,20,301,4,4,309,0,309,0,400,91,301,309,309,,1,0e54114aca9e80a83ffa3903e0fdbacd69ee6e53d5be062f67bcce53de446731,25/06/2023 23:37:56,ESCANER
6403,"Chimaltenango",3,"Patzún",7,679,400,100,41,10,10,11,15,9,5,2,31,7,3,20,10,24,298,9,2,309,0,309,0,400,91,298,309,309,,1,4f7069b543fc65e658c18871d6e66459b165d7a70772d1ccc5cd76aa5a188728,25/06/2023 23:33:57,ESCANER
6404,"Chimaltenango",3,"Patzún",7,679,400,87,54,11,8,10,11,10,5,1,38,5,0,15,4,25,284,12,3,299,0,299,0,400,101,284,299,299,,1,a4c2b13ba54cbc2f93c3fb2e7a950fd5fb74c897e616003317888310848cd1d6,26/06/2023 00:20:01,ESCANER
6405,"Chimaltenango",3,"Patzún",7,679,400,102,46,11,7,9,8,17,3,2,29,5,1,20,9,33,302,13,0,315,0,315,0,400,85,302,315,315,,1,3ecbe2005ff8980c6d27adc253f1f366602f0524c21937b30808060b502735df,26/06/2023 00:04:00,ESCANER
6406,"Chimaltenango",3,"Patzún",7,679,400,88,51,14,9,4,17,8,4,6,37,1,3,21,12,23,298,14,4,316,0,316,--,400,84,298,316,316,Algún campo sin dato,1,1af6f29619ddd608c94e9004c7ee05be28447f959d16fd0f3251933086e3cf7b,25/06/2023 23:07:35,ESCANER
6407,"Chimaltenango",3,"Patzún",7,679,400,100,28,4,8,6,11,13,5,2,28,2,2,16,9,35,269,7,1,277,0,277,0,400,123,269,277,277,,1,45622e81f47630bd7dfbe42b5995d256babd83a0cd3d5ea7a47a9ce6cb342ff0,26/06/2023 00:06:18,ESCANER
6408,"Chimaltenango",3,"Patzún",7,679,400,65,39,12,15,6,9,13,5,3,30,1,1,18,7,38,262,10,3,275,0,275,0,400,125,262,275,275,,1,2ea850a721a98b4eafa1b3011ec7220421a4fae78e81e4860384ac91e66a35f0,26/06/2023 00:09:53,ESCANER
6409,"Chimaltenango",3,"Patzún",7,679,400,81,35,18,11,17,12,8,6,5,42,1,3,15,8,23,285,3,1,289,0,289,0,400,111,285,289,289,,1,5d1b958b863e3dadbf1bea55602d554c1602ab5de28f5badab1ef75f797bca36,25/06/2023 23:11:09,ESCANER
6410,"Chimaltenango",3,"Patzún",7,679,400,86,30,11,8,6,11,16,3,1,35,0,3,19,4,35,268,10,0,278,0,278,--,400,122,268,278,278,Algún campo sin dato,1,6e90e857127feb6be0a5c7910d23cf8ae084c72c0adc6a1038731cac5f03bfa3,26/06/2023 01:00:35,ESCANER
