TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
17,17,100.0000,17,100.0000,0,6251,4098,65.5575

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PODEMOS,VALOR,VICTORIA,UNE,VAMOS,CAMBIO,UNIONISTA,AZUL,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6483,"Chimaltenango",3,"Pochuta",8,686,400,8,87,9,67,62,8,2,4,3,250,17,2,269,0,250,--,400,131,250,269,269,Sumas Asentadas sin cuadrar,1,8f214ebc6fd8a1f913cb1cc4805a11ab762af3860a3020e193f8211196f919fc,26/06/2023 03:21:26,ESCANER
6484,"Chimaltenango",3,"Pochuta",8,686,400,10,84,25,68,61,7,0,0,3,258,13,8,279,0,279,--,400,121,258,279,279,Algún campo sin dato,1,9ecd23450076381376323ca3bb3c593f2f33116dc89a2b4a481f4acd7acfacf5,26/06/2023 01:19:54,ESCANER
6485,"Chimaltenango",3,"Pochuta",8,686,400,11,89,36,95,71,2,0,1,3,308,14,2,324,0,324,--,400,76,308,324,324,Algún campo sin dato,1,546c1abea2cdb67798ce8e6bf8b868ac6ba48b5c4c8216541b4987d8e9c0059f,26/06/2023 02:38:57,ESCANER
6486,"Chimaltenango",3,"Pochuta",8,686,400,10,115,24,78,81,8,1,2,6,325,10,9,344,0,344,--,400,56,325,344,344,Algún campo sin dato,1,24859ce8915c78e46480395e08384b0dccf9c90463db3792615eb3d928254c2d,26/06/2023 01:28:14,ESCANER
6487,"Chimaltenango",3,"Pochuta",8,686,400,11,99,20,81,81,4,1,4,2,303,12,2,317,0,317,--,400,83,303,317,317,Algún campo sin dato,1,24d777c5f7588feb6af2ae65cc16eb7d05925167d95d41eb853c544130d2f903,26/06/2023 01:35:11,ESCANER
6488,"Chimaltenango",3,"Pochuta",8,686,400,9,88,13,99,81,11,0,1,3,305,8,9,322,0,322,--,400,78,305,322,322,Algún campo sin dato,1,8e0638a04c83b99b0ab76b49302408f1ac26db53406078978b4b399d3c122a2d,26/06/2023 02:58:14,ESCANER
6489,"Chimaltenango",3,"Pochuta",8,687,400,9,90,28,84,43,5,0,1,4,264,7,3,274,0,274,--,400,126,264,274,274,Algún campo sin dato,1,54abc2542d8436758a8a57c9c3a344a09c9ed445398a78937c57eb311bf2db0a,26/06/2023 00:57:42,ESCANER
6490,"Chimaltenango",3,"Pochuta",8,687,400,6,82,22,69,50,5,1,4,2,241,13,3,257,0,257,--,400,143,241,257,257,Algún campo sin dato,1,4eb8007abaa751f6db24b6ab09052b1e9ed8bdf596ff942856c507b8bbc14e79,26/06/2023 00:08:15,ESCANER
6491,"Chimaltenango",3,"Pochuta",8,687,400,4,67,23,84,52,4,3,2,5,244,8,6,258,0,258,--,400,142,244,258,258,Algún campo sin dato,1,a7d46c62b277f2e77afffcd324fa7c6985d7971903f2bf23766e986aa7e5a92b,26/06/2023 01:16:04,ESCANER
6492,"Chimaltenango",3,"Pochuta",8,687,400,6,62,29,70,51,3,2,3,3,229,6,1,236,0,236,--,400,164,229,236,236,Algún campo sin dato,1,02edeb20013dea0a733c0d45756fab38fb554319799b118152f15cc578612ca8,26/06/2023 01:37:54,ESCANER
6493,"Chimaltenango",3,"Pochuta",8,688,400,9,81,24,90,55,3,0,1,3,266,1,0,267,0,267,--,400,133,266,267,267,Algún campo sin dato,1,1984f78976094fa137505e05c6b7dddf93154d87d20d507ae87cde39e4523d7d,26/06/2023 02:49:20,ESCANER
6494,"Chimaltenango",3,"Pochuta",8,688,400,3,55,24,75,53,11,0,3,2,226,6,2,234,1,235,--,397,161,226,234,235,Algún campo sin dato,1,adc3817c72a9021abb6cefcdb002574582134a90a6198760963bef4236d398a6,26/06/2023 02:56:47,ESCANER
