TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
54,54,100.0000,54,100.0000,0,20327,14635,71.9978

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,CABAL,VAMOS,SAMAJEL,PODEMOS,MLP,UNE,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6500,"Chimaltenango",3,"Patzicía",9,691,400,44,51,49,137,9,3,6,5,304,11,0,315,0,315,--,400,85,304,315,315,Algún campo sin dato,1,a594a28fd484187f047bcbbc85e33458078b0d81cec27704594ee63f5610965c,25/06/2023 23:34:36,ESCANER
6501,"Chimaltenango",3,"Patzicía",9,691,400,58,49,42,115,9,6,2,8,289,24,5,318,0,318,--,399,81,289,318,318,Algún campo sin dato,1,28df463d14e4f97e725d8479f933deaac656276d6487f4ca50fe77e050e893b7,26/06/2023 00:53:25,ESCANER
6502,"Chimaltenango",3,"Patzicía",9,691,400,41,38,53,147,9,7,2,1,298,12,7,317,0,317,0,400,83,298,317,317,,1,732884dcde68a9c89d5ae55806bd7b4db39104cc651f8810907ab9007a2ddd67,26/06/2023 01:00:51,ESCANER
6503,"Chimaltenango",3,"Patzicía",9,691,400,47,46,62,124,6,3,6,9,303,7,5,315,0,315,--,400,85,303,315,315,Algún campo sin dato,1,bca07cfe8021db72d7d3e1f4ecbba5da764e269efa4b6c4d6bb2f9741e15a877,26/06/2023 00:54:03,ESCANER
6504,"Chimaltenango",3,"Patzicía",9,691,400,49,41,52,124,6,3,7,3,285,15,2,302,0,302,--,400,98,285,302,302,Algún campo sin dato,1,e646a4b0a0bf3fa6f4af617d23e11272123496b0d8820ff446de05c599ab6ced,26/06/2023 00:44:24,ESCANER
6505,"Chimaltenango",3,"Patzicía",9,691,400,65,49,51,128,7,4,1,6,311,6,6,323,0,323,--,400,77,311,323,323,Algún campo sin dato,1,1e4b50f3f03e10f6dd2897f35d5fca688422f22c711f4b47413c6e24c4cba826,25/06/2023 23:07:26,ESCANER
6506,"Chimaltenango",3,"Patzicía",9,691,400,38,49,62,124,10,5,3,5,296,12,5,313,0,313,--,400,87,296,313,313,Algún campo sin dato,1,5069390a1a4bf72abaf17177a415ad0d5ae8f6843b2986e83fcfc018d5c927c5,25/06/2023 23:43:58,ESCANER
6507,"Chimaltenango",3,"Patzicía",9,691,400,35,40,54,149,7,10,2,3,300,7,0,307,0,307,--,400,93,300,307,307,Algún campo sin dato,1,7654b8d8f0af4fa481a1429089a8450acfef6f5c50937eb4b1581d92061bfba6,25/06/2023 23:26:57,ESCANER
6508,"Chimaltenango",3,"Patzicía",9,691,400,52,41,62,123,5,7,4,4,298,17,1,316,0,316,--,400,84,298,316,316,Algún campo sin dato,1,7bc70029be742ecd4fecb322f16fd0366777f7b37e5673e9bcf84d8a295d89a0,25/06/2023 23:52:08,ESCANER
6509,"Chimaltenango",3,"Patzicía",9,691,400,61,33,58,132,6,8,3,5,306,14,0,320,1,321,--,400,74,306,320,321,Algún campo sin dato,1,a4f47532e75608192f833ffbf591c99fec89affd55afb293b136e1cb7c25ee64,26/06/2023 03:18:08,ESCANER
