TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
18,18,100.0000,18,100.0000,0,6267,4823,76.9586

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,VALOR,UNE,PODEMOS,VICTORIA,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6554,"Chimaltenango",3,"Santa Cruz Balanyá",10,696,400,87,141,11,5,46,15,1,306,7,5,318,0,318,--,400,82,306,318,318,Algún campo sin dato,1,c482dad80f43871b01be620939b66ad066197f28a51baecf6f19cedf82a3fbde,26/06/2023 01:12:01,ESCANER
6555,"Chimaltenango",3,"Santa Cruz Balanyá",10,696,400,103,143,18,13,50,3,1,331,3,3,337,0,337,--,400,63,331,337,337,Algún campo sin dato,1,61a08c5d66edba6a6fe0b68f5f3201f68d1c38e1633f1d74c8827f8747b3c7f8,26/06/2023 01:48:36,ESCANER
6556,"Chimaltenango",3,"Santa Cruz Balanyá",10,696,400,117,123,32,13,32,8,1,326,7,4,337,0,337,--,400,63,326,337,337,Algún campo sin dato,1,d038cef9da8fabd1812702b067dc764f5e9fb2e868a2c78dafd621b9cdeea9bd,26/06/2023 01:02:52,ESCANER
6557,"Chimaltenango",3,"Santa Cruz Balanyá",10,696,400,105,143,9,13,41,12,2,325,9,3,337,0,337,--,399,62,325,337,337,Algún campo sin dato,1,090bd2704b30d7ab5b1ed03903500141240be820df88b9b41a15b56619ba46ec,26/06/2023 02:24:41,ESCANER
6558,"Chimaltenango",3,"Santa Cruz Balanyá",10,696,400,112,140,11,15,35,15,4,332,3,1,336,0,336,--,401,65,332,336,336,Algún campo sin dato,1,78134f81c908b82dd35b2b0d426624f5e100cef6e8107b01b546ee29f4ee098c,26/06/2023 01:53:55,ESCANER
6559,"Chimaltenango",3,"Santa Cruz Balanyá",10,696,400,96,113,10,9,39,13,2,282,2,2,286,1,287,--,400,113,282,286,287,Algún campo sin dato,1,ede502a54085ccc272865416274f18eae03e2848a3dd85033dd54b0ad5765338,26/06/2023 00:57:49,ESCANER
6560,"Chimaltenango",3,"Santa Cruz Balanyá",10,696,400,92,149,8,3,48,9,2,311,2,1,314,0,314,--,399,85,311,314,314,Algún campo sin dato,1,2e2198f2e961c0ec0caa085568ce7890a60387a30febabd6625b4f7c365e2a23,26/06/2023 02:09:13,ESCANER
6561,"Chimaltenango",3,"Santa Cruz Balanyá",10,696,400,113,113,9,8,41,9,3,296,5,3,304,0,304,--,400,96,296,304,304,Algún campo sin dato,1,a1b2506492197dcf624514106895c17dc6b443d903b66688aa4db1275cd1920a,26/06/2023 00:01:17,ESCANER
6562,"Chimaltenango",3,"Santa Cruz Balanyá",10,697,400,90,118,19,12,49,7,3,298,2,0,300,0,300,--,400,100,298,300,300,Algún campo sin dato,1,1964b422fbafb61f1688fb67bf93a9ad35ed407c83ff0791e9ef867ddc3d89f8,26/06/2023 02:09:37,ESCANER
6563,"Chimaltenango",3,"Santa Cruz Balanyá",10,697,400,82,121,15,16,43,11,0,288,9,0,297,0,297,--,399,102,288,297,297,Algún campo sin dato,1,6b4d479d6386f69014352263bbb6b52a7250c23c0c855968068e268e09314167,26/06/2023 00:38:04,ESCANER
