TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
36,36,100.0000,36,100.0000,0,14229,10053,70.6514

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,TODOS,UNE,VICTORIA,PODEMOS,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6572,"Chimaltenango",3,"Acatenango",11,700,400,4,80,55,8,84,34,0,265,16,10,291,0,291,0,401,110,265,291,291,,1,9a9f7dac9acc66f7935471972c4e85e479728d8ea7d0e9e807f63ad428d5f038,26/06/2023 00:59:31,ESCANER
6573,"Chimaltenango",3,"Acatenango",11,700,400,8,68,77,8,93,24,1,279,14,6,299,0,299,0,401,102,279,299,299,,1,d7c3ba8276574876d87ac1ea20dfaaa72ce4d0e018e9028d6fcc5ffafcc89fda,26/06/2023 03:44:48,ESCANER
6574,"Chimaltenango",3,"Acatenango",11,700,400,18,95,50,12,101,24,0,300,21,8,329,0,329,0,400,70,300,329,329,,1,ee36752aca4832bd516f734ecd39c4b8369e3f953765d4baf77a99d40c6e3a36,26/06/2023 02:55:13,ESCANER
6575,"Chimaltenango",3,"Acatenango",11,700,400,12,67,61,8,103,37,0,288,13,10,311,0,311,0,400,89,288,311,311,,1,047a8e8f8c94bf439c4b526eb8bfd18e318164830aa4a3c5431dc9f1d52d1c95,26/06/2023 00:33:53,ESCANER
6576,"Chimaltenango",3,"Acatenango",11,700,400,22,61,39,7,125,30,1,285,16,2,300,0,300,0,400,97,285,303,303,Sumas Asentadas sin cuadrar,1,ddabf23febc02217403494474dd25ca9d663f09dc7014e82caf92846eb17177d,26/06/2023 00:31:13,ESCANER
6577,"Chimaltenango",3,"Acatenango",11,700,400,39,89,22,4,124,15,0,293,12,7,312,0,312,0,400,88,293,312,312,,1,9bd37270b5caee0807bb49d0f6a1dcd1a9ddb8ef7d0c2187de19b5b57af5c890,26/06/2023 00:14:52,ESCANER
6578,"Chimaltenango",3,"Acatenango",11,700,400,18,65,31,4,76,88,0,282,9,5,296,0,296,0,400,104,282,296,296,,1,28bb972838f05c89dfc4dc928398a30d541b3f243a736dfa59e12c4428bbe4c1,26/06/2023 02:08:44,ESCANER
6579,"Chimaltenango",3,"Acatenango",11,700,400,13,62,30,6,107,78,1,297,14,3,314,0,314,0,400,86,297,314,314,,1,91cd1965eabf760e7718819dfc017d5db38b1b038f36a9030304d43b84a2d19d,26/06/2023 02:41:10,ESCANER
6580,"Chimaltenango",3,"Acatenango",11,700,400,4,91,66,9,93,34,2,299,7,6,312,0,312,0,400,88,299,312,312,,1,0d09532900feb2515e44cc1c0f1e7d6d6cf1e1469f5b5d1b095a05643fe66ac2,26/06/2023 01:07:27,ESCANER
6581,"Chimaltenango",3,"Acatenango",11,700,400,2,96,92,12,83,16,1,302,14,3,319,0,319,0,400,81,302,319,319,,1,f21015683dd9b1ed2ad7a1c5685157ad1a944aa3ed29c9ffe410d1e0554a72e1,26/06/2023 00:59:16,ESCANER
6582,"Chimaltenango",3,"Acatenango",11,700,400,2,103,81,11,72,18,1,288,19,3,310,0,310,0,400,90,288,310,310,,1,c6e5e6a6f4cd6ea17ec1e2a203eae6fed4a4115e38c26274b8573b8ffcef031e,26/06/2023 01:30:09,ESCANER
6583,"Chimaltenango",3,"Acatenango",11,700,400,6,123,74,5,77,17,1,303,10,2,315,0,315,0,400,85,303,315,315,,1,cb80961bfc8e448374887d94df91756fd8cc1f664d58b97cf10ea989971f67a6,26/06/2023 00:58:27,ESCANER
6584,"Chimaltenango",3,"Acatenango",11,700,400,10,68,53,5,108,23,1,268,5,2,275,0,275,0,400,125,268,275,275,,1,d11d98d4d8b57319a235395bfcc499510993aaeabd4e7b80b0873da5b74baa41,26/06/2023 00:20:18,ESCANER
6585,"Chimaltenango",3,"Acatenango",11,700,400,5,73,66,10,80,23,0,257,18,3,278,0,278,0,401,123,257,278,278,,1,6a7e1f492dd5946d88d77d80eb120b61303668db11b82db79adbc0ed1dd2ee4a,26/06/2023 00:22:36,ESCANER
6586,"Chimaltenango",3,"Acatenango",11,700,400,10,75,65,7,86,27,3,273,11,1,285,0,285,0,400,115,273,285,285,,1,5bd12fc3a13be0a0da2ae93a7ca11f00fe7f772b3dd2765767717e44c04658fb,26/06/2023 01:33:06,ESCANER
6587,"Chimaltenango",3,"Acatenango",11,700,400,11,69,61,2,94,19,1,257,3,4,264,0,264,0,400,136,257,264,264,,1,821c32c238498590b194f3f0e39f1bb00abcfbca85324ec34dadbbac3f8f0d2e,25/06/2023 23:55:01,ESCANER
6588,"Chimaltenango",3,"Acatenango",11,700,400,8,66,56,8,75,29,0,242,10,2,254,0,254,0,400,146,242,254,254,,1,3c13e8e71e9045c0a46b5e75496ce153961cdcbac14b09c0b3f806542ec9dbdd,25/06/2023 23:29:46,ESCANER
6589,"Chimaltenango",3,"Acatenango",11,701,400,17,69,77,11,85,33,0,292,4,0,296,0,296,0,400,104,292,296,296,,1,c8494503d1814b1643b081ba3df945367b084156807efcd647cac0eb86059c0d,25/06/2023 23:59:33,ESCANER
6590,"Chimaltenango",3,"Acatenango",11,701,400,7,79,57,4,98,34,2,287,4,0,285,0,285,0,400,115,281,285,285,Sumas Asentadas sin cuadrar,1,33f2afecfc773ac8de7ba3d5905b68c55d7608934644a48a84b3ee11e4125d18,26/06/2023 00:36:11,ESCANER
6591,"Chimaltenango",3,"Acatenango",11,701,400,11,88,73,6,96,33,0,307,3,0,310,0,310,0,400,90,307,310,310,,1,db4be535b0eed609ea4796fe63541cae7e76f2205e4830530710bce7e92c69bd,26/06/2023 00:46:16,ESCANER
6592,"Chimaltenango",3,"Acatenango",11,701,396,8,93,50,3,105,30,0,289,1,4,294,0,294,0,396,102,289,294,294,,1,41e28927fd1332352a64c5fff604ab7ea2d69ffb69ce75670bdae33c03afdefe,26/06/2023 00:13:09,ESCANER
6593,"Chimaltenango",3,"Acatenango",11,701,396,10,80,43,12,86,17,1,249,7,0,256,0,256,0,395,139,249,256,256,,1,0439a39908d01d8fc1180ed0715fc617ce29c9561e55d8127eb04c07a4f79967,26/06/2023 00:21:43,ESCANER
6594,"Chimaltenango",3,"Acatenango",11,702,380,5,109,85,10,8,27,1,245,29,14,288,--,288,--,380,92,245,288,288,Algún campo sin dato,1,995ea8287bd660d94ae173407f514223cd9af45a31c06c245675b94de97c8d1c,25/06/2023 23:50:08,ESCANER
