TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
51,12,23.5294,12,23.5294,0,4245,2700,63.6042

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,MLP,VOS,VAMOS,SEMILLA,UNE,AZUL,PPN,CAMBIO,PODEMOS,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6608,"Chimaltenango",3,"Yepocapa",12,705,400,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6609,"Chimaltenango",3,"Yepocapa",12,705,400,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6610,"Chimaltenango",3,"Yepocapa",12,705,400,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6611,"Chimaltenango",3,"Yepocapa",12,705,400,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6612,"Chimaltenango",3,"Yepocapa",12,706,400,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6613,"Chimaltenango",3,"Yepocapa",12,706,400,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6614,"Chimaltenango",3,"Yepocapa",12,706,400,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6615,"Chimaltenango",3,"Yepocapa",12,706,400,19,2,4,132,6,112,2,6,10,0,5,298,20,8,326,0,326,--,400,74,298,326,326,Algún campo sin dato,1,b21b4f8de6ede9db6f2a62bf497e166176eb96b0f6412d4374d3f93b0460d040,26/06/2023 00:41:41,ESCANER
6616,"Chimaltenango",3,"Yepocapa",12,706,400,19,3,1,145,6,131,3,0,8,0,1,317,15,5,337,0,337,--,400,63,317,337,337,Algún campo sin dato,1,e3a0050e2e4e097e3b6588b25e15736a0e68ba558429be2dafdb681feaf8db64,26/06/2023 00:03:20,ESCANER
6617,"Chimaltenango",3,"Yepocapa",12,706,400,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
