TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
46,46,100.0000,46,100.0000,0,18111,11117,61.3825

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,UNIONISTA,VALOR,PODEMOS,COMITE CIVICO EL CORAZÓN,UNE,VOS,PPN,DIFERENTE POR ITZAPA,AZUL,VAMOS,ELEFANTE,VICTORIA,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6659,"Chimaltenango",3,"San Andrés Itzapa",13,713,400,16,23,83,2,14,14,10,2,7,14,1,50,3,2,3,244,17,4,265,0,265,--,400,135,244,265,265,Algún campo sin dato,1,9ce3019f90991e419222b570fd66ba4179b439f37e52b03a15a99968f5ac5e64,25/06/2023 23:31:23,ESCANER
6660,"Chimaltenango",3,"San Andrés Itzapa",13,713,400,16,16,74,5,7,12,7,4,6,13,2,68,8,3,1,242,13,5,260,2,262,2,400,138,242,260,262,,1,0bb3420ec3e7ed9e433f8ab0cfe3fa64546b19a153d38530c3102aac903b1af9,26/06/2023 00:23:07,ESCANER
6661,"Chimaltenango",3,"San Andrés Itzapa",13,713,400,32,26,66,5,13,17,12,2,7,5,3,54,16,1,2,261,14,9,284,0,284,--,284,116,261,284,284,Algún campo sin dato,1,3e0a47b666d5078af0ebb057bcacdb6150ca66a14cee1586f9350cd68b88f20d,26/06/2023 00:28:20,ESCANER
6662,"Chimaltenango",3,"San Andrés Itzapa",13,713,400,25,23,78,3,20,20,11,2,10,13,0,60,7,3,1,276,17,2,295,1,296,--,400,104,276,295,296,Algún campo sin dato,1,d61d1cdf3df62946fc98a64a70d5dbf6b75dfc505b4e18ec1d3a48d0e57ce081,26/06/2023 01:29:00,ESCANER
6663,"Chimaltenango",3,"San Andrés Itzapa",13,714,400,24,30,65,6,17,17,9,3,6,10,1,55,13,2,2,260,10,1,271,0,271,--,400,129,260,271,271,Algún campo sin dato,1,d8d7806696677b742c9b5aa96f3cf92e31948f3c895e6a6f806d86e5d5b3bffe,26/06/2023 00:37:38,ESCANER
6664,"Chimaltenango",3,"San Andrés Itzapa",13,714,400,13,20,71,4,18,20,11,2,7,19,4,59,16,2,1,267,9,3,279,0,279,--,400,127,267,279,279,Algún campo sin dato,1,258021ec7e91725df2b9d2c7862b2d713bd699b331e1177dff0203da79647259,26/06/2023 00:41:31,ESCANER
6665,"Chimaltenango",3,"San Andrés Itzapa",13,714,400,16,23,82,2,13,14,6,3,6,19,4,61,11,0,0,260,12,6,266,0,266,--,400,119,260,278,278,Sumas Asentadas sin cuadrar,1,cb7553903b9778611920e4e2ccfdb27c8a60362a87c09c2c835ccc96cc709fde,26/06/2023 00:51:08,ESCANER
6666,"Chimaltenango",3,"San Andrés Itzapa",13,714,400,21,19,78,4,16,21,15,1,6,13,3,60,8,3,1,269,17,2,288,0,288,--,400,112,269,288,288,Algún campo sin dato,1,2236a16349abffc12cedc58416f54d62503858e1822d268069fb4dc5e559ddfd,26/06/2023 00:12:36,ESCANER
6667,"Chimaltenango",3,"San Andrés Itzapa",13,714,400,19,22,74,2,23,17,8,2,7,5,0,48,10,3,1,241,18,6,265,0,265,--,400,135,241,265,265,Algún campo sin dato,1,71e3cfa14c4ad0b61b512f0de8e1fdc4f30e2ab96fa4d63d28abcf202302abc9,26/06/2023 00:33:39,ESCANER
6668,"Chimaltenango",3,"San Andrés Itzapa",13,714,400,18,24,71,4,10,17,7,0,6,23,1,53,11,1,1,247,14,9,270,0,270,--,400,130,247,270,270,Algún campo sin dato,1,bbca5f944837ab0fefadb0163d3065abac49d36fad2e4d629ab2dd23091b375e,25/06/2023 23:43:33,ESCANER
6669,"Chimaltenango",3,"San Andrés Itzapa",13,714,400,14,23,52,3,18,14,11,1,3,21,2,60,17,4,0,243,11,8,262,0,262,--,400,138,243,262,262,Algún campo sin dato,1,8e2fd53a8fc3b7363529a4ad8d100935271579aa6d6c72ddaba7b5992455f98f,25/06/2023 23:57:10,ESCANER
6670,"Chimaltenango",3,"San Andrés Itzapa",13,714,400,16,22,86,4,16,18,9,3,3,14,2,58,11,2,2,266,5,2,273,0,273,--,400,127,266,273,273,Algún campo sin dato,1,edc649a5973dcd92c321b902e48835aba13c4a7c6d3c08106172cfc1634532d4,25/06/2023 23:51:28,ESCANER
6671,"Chimaltenango",3,"San Andrés Itzapa",13,715,400,15,22,66,9,13,16,5,2,3,6,0,53,10,5,2,227,7,1,235,0,235,--,399,164,227,235,235,Algún campo sin dato,1,e23d6a1bc737420931be9ddd3f64c5809067df07453f745e6ca9d054a23c06d1,26/06/2023 00:52:36,ESCANER
6672,"Chimaltenango",3,"San Andrés Itzapa",13,715,400,14,22,77,3,16,14,10,1,6,10,0,56,9,6,1,244,9,0,253,0,253,--,399,146,245,254,254,Sumas Asentadas sin cuadrar,1,7350831b3a988321685b3ffefa93c50b604bd5c7984feb7294e49c5462531fe2,26/06/2023 00:06:25,ESCANER
6673,"Chimaltenango",3,"San Andrés Itzapa",13,715,400,30,35,74,3,12,12,8,0,4,12,1,64,5,1,1,262,13,6,281,0,281,1,400,119,262,281,281,,1,7ce464105b6fced00f7e963b7712b0cbe16648a9356e3a90701bebc0eb9ac6d5,26/06/2023 01:30:04,ESCANER
6674,"Chimaltenango",3,"San Andrés Itzapa",13,715,400,11,30,65,5,24,21,6,2,5,12,4,49,13,1,2,250,7,1,258,0,258,0,400,142,250,258,258,,1,b905bd481f31d8a9e1cdb6cc8b7c2302e5b4aef4e6c232b69ed60fa1ce86c4c6,26/06/2023 01:47:38,ESCANER
