TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
26,25,96.1538,25,96.1538,0,9767,6871,70.3491

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,VALOR,CABAL,PODEMOS,PHG,SEMILLA,PPN,UNE,VAMOS,CAMBIO,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6705,"Chimaltenango",3,"Parramos",14,721,400,5,19,99,22,6,3,2,46,67,2,1,272,10,4,286,0,286,--,400,114,272,286,286,Algún campo sin dato,1,c6ec649cc72365a276adcdb088aa0e7ef55b7eafa21122dfb8175b04b7d63b52,26/06/2023 00:32:04,ESCANER
6706,"Chimaltenango",3,"Parramos",14,721,400,7,29,101,16,14,3,4,44,61,0,2,281,14,1,296,0,296,--,400,104,281,296,296,Algún campo sin dato,1,d44bffd1988938fb95ad9169055eae7c79f882ef6b5adb145340af0b487a21e2,26/06/2023 00:00:50,ESCANER
6707,"Chimaltenango",3,"Parramos",14,721,400,7,16,102,23,9,1,3,43,73,1,2,280,7,1,288,0,288,1,400,112,280,288,288,,1,3746e7e024fb0d8b1a5537932050bee13fd8a54db4e24fb517f714026a624380,26/06/2023 00:55:54,ESCANER
6708,"Chimaltenango",3,"Parramos",14,721,400,4,23,91,19,13,1,10,40,70,1,1,273,17,6,296,0,296,--,400,104,273,296,296,Algún campo sin dato,1,e9e33938a0991e48bed8bc68bc787829a659473c0e521140bb4e1c793bc433c3,26/06/2023 00:47:20,ESCANER
6709,"Chimaltenango",3,"Parramos",14,721,400,3,26,100,19,14,3,8,39,82,1,1,296,15,2,313,0,313,--,400,87,296,313,313,Algún campo sin dato,1,0f57588f28c602ce30488b616125671c530fe5febdbe0b4716176669b21df983,26/06/2023 01:45:15,ESCANER
6710,"Chimaltenango",3,"Parramos",14,721,400,2,23,106,16,8,2,6,54,65,1,1,284,6,2,292,0,292,1,292,108,284,292,292,,1,22d0de5d9cee54a9e99c22310c59c24ff0e0fc316f54cc72d9ddb5c349539831,26/06/2023 01:03:40,ESCANER
6711,"Chimaltenango",3,"Parramos",14,721,400,3,30,142,13,7,4,3,34,61,0,1,298,6,3,307,0,307,--,397,90,298,307,307,Algún campo sin dato,1,b693391040ad26c29ee3ec6c34c4ceeb8edaa77b6826384fd11964e72316593c,26/06/2023 01:26:32,ESCANER
6712,"Chimaltenango",3,"Parramos",14,721,400,1,21,123,15,7,6,4,39,65,0,0,281,14,5,300,0,300,--,400,100,281,300,300,Algún campo sin dato,1,8382c98c0cb4c8138fc0b6b032881f0e17b8f8688a565aea384d6e0a8a1f68e0,26/06/2023 01:18:36,ESCANER
6713,"Chimaltenango",3,"Parramos",14,721,400,4,24,139,16,8,7,1,37,66,0,2,304,12,4,320,0,320,--,400,80,304,320,320,Algún campo sin dato,1,34a3a86ee33eca8863331d22245e7794548c7f05f6c18db71e09357a9d50ce0b,26/06/2023 01:57:16,ESCANER
6714,"Chimaltenango",3,"Parramos",14,721,400,6,27,115,22,4,4,5,39,85,0,0,303,17,4,324,0,324,--,400,76,307,328,328,Sumas Asentadas sin cuadrar,1,b942c75d3ed179f528b461e93c656fc3f9b7a9c591727bfe81ad337b8e2a7e4a,26/06/2023 03:34:33,ESCANER
6715,"Chimaltenango",3,"Parramos",14,721,400,2,19,98,23,10,3,1,31,69,1,1,258,6,2,266,0,266,--,400,134,258,266,266,Algún campo sin dato,1,d29a054461405e7e8c612497e493e440181d2313c4935fc2b82e8032f14607ca,26/06/2023 07:41:44,ESCANER
6716,"Chimaltenango",3,"Parramos",14,721,400,6,20,100,14,4,4,2,42,70,0,3,265,6,0,271,0,271,1,401,130,265,271,271,,1,c73b4a048f242e6e0c651aa0e048fedc76972bafe9aafa3584dce980c93c74cc,26/06/2023 00:55:29,ESCANER
6717,"Chimaltenango",3,"Parramos",14,721,400,10,26,77,9,10,5,2,45,68,0,1,253,5,3,261,0,261,--,400,139,253,261,261,Algún campo sin dato,1,8d7f2c135d6bfc136437a75cf42494bdb4aaf897cc32e883212c8d49d417a930,26/06/2023 01:28:31,ESCANER
6718,"Chimaltenango",3,"Parramos",14,721,400,3,16,85,19,12,8,2,44,66,0,0,255,14,3,272,0,272,1,400,128,255,272,272,,1,9c722af5cf0b8ebfafa4ccbff357d3f0f2c6e46a7cddad8800c2ffe5ce6d283f,26/06/2023 01:12:36,ESCANER
6719,"Chimaltenango",3,"Parramos",14,721,400,5,22,76,22,8,1,6,34,86,0,1,261,14,2,277,0,277,--,400,123,261,277,277,Algún campo sin dato,1,21af5068e582f3337ca1e7f612e090f9296bc6c51f53f040c321bc2eba6e6ed6,26/06/2023 00:55:05,ESCANER
6720,"Chimaltenango",3,"Parramos",14,721,400,3,15,104,19,8,2,6,33,69,0,0,260,11,4,275,0,275,1,400,125,259,274,274,Sumas Asentadas sin cuadrar,1,36cb7c5bc53bed8b1e63b0e9b3adf20c3b59d3a662f57923fae782a6d3240d5a,25/06/2023 23:37:42,ESCANER
6721,"Chimaltenango",3,"Parramos",14,721,400,4,19,97,18,5,8,4,40,60,2,2,259,12,3,274,0,274,--,399,125,259,274,274,Algún campo sin dato,1,3205acb80162a2004fc8ce079dcab34ab6805f524508d04baed95d4830a2395f,26/06/2023 02:11:24,ESCANER
6722,"Chimaltenango",3,"Parramos",14,721,400,2,26,95,14,6,6,0,35,54,0,2,240,7,3,250,0,250,--,400,150,240,250,250,Algún campo sin dato,1,f7c706426fc0bccf71c65e32380b2058cfc04f201f93421734a835c66ed5a276,26/06/2023 00:28:53,ESCANER
6723,"Chimaltenango",3,"Parramos",14,721,400,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6724,"Chimaltenango",3,"Parramos",14,721,400,4,22,114,12,12,6,3,30,58,0,1,262,2,0,264,0,264,--,400,136,262,264,264,Algún campo sin dato,1,8067a4d28acf86b2048f4931b2b50dda1eb72b4a04e9d0aae050d0af0bbfb3f6,26/06/2023 02:59:52,ESCANER
6725,"Chimaltenango",3,"Parramos",14,722,400,4,19,69,23,6,5,3,61,60,0,3,253,4,1,258,0,258,--,400,142,253,258,258,Algún campo sin dato,1,42afdbd3b0f808773006a5128577bc574e2e22fd49507857e72faa8a59b6652e,25/06/2023 23:21:58,ESCANER
6726,"Chimaltenango",3,"Parramos",14,722,400,3,23,83,13,6,3,2,42,68,0,0,243,4,2,249,152,401,--,401,152,243,249,401,Algún campo sin dato,1,5fe5f9c98a02437aaf54b9a6c888cbe00701b5a722fdf08f6e9d33e72368f44c,25/06/2023 23:19:38,ESCANER
6727,"Chimaltenango",3,"Parramos",14,722,400,6,27,131,16,7,4,2,28,59,1,1,282,3,0,285,0,285,--,400,115,282,285,285,Algún campo sin dato,1,a5952e031c0d5a2d1bd8d031ad0d3dd3aba5503c13a02b0acd5506e100be009a,26/06/2023 00:37:55,ESCANER
6728,"Chimaltenango",3,"Parramos",14,722,400,1,29,142,17,8,1,1,34,65,0,1,299,2,0,301,0,301,--,400,99,299,301,301,Algún campo sin dato,1,f31ce3c3f7902ea7b0aec932cfe302b7a2eb200c6779a9ef3165549e6a49dd98,26/06/2023 01:17:38,ESCANER
6729,"Chimaltenango",3,"Parramos",14,722,284,2,19,69,11,3,1,3,23,45,2,1,179,4,0,183,0,183,--,286,103,179,183,183,Algún campo sin dato,1,9e16ce6e9177a18acc5b1ad7c4c4e617c4756cf8a3984a21df341f594fa7126f,25/06/2023 23:17:00,ESCANER
6730,"Chimaltenango",3,"Parramos",14,722,283,2,11,47,11,8,1,1,22,50,0,1,154,4,2,160,0,160,--,285,125,154,160,160,Algún campo sin dato,1,f70d2ea1eb62ead4d38947fd8bcaf50b059f38b97c404fd649dd4d13cbc79803,25/06/2023 23:37:23,ESCANER
