TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
38,38,100.0000,38,100.0000,0,14360,9208,64.1225

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VALOR,CABAL,VAMOS,PODEMOS,UNIONISTA,VOS,MLP,VIVA,PPN,EL CHORRO,UR,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6731,"Chimaltenango",3,"Zaragoza",15,723,400,69,55,37,31,15,14,4,2,14,11,20,1,2,275,7,3,285,0,285,0,400,115,275,285,285,,1,43c2dfe60d695e226993863bd83990dccbd73a3a4b011b7e8558566fc1135676,26/06/2023 01:45:04,ESCANER
6732,"Chimaltenango",3,"Zaragoza",15,723,400,63,48,28,40,8,18,13,3,4,14,26,2,5,272,10,1,283,0,283,0,400,117,272,283,283,,1,f8216e2dc9ba460b67812e305457dfe88d8072ac28089754485358536616f668,26/06/2023 01:15:42,ESCANER
6733,"Chimaltenango",3,"Zaragoza",15,723,400,73,65,44,35,13,10,3,2,7,13,13,1,0,279,12,2,293,0,293,0,400,107,279,293,293,,1,dc35651a0f6dc63d0027b21fc07d71e87a5f68688fd0a832ed8623b2473890d4,26/06/2023 01:49:23,ESCANER
6734,"Chimaltenango",3,"Zaragoza",15,723,400,52,53,32,31,10,15,3,1,12,12,24,4,5,254,9,0,263,0,263,0,400,137,254,263,263,,1,d9357269ac55ee52f340d070893d92232595ffebb239499ebfc1701632229523,26/06/2023 00:47:41,ESCANER
6735,"Chimaltenango",3,"Zaragoza",15,723,400,67,39,54,29,8,15,5,4,17,8,17,1,3,267,14,0,281,0,281,--,--,--,267,281,281,Algún campo sin dato,1,af7748f098226573ef9d0c9a59763b51d2471997f25ac21971a0ded6cad84eeb,26/06/2023 02:18:56,ESCANER
6736,"Chimaltenango",3,"Zaragoza",15,723,400,60,46,43,31,10,13,2,5,2,11,13,1,2,239,16,3,258,0,258,--,--,--,239,258,258,Algún campo sin dato,1,a554a1d1e7d0863c0308ec9ae2612bf5316046b1de700119c15d91057d58108c,26/06/2023 00:45:29,ESCANER
6737,"Chimaltenango",3,"Zaragoza",15,723,400,61,46,30,27,14,11,8,2,11,15,16,1,2,244,17,3,264,0,264,0,400,136,244,264,264,,1,c0e33e44c71d6f9a0adbb381bd0b498218daf8c12febbb60ad8c6ac3cbaa66d3,26/06/2023 00:52:26,ESCANER
6738,"Chimaltenango",3,"Zaragoza",15,723,400,46,79,46,33,12,12,1,2,8,22,14,0,4,279,16,1,296,0,296,0,400,104,279,296,296,,1,28e7d318388abdb98bf560dc6224eb0935ef9f9b778ffe676cdfb9dd21b96bd4,25/06/2023 23:46:26,ESCANER
6739,"Chimaltenango",3,"Zaragoza",15,724,400,73,55,31,47,15,18,4,2,7,12,12,2,0,278,15,5,298,0,298,0,400,102,278,298,298,,1,4a6ace5fb2ec677275a21a812176cd4b48a84dbb5b2063c690cb48989a8c7303,26/06/2023 02:27:14,ESCANER
6740,"Chimaltenango",3,"Zaragoza",15,724,400,68,39,33,55,9,10,6,6,6,14,11,0,3,260,13,2,275,0,275,0,400,125,260,275,275,,1,94aefc3bc75d9389bd846ba6a5f1785dc93a41a8ba16d8b6cd8c1b534c5f7575,25/06/2023 23:16:34,ESCANER
