TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,34,82.9268,34,82.9268,0,12910,8349,64.6707

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,PODEMOS,VALOR,MLP,VICTORIA,PPN,VAMOS,UNIONISTA,CAMBIO,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6769,"Chimaltenango",3,"El Tejar",16,730,400,68,16,8,3,7,5,130,19,4,19,279,15,6,300,0,300,--,400,100,279,300,300,Algún campo sin dato,1,0c96984fde7d48c9f6eb26f69a3ff0cb28ea15f0a1857093226a37cb179c840b,25/06/2023 23:21:52,ESCANER
6770,"Chimaltenango",3,"El Tejar",16,730,400,66,15,8,7,3,4,126,21,2,14,266,17,4,287,0,287,--,380,93,266,287,287,Algún campo sin dato,1,ada3697f0761077a5c16da86339907b37cecdd9995b8b4215d1dca950b3cdc7d,26/06/2023 00:16:10,ESCANER
6771,"Chimaltenango",3,"El Tejar",16,730,400,48,14,10,7,6,7,141,14,3,13,263,16,1,280,0,280,--,400,120,263,280,280,Algún campo sin dato,1,cdb62d1e49966d5315cf9b72dea6d05ab65bb491a5870603cca02fa740531b4e,25/06/2023 22:51:26,ESCANER
6772,"Chimaltenango",3,"El Tejar",16,730,400,65,14,15,3,4,6,129,19,3,11,269,17,6,292,0,292,--,380,88,269,292,292,Algún campo sin dato,1,27e733600261a91501a46b8441ba0a6c452a920e6900fd2384e8573737d29a61,26/06/2023 00:32:51,ESCANER
6773,"Chimaltenango",3,"El Tejar",16,730,400,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6774,"Chimaltenango",3,"El Tejar",16,730,400,67,7,6,9,8,7,129,19,3,13,268,15,1,284,0,284,--,380,96,268,284,284,Algún campo sin dato,1,be136f52b967e42e49a0106a947a650f6bbf4ea770452b9e6e66c9c48977a753,26/06/2023 00:26:37,ESCANER
6775,"Chimaltenango",3,"El Tejar",16,730,400,65,15,6,2,7,5,130,21,0,12,263,23,5,291,0,291,--,400,109,263,291,291,Algún campo sin dato,1,e28ac2b13248f7fa07efaa12fcfbc3a44c9605a7f1e6645bc807abda322562b3,26/06/2023 02:19:40,MOVIL
6776,"Chimaltenango",3,"El Tejar",16,730,400,54,14,8,2,4,3,128,23,1,13,250,29,2,281,0,281,--,377,96,250,281,281,Algún campo sin dato,1,e5ca87c1bc18254112d143334ace67e5b613504877319c3c40e76cc7ea835e45,26/06/2023 01:11:41,ESCANER
6777,"Chimaltenango",3,"El Tejar",16,730,400,61,8,11,8,4,5,115,21,2,11,246,9,1,256,0,256,--,400,144,246,256,256,Algún campo sin dato,1,0dd96cc26198dca69bb1b81706a2fa651864d6c628ea9e3e6949c6166f28f91b,25/06/2023 23:02:13,ESCANER
6778,"Chimaltenango",3,"El Tejar",16,730,400,50,13,9,1,7,2,129,13,2,5,231,11,1,243,0,243,--,380,137,231,243,243,Algún campo sin dato,1,c910ea05fd589bfddb6014fd59e1b7d24cec4258b490827102ea49b07eb1a29f,25/06/2023 22:03:53,ESCANER
