TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
167,167,100.0000,167,100.0000,0,66139,40684,61.5128

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,UNE,CAMBIO,VAMOS,VIVA,CABAL,SEMILLA,MLP,TODOS,PPN,PR,ELEFANTE,VOS,PODER,BIEN,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7367,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,823,400,19,40,40,9,76,6,33,4,1,4,14,6,1,6,0,0,0,259,25,1,285,0,285,0,400,115,259,285,285,,1,20446c6c2220136e516fba996b1ef755d270aeba16fe75f765009532013107a0,26/06/2023 04:04:56,ESCANER
7368,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,823,400,10,40,61,1,68,12,27,4,0,3,14,8,5,2,0,0,0,255,18,2,275,0,275,--,400,125,255,275,275,Algún campo sin dato,1,cac2b20d5b04d81f79344c62ff0b47254a71cd46c0912fa9accc01394d7b4789,26/06/2023 05:45:00,ESCANER
7369,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,823,400,13,42,44,5,59,8,31,6,2,3,10,0,2,3,0,0,0,228,18,5,251,0,251,0,400,149,228,251,251,,1,a668bb27d5f26a65cf8d7e2ec9fdc57d1834aec725ed74b98895c42cfcc871d8,26/06/2023 03:20:55,ESCANER
7370,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,823,400,12,40,57,4,74,9,41,9,0,0,10,5,1,1,1,0,2,266,29,1,296,0,296,0,399,103,266,296,296,,1,aacf5ce224c879e270b59b18d920642ac44f8454f2e6926381fd292675c288ad,26/06/2023 00:36:18,ESCANER
7371,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,823,400,8,32,52,9,66,5,43,11,2,6,7,7,4,3,0,1,0,256,21,3,280,2,282,2,400,118,256,280,282,,1,f73de00e9c5230c19759ed9119481cca43beedae7741d7b182351abcabcdf845,26/06/2023 05:48:03,ESCANER
7372,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,823,400,11,34,51,3,68,8,43,7,0,1,12,5,3,2,0,2,0,250,13,4,267,0,267,--,400,133,250,267,267,Algún campo sin dato,1,5029dbab3957bb371be270e3e6714ae93bad63c1aa89b4991a102820d15941a0,26/06/2023 04:13:18,ESCANER
7373,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,823,400,8,34,55,8,75,10,31,8,0,2,8,6,1,7,0,0,1,254,26,3,283,0,283,0,400,117,254,283,283,,1,22c6ebb54a6329790789a7ed77ff400ed9216886ab7e8ee87abda8aad58b7e0e,26/06/2023 01:37:39,ESCANER
7374,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,823,400,14,31,47,2,72,4,35,7,1,2,9,3,4,1,0,0,0,232,25,5,262,0,262,0,400,138,232,262,262,,1,c36b3ccc97825a85cf017a6991178db1dd7926e1c30208ab6a85792a2436af6a,26/06/2023 01:11:25,ESCANER
7375,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,823,400,14,44,49,2,61,13,26,11,0,4,11,7,2,5,0,1,0,274,19,5,274,0,400,0,400,126,250,274,274,Sumas Asentadas sin cuadrar,1,70a97a30c78b778bb731827db17f1e16a66b0e00a2844c739a7933e57920bfd0,26/06/2023 03:13:15,ESCANER
7376,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,823,400,16,41,55,4,66,5,35,8,3,4,8,2,4,7,0,0,0,258,12,2,272,1,273,0,400,127,258,272,273,,1,251f45f4a452cd46fa85eaf353f44c7261fe5701022d145d266ba4beaf8373ae,26/06/2023 02:21:22,ESCANER
