TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
52,52,100.0000,52,100.0000,0,19982,12469,62.4011

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,VAMOS,UNE,VIVA,VICTORIA,VOS,TODOS,CAMBIO,ELEFANTE,CABAL,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7534,"Escuintla",5,"La Democracia",3,848,400,1,5,68,91,18,35,3,0,0,1,28,2,254,16,3,273,0,254,0,400,127,252,271,271,Sumas Asentadas sin cuadrar,1,d74d2fe5e0d9c1ab3f5cf21bd3d53a40600ecf4bae330a2c2bccc72986d963d7,25/06/2023 23:37:17,ESCANER
7535,"Escuintla",5,"La Democracia",3,848,400,0,9,60,102,24,24,2,2,1,0,23,1,248,15,3,266,0,266,6,397,125,248,266,266,,1,31fdc8456e304625a4cbe5611169e6f0688c7ea237f4a662581da4279523ba95,26/06/2023 01:13:57,ESCANER
7536,"Escuintla",5,"La Democracia",3,848,400,3,8,67,69,26,30,3,6,0,3,15,1,231,29,5,265,0,265,0,400,135,231,265,265,,1,5b7c6cfa29f1ebff9915b226f2f2d1a369ca53d1df09d933892b18a94a9d4663,26/06/2023 04:41:14,ESCANER
7537,"Escuintla",5,"La Democracia",3,849,400,2,5,77,107,25,24,2,4,0,0,16,0,262,15,3,280,0,280,0,397,117,262,280,280,,1,39fc46ca303793f7cf1cd372833b9ae44f026743012d0b5abab0404cfbe5d46e,26/06/2023 00:57:54,ESCANER
7538,"Escuintla",5,"La Democracia",3,849,400,5,11,75,102,26,39,2,2,2,1,28,2,295,19,3,317,0,317,0,400,83,295,317,317,,1,8d73189345dae761283b62f3aeadf7c0567c158566668d2de477dd63dda56539,26/06/2023 01:12:51,ESCANER
7539,"Escuintla",5,"La Democracia",3,849,400,4,10,64,85,33,37,4,7,0,0,20,1,265,21,5,291,0,291,0,400,109,265,291,291,,1,05d8140ff7a7f80b5896538908ad11fa2040eb30a9e0bf7f9392ee74d166f2b1,25/06/2023 23:58:46,ESCANER
7540,"Escuintla",5,"La Democracia",3,849,400,2,6,77,83,17,31,1,4,1,--,17,--,240,13,2,255,--,255,--,388,133,239,254,254,Sumas Asentadas sin cuadrar,1,86c811e0d0ad705254dbe57a22c0477e7f74f6151e9c856cf589908ed8af9743,26/06/2023 02:09:04,ESCANER
7541,"Escuintla",5,"La Democracia",3,849,400,3,66,73,102,24,23,0,7,0,2,16,1,257,13,1,270,0,270,3,400,129,317,331,331,Sumas Asentadas sin cuadrar,1,34af642fff7f754bbdb37f1173679913d8719e8f9246cc2b23259df27f4a5317,26/06/2023 03:53:07,ESCANER
7542,"Escuintla",5,"La Democracia",3,849,400,4,4,60,83,16,31,0,4,2,2,17,0,223,11,3,237,0,237,0,400,163,223,237,237,,1,e4b118e68f9b51c0c3cee295c5dc1ac7e12adbc9eb1da6bb3f78162828279b3b,25/06/2023 22:31:49,ESCANER
7543,"Escuintla",5,"La Democracia",3,849,400,6,7,71,90,18,24,0,1,0,1,18,1,237,14,2,253,0,253,0,400,147,237,253,253,,1,26f4b8e77b8adee7dfd63d8fdee9cbe75d4e75a183ef80e2ad6934dd4d28540b,26/06/2023 00:19:38,ESCANER
7544,"Escuintla",5,"La Democracia",3,849,400,2,7,82,91,17,36,5,2,0,1,15,1,259,18,2,279,0,279,--,--,--,259,279,279,Algún campo sin dato,1,31dd35beee82a88ce2e54b25693125d74180e58b2177d6000497d5e0163b2a21,26/06/2023 00:53:58,ESCANER
7545,"Escuintla",5,"La Democracia",3,849,400,0,11,78,72,18,26,3,5,1,1,20,1,236,18,2,256,0,256,0,400,144,236,256,256,,1,74fe86ca784da06eeb717d7c1173a6b51eeb8ad90279ad73ad11ab19e5ac6764,26/06/2023 01:02:33,ESCANER
7546,"Escuintla",5,"La Democracia",3,849,400,2,6,55,93,25,22,3,1,0,0,14,2,223,24,1,248,0,248,--,396,148,223,248,248,Algún campo sin dato,1,90d2399e451e028b844f3dea45e1b355741eebaecb7ef9401d5f2cda45cb3d5f,26/06/2023 02:16:47,ESCANER
7547,"Escuintla",5,"La Democracia",3,850,400,3,7,63,94,19,27,1,5,1,0,14,0,238,12,1,251,0,251,--,397,146,234,247,247,Sumas Asentadas sin cuadrar,1,b979be8a152b3fbe86e60104162602874926b0cb810262d433351ce905eb4982,26/06/2023 02:22:25,ESCANER
7548,"Escuintla",5,"La Democracia",3,850,400,3,5,65,93,24,22,5,4,0,1,20,0,242,12,0,254,0,254,--,398,139,242,254,254,Algún campo sin dato,1,3a2a37ee21949667eff0b1600cfc2d6dead97a73b2ce63170580d8484b19ddbb,26/06/2023 01:41:40,ESCANER
7549,"Escuintla",5,"La Democracia",3,850,400,1,3,77,111,27,26,3,8,0,1,18,1,276,13,2,291,0,291,1,397,105,276,291,291,,1,5794f42994ab94adb2e2f96667826c9cdeb6f5a99c60f7529cd5698dadd7e3fe,26/06/2023 00:55:42,ESCANER
7550,"Escuintla",5,"La Democracia",3,851,361,5,8,56,100,23,25,1,4,0,3,12,0,--,--,--,--,--,--,--,--,--,237,237,237,Algún campo sin dato,1,913087e48e185ee87d64499642f9b6cf63a80e81f28ec256334a0715fdeb974f,25/06/2023 23:45:38,ESCANER
