TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
43,43,100.0000,43,100.0000,0,17079,11482,67.2287

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,UNE,CREO,PODEMOS,VOS,VICTORIA,TODOS,PHG,VAMOS,CAMBIO,FCN-NACION,MI FAMILIA,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7586,"Escuintla",5,"Siquinalá",4,857,400,120,12,37,40,5,37,1,9,14,0,6,1,2,284,15,4,303,0,303,--,400,97,284,303,303,Algún campo sin dato,1,e93e1054ad31ebbd00cb0e825d629a2957af3fed548c17238f8429ae2ff0c7ca,26/06/2023 02:37:57,ESCANER
7587,"Escuintla",5,"Siquinalá",4,857,400,110,9,30,28,2,48,0,5,14,0,4,2,2,254,22,5,254,27,281,--,398,117,254,281,308,Sumas Asentadas sin cuadrar,1,dabbb10ab35419b2e74a8089846e17b800cd9efe5eaf0caed858883ad1e92b70,26/06/2023 02:55:39,ESCANER
7588,"Escuintla",5,"Siquinalá",4,857,400,112,13,35,27,6,35,1,7,8,0,2,0,0,246,19,4,269,0,269,--,400,131,246,269,269,Algún campo sin dato,1,20b3d9f650ef6a2238efd769bfb4801f5ac33bfbf403c33d5d382d5d6e760ca9,26/06/2023 04:39:28,ESCANER
7589,"Escuintla",5,"Siquinalá",4,857,400,106,13,24,37,11,38,1,10,13,1,6,2,0,262,15,3,280,0,280,--,400,120,262,280,280,Algún campo sin dato,1,c8cecaebe9fd2a8e4f1500726a4b95a803cb4bd1ba8b048e8b6369680ad1476e,26/06/2023 02:17:47,ESCANER
7590,"Escuintla",5,"Siquinalá",4,857,400,113,14,36,37,8,41,1,8,14,0,4,0,3,279,11,3,293,0,293,0,400,107,279,293,293,,1,ed0ae0c67f8939d268921e1f2e4df83bd821eb6e3f97a0307f31389a2237756b,26/06/2023 00:55:23,ESCANER
7591,"Escuintla",5,"Siquinalá",4,857,400,123,14,33,39,7,41,1,6,11,0,8,0,0,283,20,1,304,0,304,--,--,--,283,304,304,Algún campo sin dato,1,5997a444de2c52817b79000a5db1b3af0162b6aaa42bb5194b9c359a1d709ec9,26/06/2023 02:50:20,ESCANER
7592,"Escuintla",5,"Siquinalá",4,857,400,112,14,23,52,11,44,2,10,14,0,7,0,1,290,13,2,305,0,305,--,400,95,290,305,305,Algún campo sin dato,1,cc165faf70a544edb4eb8be843d4e8f95f0537916c4f3c80846479c8d20af950,26/06/2023 03:22:33,ESCANER
7593,"Escuintla",5,"Siquinalá",4,857,400,116,20,28,36,1,31,4,11,13,2,4,0,1,267,13,3,283,0,283,--,400,117,267,283,283,Algún campo sin dato,1,59b4d086c6e0b543874240257d1020ffcc1f62f1492d2e29576c69f8fcb92718,26/06/2023 02:56:15,ESCANER
7594,"Escuintla",5,"Siquinalá",4,857,400,118,15,26,39,2,42,2,12,7,0,4,1,1,269,12,2,283,0,283,--,400,117,269,283,283,Algún campo sin dato,1,60f278cb0d9743b16aabac9158279f5cceb73b5d0051509c593426bacdf110e5,26/06/2023 02:15:12,ESCANER
7595,"Escuintla",5,"Siquinalá",4,857,400,108,15,26,36,10,47,0,11,14,0,3,2,0,272,13,4,289,0,289,--,--,--,272,289,289,Algún campo sin dato,1,decd00bfd48be424f0baa907804eb2fd0d1d9201516960734911177f4798ad10,26/06/2023 05:46:04,ESCANER
