TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
83,83,100.0000,83,100.0000,0,31423,21053,66.9986

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,VAMOS,UNE,CABAL,VIVA,PODEMOS,PR,TODOS,FCN-NACION,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7629,"Escuintla",5,"Masagua",5,863,400,17,1,102,31,84,9,0,1,1,0,3,249,16,2,267,0,0,--,399,132,249,267,267,Algún campo sin dato,1,70ba2c3137c25ca1e7d584cfdfe0cc7bc05c6d419f4bd9d0db76b896d146c412,26/06/2023 02:02:51,ESCANER
7630,"Escuintla",5,"Masagua",5,863,400,32,7,101,35,59,5,0,0,5,3,1,248,19,2,269,0,269,0,400,131,248,269,269,,1,e5a5c3185b27b7560f9125220784f75424d98b2d690df197b7f3e4c61b0b87d2,26/06/2023 00:03:50,ESCANER
7631,"Escuintla",5,"Masagua",5,863,400,38,4,84,42,93,8,0,0,3,2,3,277,21,2,300,0,300,--,400,100,277,300,300,Algún campo sin dato,1,13e41ee97e79bcd7649c658688ba4c5261c02e3aa39ad03f2a59bdf19ffb8197,26/06/2023 02:16:13,ESCANER
7632,"Escuintla",5,"Masagua",5,863,400,35,7,113,35,66,6,0,0,3,0,3,268,18,7,293,0,268,--,400,107,268,293,293,Sumas Asentadas sin cuadrar,1,5d46fe5374899599b5e9a15e23376488d5327790a8379d1ff1f7b815f2a6eeee,26/06/2023 03:48:33,ESCANER
7633,"Escuintla",5,"Masagua",5,863,400,27,66,112,37,95,5,0,1,2,0,0,285,24,3,312,0,312,--,399,87,345,372,372,Sumas Asentadas sin cuadrar,1,4f93fc070755d19b6ddb27cd2939b4ce10731131b8a0d19e7ba9ae0ff3372c6d,26/06/2023 05:27:24,MOVIL
7634,"Escuintla",5,"Masagua",5,863,400,29,6,81,37,80,5,1,1,1,0,4,245,22,2,269,0,269,2,400,129,245,269,269,,1,9c3eed8d434971b069d22ed868a4f27070106e18e1b77cecccd614e26f505851,25/06/2023 22:55:55,ESCANER
7635,"Escuintla",5,"Masagua",5,863,400,27,1,106,27,58,5,0,1,2,1,0,228,9,0,237,10,247,10,400,153,228,237,247,,1,2d82ba88359d6eca11308aadcee41efe49a60939b79a87dfaae82930232acea7,26/06/2023 00:11:38,ESCANER
7636,"Escuintla",5,"Masagua",5,863,400,28,3,96,27,63,5,0,2,1,2,0,227,18,1,246,0,246,--,400,154,227,246,246,Algún campo sin dato,1,34c8f6edb3227d158535781c5bf99c276ccd3f5fba7e51f82e4dddd3cb62a3b6,26/06/2023 01:10:10,ESCANER
7637,"Escuintla",5,"Masagua",5,863,400,30,6,91,27,73,6,1,0,5,1,1,241,15,0,256,0,256,--,256,144,241,256,256,Algún campo sin dato,1,de44e744ec6cfebd2531b0734a30de0f9bf768f390e642bc7c1b6d12f02e7142,25/06/2023 23:25:59,ESCANER
7638,"Escuintla",5,"Masagua",5,863,400,39,5,103,33,70,7,--,--,3,2,4,266,15,0,281,0,281,--,400,119,266,281,281,Algún campo sin dato,1,16fcf7d4b392599e5ac09cbdeb73f3f22d76354101a81589b4ea93c4eaffd291,26/06/2023 00:46:03,ESCANER
