TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
67,67,100.0000,67,100.0000,0,25526,15285,59.8801

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,VAMOS,UNE,PODEMOS,CABAL,VIVA,VICTORIA,MI FAMILIA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7807,"Escuintla",5,"La Gomera",7,884,400,20,87,22,49,7,25,1,1,2,214,35,3,252,0,252,--,400,148,214,252,252,Algún campo sin dato,1,ae3e26a1f4ef8210c38a539630c9353051a4aec7878a55ffadfed95daea95c4b,26/06/2023 01:09:37,ESCANER
7808,"Escuintla",5,"La Gomera",7,884,400,16,63,25,45,8,31,4,1,0,193,41,3,237,0,237,--,400,163,193,237,237,Algún campo sin dato,1,9385855b2a3e664812add797cf16852fb61ebab54e9f0d3c62960328fe2cd3a5,26/06/2023 01:06:54,ESCANER
7809,"Escuintla",5,"La Gomera",7,884,400,16,85,21,52,10,37,4,4,0,229,35,2,266,0,266,--,397,131,229,266,266,Algún campo sin dato,1,d26923198c3c85311a6d4bb9126387dbf57fe515c65a69ca7e895eab9db8c445,26/06/2023 00:15:25,ESCANER
7810,"Escuintla",5,"La Gomera",7,884,400,28,88,22,52,3,42,6,3,0,244,41,0,285,0,285,--,400,115,244,285,285,Algún campo sin dato,1,9acc3ca334f00890135afa41ce75c0ba74821d5609304f6375b95bf310131864,26/06/2023 01:00:48,ESCANER
7811,"Escuintla",5,"La Gomera",7,884,400,12,80,22,58,7,38,5,0,3,225,33,3,261,0,261,--,400,139,225,261,261,Algún campo sin dato,1,e0421149ab58a550818778b69a5a23445651227ac8e4e2a7d998f359dd41a143,26/06/2023 01:10:36,ESCANER
7812,"Escuintla",5,"La Gomera",7,884,400,27,79,17,59,14,29,8,3,4,240,35,0,275,0,275,--,400,125,240,275,275,Algún campo sin dato,1,0fb77a9a2361012f3263fe617a591f0443bce3d4adb946a4e67f486e2c629f77,26/06/2023 01:14:26,ESCANER
7813,"Escuintla",5,"La Gomera",7,884,400,24,80,22,59,7,44,6,2,4,248,48,0,298,50,296,--,400,104,248,296,346,Sumas Asentadas sin cuadrar,1,477cd52779d726f84b6796ca28ca890c1d0acc63c7e52bf94385c679fd16d3e3,26/06/2023 04:07:52,ESCANER
7814,"Escuintla",5,"La Gomera",7,884,400,20,112,17,52,6,31,2,0,1,241,40,2,283,0,283,--,400,117,241,283,283,Algún campo sin dato,1,51e9a2efa119875f30a4908706e2414cbe9c73a78d3577709b5346dd1729e2f4,26/06/2023 01:02:25,ESCANER
7815,"Escuintla",5,"La Gomera",7,884,400,27,90,15,46,2,51,6,3,1,241,34,2,277,0,277,0,400,123,241,277,277,,1,dc5d2422836d98add34c74c6161760ad70e04e8fa1ce31b48977b0c884a09ef5,26/06/2023 00:00:31,ESCANER
7816,"Escuintla",5,"La Gomera",7,884,400,17,93,27,58,8,30,8,4,0,245,35,5,--,--,285,--,400,115,245,285,285,Algún campo sin dato,1,de2e242bc5d2660194811260f950577dacc87014cc0d6143cb7ec2bd8c75a6f0,25/06/2023 22:29:54,ESCANER
7817,"Escuintla",5,"La Gomera",7,884,400,27,72,13,49,5,34,4,1,3,208,22,4,234,0,234,--,400,166,208,234,234,Algún campo sin dato,1,222746f257d9f5e0ad87cfe0380308a19395133795ccb060345e15b39b9af427,25/06/2023 22:32:19,ESCANER
7818,"Escuintla",5,"La Gomera",7,884,400,30,73,22,38,6,31,5,0,2,207,24,4,235,0,235,--,401,765,207,235,235,Algún campo sin dato,1,f4ddada6351f86cf229e8811076208f41b2b8a77b33f65a53093e4f3cc964ca4,26/06/2023 00:46:40,ESCANER
7819,"Escuintla",5,"La Gomera",7,885,400,31,74,23,54,5,34,4,2,0,227,30,2,259,0,227,0,400,141,227,259,259,Sumas Asentadas sin cuadrar,1,3b6e29af0acfa5fe0d9be6805f1ae19218c3d5b87a91a519c91766d2efa5d1b7,26/06/2023 01:01:19,ESCANER
7820,"Escuintla",5,"La Gomera",7,885,400,18,70,20,52,8,30,2,2,1,203,34,1,238,0,238,0,400,162,203,238,238,,1,7f15f1713ff95445205d1c1ecadfadf2aaa53cb985f1aa9b2148875d6b220195,26/06/2023 01:12:25,ESCANER
7821,"Escuintla",5,"La Gomera",7,885,400,12,67,25,42,4,30,4,3,1,188,26,5,219,0,219,--,400,181,188,219,219,Algún campo sin dato,1,713a55220d63ec8b6aa6a752560c14d6c0b48a54b38ca983b2d13fb02369e2fc,25/06/2023 23:24:00,ESCANER
7822,"Escuintla",5,"La Gomera",7,885,400,21,55,25,53,11,33,3,3,1,205,31,2,238,0,238,--,400,162,205,238,238,Algún campo sin dato,1,350daf87f6942268ad484450d01290305bfe8cd127a1c14dbed9fcc908833e6f,25/06/2023 22:24:20,ESCANER
7823,"Escuintla",5,"La Gomera",7,885,400,22,62,19,33,6,26,3,2,3,176,39,7,222,0,222,0,400,178,176,222,222,,1,68fbbf317968075004c9f225565160a0dc851d2cb89316cc691ee7e7613ca9c0,25/06/2023 22:47:09,ESCANER
7824,"Escuintla",5,"La Gomera",7,885,400,12,61,19,38,11,21,2,3,1,168,34,3,205,0,205,--,400,195,168,205,205,Algún campo sin dato,1,2b8c1ea72dcc58896f0e621ce0d0bb22959e0b4a20b2683d4248843130725801,26/06/2023 01:26:20,ESCANER
7825,"Escuintla",5,"La Gomera",7,885,400,20,76,19,43,5,27,4,2,2,198,27,1,226,0,226,--,396,170,198,226,226,Algún campo sin dato,1,95d1b824311917470f90a49a0064e5c46c39f5a2866208e09f42a9daf1e9dcbb,25/06/2023 22:45:04,ESCANER
7826,"Escuintla",5,"La Gomera",7,885,400,15,75,17,46,6,29,2,1,2,193,17,5,215,0,215,--,--,--,193,215,215,Algún campo sin dato,1,c3aa52c86f1d3e58953cdddf6dd6eb3e8a6d13945623ea29b581598e160170f4,26/06/2023 01:41:27,ESCANER
7827,"Escuintla",5,"La Gomera",7,885,400,28,74,17,53,2,31,2,1,1,209,29,0,238,0,238,0,400,162,209,238,238,,1,5a6064879f52cc379d2fcb320b8494b0d92d2b4acd646668bfa732629ddda44f,26/06/2023 01:07:52,ESCANER
7828,"Escuintla",5,"La Gomera",7,885,400,22,69,15,53,5,36,2,2,1,205,25,0,230,0,230,0,400,170,205,230,230,,1,db1be0f7e12f9f53021c23e23b93a2b1af577b531d7475c672b2caa7663475b1,25/06/2023 23:23:11,ESCANER
7829,"Escuintla",5,"La Gomera",7,885,219,8,37,7,30,5,16,2,0,2,107,9,2,118,0,118,0,219,101,107,118,118,,1,5083a5c04b8230f6521aab7a2b67957621287995a1a00f5b43e42f90b62bab78,25/06/2023 22:07:26,ESCANER
