TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
43,43,100.0000,43,100.0000,0,16697,10060,60.2503

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,CAMBIO,VIVA,UNE,VAMOS,CABAL,WINAQ,VOS,PODEMOS,PR,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7874,"Escuintla",5,"Guanagazapa",8,894,400,10,10,8,15,62,65,34,7,0,5,0,3,219,24,2,245,0,245,1,400,155,219,245,245,,1,da06e138b4064ce09045e02dbee5a9e12347e2317e690157697081c022603462,26/06/2023 00:39:19,ESCANER
7875,"Escuintla",5,"Guanagazapa",8,894,400,17,5,9,18,74,52,32,11,1,5,0,2,226,15,9,250,0,250,--,400,150,226,250,250,Algún campo sin dato,1,57c0ae0028e148bdfb0c43fef706d428abc254b74c855e39461bccd03d5b739b,26/06/2023 00:09:43,ESCANER
7876,"Escuintla",5,"Guanagazapa",8,894,400,10,14,16,24,71,62,31,3,2,8,0,2,243,17,9,269,0,269,0,400,131,243,269,269,,1,e8794f9bd8c73c164e0c4f68a505a6c2fdd1ee5267c2365d36b042ecac8d2020,26/06/2023 00:59:20,ESCANER
7877,"Escuintla",5,"Guanagazapa",8,894,400,16,10,19,31,40,88,37,0,2,10,0,0,253,27,8,288,0,288,0,399,111,253,288,288,,1,3f30d2072baf1ac8f0e732621f467d5f0ea2f8ee230a4b72ba0592ce64ef0c8a,26/06/2023 00:45:33,ESCANER
7878,"Escuintla",5,"Guanagazapa",8,894,400,12,18,11,33,41,95,30,1,0,15,0,1,257,27,9,293,0,293,0,400,107,257,293,293,,1,cbf082d701948b92c1f33b2a8ff24d2f34837b787cfd81248587ca8053b28850,26/06/2023 01:57:50,ESCANER
7879,"Escuintla",5,"Guanagazapa",8,894,400,21,10,11,19,49,90,47,1,0,11,0,3,262,13,5,280,0,280,1,400,120,262,280,280,,1,c016d6618cfca932ebd05d44bcff5462ad89498e5d84e5e4c87f523393b06386,26/06/2023 03:06:06,ESCANER
7880,"Escuintla",5,"Guanagazapa",8,894,400,18,4,12,16,56,98,45,1,0,15,1,1,267,25,7,299,0,299,--,400,101,267,299,299,Algún campo sin dato,1,c7b7265a6cc42e2dd6e0dc6ca3f676cfb1f4fb710f90b0a7ba0cab4b29a33031,26/06/2023 04:02:09,ESCANER
7881,"Escuintla",5,"Guanagazapa",8,894,400,20,9,8,18,51,88,26,2,0,4,0,1,227,15,5,247,0,247,--,400,153,227,247,247,Algún campo sin dato,1,a304e4f060bf8dea7b9e85616b7643f3f14d424c5f0fbc4d0c873875bd793782,26/06/2023 03:39:09,ESCANER
7882,"Escuintla",5,"Guanagazapa",8,894,400,17,10,7,26,55,66,27,4,0,7,0,3,222,8,2,232,0,232,0,400,168,222,232,232,,1,21406117cfe3e09aec117b4360c50368fd79af8a3a46ac5abd476e80fba5037a,26/06/2023 02:30:20,ESCANER
7883,"Escuintla",5,"Guanagazapa",8,894,400,17,6,5,23,73,79,20,2,0,6,1,0,232,13,6,251,0,251,0,400,149,232,251,251,,1,b08087223b710d6f121a70acd5790bcfca71fef1a9f4c6fb52baea31a309d417,26/06/2023 01:08:50,ESCANER
