TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
103,98,95.1456,95,92.2330,3,35835,24300,67.8107

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPN,VALOR,UNE,MLP,VAMOS,VIVA,SEMILLA,AZUL,TODOS,WINAQ,ELEFANTE,UR,MAR,CABAL,MI FAMILIA,PODER,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7917,"Escuintla",5,"San José",9,903,212,21,35,15,1,25,8,3,0,4,0,6,0,2,1,0,3,0,124,10,0,134,0,134,--,212,78,124,134,134,Algún campo sin dato,1,53f4f32ad73d991edfd78f0945e19fbadeeb1473f39b863a4d46569ff31208b6,25/06/2023 23:17:52,ESCANER
7918,"Escuintla",5,"San José",9,904,400,14,95,58,3,45,4,1,0,11,0,10,0,3,4,0,1,0,249,16,6,271,0,271,--,400,129,249,271,271,Algún campo sin dato,1,3925567b04e9a73f3ba1e17e88406c4310ab04c5bd83ddbc3c502e394257ad67,26/06/2023 06:47:26,MOVIL
7919,"Escuintla",5,"San José",9,904,400,22,79,54,0,63,8,0,1,6,1,9,0,3,2,1,1,1,251,21,0,272,0,272,--,400,128,251,272,272,Algún campo sin dato,1,3974344e116934c062ddb46df67925418812fa86520bf68e2193548e70a74aff,26/06/2023 02:00:40,ESCANER
7920,"Escuintla",5,"San José",9,904,400,17,81,64,0,54,5,6,0,11,1,15,0,3,4,0,2,2,265,17,2,284,0,284,--,400,116,265,284,284,Algún campo sin dato,1,d27154ba918820dd357bbf51b7ea9ee668531648da29166aaeeac52643e3675f,26/06/2023 01:38:08,ESCANER
7921,"Escuintla",5,"San José",9,905,400,25,83,55,0,56,6,4,0,19,0,23,0,4,1,1,1,0,278,28,3,309,0,309,--,400,90,278,309,309,Algún campo sin dato,1,05c51beb2416af2ea9423eece1d1cd1e9c2c13bf8e8547f95a72e5e643cd1529,26/06/2023 01:57:08,ESCANER
7922,"Escuintla",5,"San José",9,905,400,20,109,52,1,57,11,4,2,14,0,15,0,5,2,0,3,0,295,15,1,311,0,311,--,399,88,295,311,311,Algún campo sin dato,1,860c862eef8cd931f247ad1839349b339d8070f2d772766946bc436527a5e59d,27/06/2023 15:03:02,ESCANER
7923,"Escuintla",5,"San José",9,905,400,21,105,52,2,55,2,2,1,6,1,13,0,6,4,0,2,2,274,21,3,298,0,298,0,400,102,274,298,298,,1,67e10cb03f7c5c2bf789f511d832cd5f524df8657569c0ec6e6fd3e0a6fad823,26/06/2023 00:35:15,ESCANER
7924,"Escuintla",5,"San José",9,905,400,32,97,51,1,63,5,10,2,13,0,12,1,0,3,0,0,1,291,18,2,311,0,311,--,400,89,291,311,311,Algún campo sin dato,1,3acba04d49fe890afc19ae5e6d3e5a5ef0bf055db8d219b395ac9a400bc22c1b,26/06/2023 02:48:21,MOVIL
7925,"Escuintla",5,"San José",9,905,400,11,74,59,1,75,6,7,1,20,0,13,0,0,5,2,0,0,274,27,5,306,0,306,0,400,94,274,306,306,,1,0a11ab7ee29635cc62be777383722da02969c27535dc395ab7af25b510e05369,26/06/2023 00:29:03,ESCANER
7926,"Escuintla",5,"San José",9,905,400,20,105,42,1,48,6,2,0,8,0,12,0,1,1,0,3,0,249,8,0,257,0,257,--,400,143,249,257,257,Algún campo sin dato,1,5bba71a7025c83d3b853f1984a382845021e5c12cb277ec6fb8507dc640d3bf0,27/06/2023 16:00:26,ESCANER
