TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
42,42,100.0000,42,100.0000,0,16379,12176,74.3390

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,UNE,CABAL,PHG,PODER,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8020,"Escuintla",5,"Iztapa",10,920,400,136,126,10,2,2,276,17,3,296,0,296,--,401,102,276,296,296,Algún campo sin dato,1,20550a6943810860112a2e051143d2c3d7536d56fd20dcac328a2ecc8313fbac,25/06/2023 22:36:36,ESCANER
8021,"Escuintla",5,"Iztapa",10,920,400,149,148,6,2,3,308,9,2,319,0,319,--,400,81,308,319,319,Algún campo sin dato,1,b6219487c2c4f426fd687a127cd8451a655d3c7235135ee59b54880e16b98a3d,25/06/2023 23:34:50,ESCANER
8022,"Escuintla",5,"Iztapa",10,920,400,155,148,6,2,2,313,15,4,332,0,332,--,400,68,313,332,332,Algún campo sin dato,1,8ffba26f691af691c97747ed8c6b9a53fa71c83678a417573b5802748b88cfed,25/06/2023 22:50:33,ESCANER
8023,"Escuintla",5,"Iztapa",10,920,400,171,153,6,0,2,332,9,4,345,1,346,1,400,54,332,345,346,,1,316361c3a9cf8cab7ee025e371acd2b1132d8883996d8cd529344fb7281770b4,26/06/2023 01:05:27,ESCANER
8024,"Escuintla",5,"Iztapa",10,920,400,188,133,5,1,0,327,9,3,339,0,339,--,400,61,327,339,339,Algún campo sin dato,1,7f9f48b28a7af2d6019259cb6c140e5fac15b5e117295cdf76d8580fd2572382,25/06/2023 23:02:25,ESCANER
8025,"Escuintla",5,"Iztapa",10,920,400,161,149,7,1,2,320,12,4,336,0,336,--,400,64,320,336,336,Algún campo sin dato,1,d5410c162159919544035a87c7effd09e6d7dd7d1c8c10f29a010e2fad33295c,25/06/2023 22:05:00,ESCANER
8026,"Escuintla",5,"Iztapa",10,921,400,194,119,4,3,5,325,9,4,338,0,338,0,400,62,325,338,338,,1,8d8f7daeb5ca866d6619aed2f9b1ceb0d69c45b5c3e07c21060e917db99434b9,25/06/2023 23:06:30,ESCANER
8027,"Escuintla",5,"Iztapa",10,921,400,149,128,8,0,5,290,9,3,302,0,302,0,400,98,290,302,302,,1,102d360dcc630dab402e1625824fb362b85e6dff24a19cf178a254a4bc4980c0,25/06/2023 23:01:14,ESCANER
8028,"Escuintla",5,"Iztapa",10,921,400,155,121,15,2,0,293,8,3,304,0,304,0,400,96,293,304,304,,1,19054949736785993b3de3eb6b999edccf867799d45a6090a12114f3ea5731e8,25/06/2023 22:13:54,ESCANER
8029,"Escuintla",5,"Iztapa",10,921,400,147,120,11,0,1,279,11,0,290,0,290,--,400,110,279,290,290,Algún campo sin dato,1,9f752c20d09a0bdd03bd2bf9dc6fa74d9ce0889936861ff632b4004327b997af,25/06/2023 23:25:31,ESCANER
