TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,36670,25945,70.7526

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,UNE,CABAL,AZUL,WINAQ,VICTORIA,SEMILLA,MLP,VIVA,PR,CAMBIO,PODEMOS,VAMOS,TODOS,VOS,BIEN,U R N G - MAIZ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8062,"Escuintla",5,"Palín",11,929,400,75,92,6,2,0,16,53,3,1,6,2,0,46,0,0,0,0,302,14,0,316,0,316,0,400,84,302,316,316,,1,e99cb744f0217dbefe9daa2a7c25e1d1e27787b8b7a119f913dbfc939745ddb5,26/06/2023 01:57:57,ESCANER
8063,"Escuintla",5,"Palín",11,929,400,77,73,6,3,2,21,52,0,3,2,0,0,55,0,2,1,3,300,13,4,317,0,317,0,400,83,300,317,317,,1,d94f3ce5bf0e76e957d146da0b05a4d0239b5e23bfc06338ec10fbdf73d7c753,26/06/2023 10:12:06,ESCANER
8064,"Escuintla",5,"Palín",11,929,400,70,81,5,5,4,17,47,2,6,6,1,0,52,0,1,0,2,299,18,3,320,2,322,2,400,78,299,320,322,,1,fcafa35466dd295516ad2471d62976502b3399a1c9b5b230054eb793863e41ab,26/06/2023 10:05:28,ESCANER
8065,"Escuintla",5,"Palín",11,929,400,86,74,4,2,1,12,59,1,3,6,0,0,46,0,0,0,2,296,12,6,314,0,314,0,400,86,296,314,314,,1,ad8399c8054e7f3ccd9dfee9f1bedc13a7012da99126ef80da0c9c3c77972dec,26/06/2023 03:03:22,ESCANER
8066,"Escuintla",5,"Palín",11,930,400,86,82,6,2,1,16,50,0,5,6,0,0,53,0,1,0,5,313,12,1,326,0,326,0,400,74,313,326,326,,1,4a54e7f506ceeefa66f29232f1462e0c06125b8bf09097e73279dbe5008c816c,26/06/2023 12:44:09,ESCANER
8067,"Escuintla",5,"Palín",11,930,400,92,73,4,3,3,17,44,1,3,9,0,0,40,0,2,0,2,293,4,1,298,0,298,0,399,101,293,298,298,,1,66f1695fd8f36a8e5e058ffb204d5f1f30ecae596061fa6380058b1ea16ea7c9,26/06/2023 12:58:43,ESCANER
8068,"Escuintla",5,"Palín",11,930,400,93,71,3,4,7,9,47,3,2,5,1,0,45,1,0,0,4,295,14,1,310,0,310,0,400,87,295,310,310,,1,b6cdf2906c1384d001ecf9c112d0aa055825f35617ebdda82f4d89272b71bb6a,26/06/2023 12:43:39,ESCANER
8069,"Escuintla",5,"Palín",11,930,400,82,75,8,0,6,19,57,0,1,5,0,0,49,3,2,3,5,315,15,1,331,0,331,0,399,68,315,331,331,,1,cc02e1ad34a3f05abb490dcf97d872c3f2464790351d3517a8ac702f38153609,27/06/2023 15:51:00,ESCANER
8070,"Escuintla",5,"Palín",11,930,400,89,70,12,2,5,9,51,5,2,6,1,0,52,1,0,0,3,308,12,3,323,0,323,0,400,77,308,323,323,,1,3a3f7689b032f87fa7e7a6fb67395e820eb52eb3a7f2642a8a9d1b89244c0392,26/06/2023 12:45:44,ESCANER
8071,"Escuintla",5,"Palín",11,930,400,81,74,3,3,10,11,53,1,1,4,0,0,56,0,1,1,1,300,9,1,310,0,310,0,400,90,300,310,310,,1,ee1442b8d30b71c73ef843d5770ce160b11d7e64a7d2a3d254993b9c9868e606,26/06/2023 12:51:59,ESCANER
8072,"Escuintla",5,"Palín",11,930,400,78,71,4,2,2,19,49,1,4,6,0,0,45,0,0,0,3,284,15,2,301,0,301,0,397,96,284,301,301,,1,02241876b552018d4fa567db515919d241c5adef79fda4ae656430fc307be97f,26/06/2023 12:54:11,ESCANER
8073,"Escuintla",5,"Palín",11,930,400,67,87,4,3,1,20,42,0,2,7,0,0,43,1,1,0,4,282,16,6,304,0,304,0,400,96,282,304,304,,1,7ba1eba1c64010a589067feb9313e01aebbf3baa9cf265ebba78a6fffce29eb2,27/06/2023 18:40:08,ESCANER
8074,"Escuintla",5,"Palín",11,931,400,73,87,9,1,3,15,56,1,3,8,0,0,49,1,3,0,5,314,10,1,325,0,325,1,400,74,314,325,325,,1,58515eca9f381ad5c75da181677806afe42c274062f3b0fcf8649e1e8892a779,26/06/2023 10:26:03,ESCANER
8075,"Escuintla",5,"Palín",11,931,400,67,95,2,1,4,18,42,2,3,9,1,0,42,0,2,0,2,290,2,3,295,0,295,0,400,105,290,295,295,,1,7504d88825ce5027014d045d5d12ee4065fc5acba698c6c0a392a5a92a50adbb,26/06/2023 10:34:08,ESCANER
