TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
33,33,100.0000,33,100.0000,0,12457,9238,74.1591

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,AZUL,VAMOS,UNE,VICTORIA,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8156,"Escuintla",5,"San Vicente Pacaya",12,947,400,76,6,4,109,46,53,1,295,10,2,307,0,307,--,400,93,295,307,307,Algún campo sin dato,1,7f15b2ffd83a2ef1fb11de6c5bac6f5bcb3a39feb8d9e86b89516d210b80ad8a,26/06/2023 01:18:56,ESCANER
8157,"Escuintla",5,"San Vicente Pacaya",12,947,400,74,7,3,104,50,55,2,295,15,1,311,0,311,--,400,89,295,311,311,Algún campo sin dato,1,34f1331361796bcb1c07ca8a780cc81882f07bcb8c52740bbd734aaca04a2673,26/06/2023 00:34:31,ESCANER
8158,"Escuintla",5,"San Vicente Pacaya",12,948,400,90,7,4,92,63,37,5,298,20,2,320,0,320,--,400,80,298,320,320,Algún campo sin dato,1,a3ac67745a32bdf1d1f85494e0ab9bdf908bcde22676511d54cf9ed2a8a85e2f,26/06/2023 01:20:46,ESCANER
8159,"Escuintla",5,"San Vicente Pacaya",12,948,400,90,9,4,87,50,56,0,296,21,6,323,0,323,--,400,77,296,323,323,Algún campo sin dato,1,472bedb62890f037e9a8ff62897d1273d9f028e8728fecd6d46a6790bc46fea4,26/06/2023 00:51:31,ESCANER
8160,"Escuintla",5,"San Vicente Pacaya",12,948,400,83,10,4,97,53,49,1,321,22,2,321,0,321,--,400,79,297,321,321,Sumas Asentadas sin cuadrar,1,e28154969bc19fe1d1075d6a787ac2fad04e4372bf2bdea2deaac2fbe716fa3b,26/06/2023 00:22:55,ESCANER
8161,"Escuintla",5,"San Vicente Pacaya",12,948,400,89,10,0,105,70,56,1,331,11,3,345,0,345,--,400,55,331,345,345,Algún campo sin dato,1,d95ed2eb6f95c80fd7128a0ca6086a0d1f9a752a66855d683449dc52825ff645,26/06/2023 03:24:25,ESCANER
8162,"Escuintla",5,"San Vicente Pacaya",12,949,400,92,6,2,113,51,48,3,315,22,2,339,0,339,1,400,60,315,339,339,,1,d005391b9bdb82e9ab6f0bfa2c7d964c6bb1af4ab9eb8c29faf908c3afa762ae,26/06/2023 00:00:50,ESCANER
8163,"Escuintla",5,"San Vicente Pacaya",12,949,400,80,10,4,115,64,51,1,325,12,6,343,0,343,--,343,57,325,343,343,Algún campo sin dato,1,95b7470d52ee3ba5d7269d54c009c99fe640c66d175114e01b4eb215282bc09f,26/06/2023 01:42:46,ESCANER
8164,"Escuintla",5,"San Vicente Pacaya",12,949,400,94,10,2,98,53,47,6,310,22,4,336,0,336,--,400,64,310,336,336,Algún campo sin dato,1,0efb66c71541ed6a42861e62fc6f3b87b205dd281e679706065fbf4a192c85fc,26/06/2023 03:47:37,ESCANER
8165,"Escuintla",5,"San Vicente Pacaya",12,949,400,112,13,3,98,26,42,4,298,23,4,325,0,325,--,397,72,298,325,325,Algún campo sin dato,1,0e5ef883e2a487a64ea64c1cb067846210468d7626e07467e47ceafb651e231d,26/06/2023 00:36:03,ESCANER
