TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
112,112,100.0000,112,100.0000,0,41832,23161,55.3667

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,CABAL,PPN,UNE,VAMOS,AZUL,MLP,CAMBIO,PODEMOS,VIVA,TODOS,VOS,MI FAMILIA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8189,"Escuintla",5,"Nueva Concepción",13,957,400,38,42,22,36,13,1,0,1,6,36,22,2,3,1,223,34,4,261,0,261,0,400,139,223,261,261,,1,ba1f7b69a08769ea98e43db1df02ae7529b0ad0120efaec46c5988d9b5b90ac5,26/06/2023 00:58:41,ESCANER
8190,"Escuintla",5,"Nueva Concepción",13,957,400,39,45,32,32,19,3,1,2,5,27,13,2,4,0,224,41,5,270,0,270,--,400,127,224,270,270,Algún campo sin dato,1,1f2a00069c7353768ea1653eff271f8ffb6a4b50bd1e5da804e537415d7833a6,26/06/2023 01:32:06,ESCANER
8191,"Escuintla",5,"Nueva Concepción",13,957,400,38,38,23,39,13,0,0,2,15,25,22,2,1,4,222,32,4,258,0,258,--,400,142,222,258,258,Algún campo sin dato,1,b91b9145b27f4d86b8045412b4c1135d3805b18c11b5865c9aba7540c1e48179,26/06/2023 01:11:24,ESCANER
8192,"Escuintla",5,"Nueva Concepción",13,957,400,28,37,22,28,9,0,0,0,5,27,27,1,2,2,188,52,4,244,2,246,2,413,167,188,244,246,,1,3cd1934e32fdac42e9d94fbe675fb55e633a2dada767a03206be604e5971dd5c,26/06/2023 01:20:33,ESCANER
8193,"Escuintla",5,"Nueva Concepción",13,957,400,36,27,30,36,20,2,0,2,5,30,26,1,1,1,258,41,1,258,0,258,0,400,142,217,259,259,Sumas Asentadas sin cuadrar,1,62ab0b2486715ef7f1b9bfde7881cbeb65b1bc7d17ed54018e5740869f550a8a,26/06/2023 01:54:12,ESCANER
8194,"Escuintla",5,"Nueva Concepción",13,957,400,38,30,25,39,12,1,0,1,8,28,33,5,4,0,224,28,3,255,0,255,--,397,142,224,255,255,Algún campo sin dato,1,40ef663d51a52b479d148a1d657d7f79c294fca42a384bc9cdc0cee2fc59210f,26/06/2023 01:11:00,ESCANER
8195,"Escuintla",5,"Nueva Concepción",13,957,400,50,32,25,36,20,4,0,2,4,27,25,2,3,0,230,27,4,261,0,261,0,400,139,230,261,261,,1,0f59b325384d13546469de2e3de91528370b51e32e588654e115d6e441aeb376,26/06/2023 01:02:38,ESCANER
8196,"Escuintla",5,"Nueva Concepción",13,957,400,35,35,20,31,13,2,0,1,8,36,34,4,1,1,221,21,0,242,0,242,1,400,157,221,242,242,,1,873543f2e75905367efd4cb91208ff860bc92dd2bbcea8886524eb23b5b59b09,26/06/2023 02:03:54,ESCANER
8197,"Escuintla",5,"Nueva Concepción",13,957,400,39,32,20,27,13,2,0,2,3,42,33,3,3,0,219,14,0,233,6,239,0,400,161,219,233,239,,1,0bd93c88d01861eb18073320f1749fe0ca7acc984c5ab29fbd50ad142f478112,26/06/2023 00:54:38,ESCANER
8198,"Escuintla",5,"Nueva Concepción",13,957,400,30,43,29,36,12,3,1,3,7,27,23,1,0,0,215,33,1,249,0,400,--,400,151,215,249,249,Sumas Asentadas sin cuadrar,1,2340f49037c81e0483c89ebe22ecf034ac8595f83578e31ee4c7cb524b08b907,26/06/2023 01:58:27,ESCANER
8199,"Escuintla",5,"Nueva Concepción",13,957,400,30,26,32,28,9,1,0,3,7,28,19,0,1,1,185,23,7,215,0,215,--,397,182,185,215,215,Algún campo sin dato,1,a4c5cebdd321dee4fa3ac314c3ceec4984cf24ab092c3384bd2cb5dc48aa6f22,26/06/2023 01:55:53,ESCANER
8200,"Escuintla",5,"Nueva Concepción",13,958,400,33,37,21,35,5,0,0,1,4,31,33,1,3,0,204,29,1,234,0,234,0,400,166,204,234,234,,1,0ed73626a3b48183202e9371fada239d4f1c9dcfc86b755a7ca70c5e3533fabd,25/06/2023 22:59:40,ESCANER
8201,"Escuintla",5,"Nueva Concepción",13,958,400,30,46,18,24,14,2,0,2,16,31,17,1,1,0,202,30,4,236,0,236,0,400,164,202,236,236,,1,003dca62496d344183c854b73f1b224df879eb3209205d9b53b9d20a1a19d735,25/06/2023 23:03:45,ESCANER
8202,"Escuintla",5,"Nueva Concepción",13,958,400,42,42,21,25,18,3,1,1,9,36,26,1,1,0,226,27,5,258,0,258,0,390,132,226,258,258,,1,cf9412272e7d6376400665deadfcfb68b5d74e3dac757f95a7d1fc81b8f28368,25/06/2023 23:43:35,ESCANER
8203,"Escuintla",5,"Nueva Concepción",13,958,400,27,52,22,41,11,1,0,1,7,35,27,6,3,0,233,34,5,272,0,272,0,400,128,233,272,272,,1,5484898c482b008bd1e3ef57f67748826fccc93eaddac0747ed52a8978a3427e,25/06/2023 22:53:58,ESCANER
