TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
33,33,100.0000,33,100.0000,0,12305,8608,69.9553

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,VAMOS,UNE,VIVA,CABAL,PODEMOS,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8301,"Escuintla",5,"Sipacate",14,970,400,156,96,3,9,2,2,0,268,12,2,282,0,282,0,400,118,268,282,282,,1,c3ffb0400c8ebfc19b620aad6433d7c60aceb0975098882f9ae509c246664016,26/06/2023 02:12:37,ESCANER
8302,"Escuintla",5,"Sipacate",14,970,400,172,103,11,14,0,0,1,301,6,3,310,0,310,0,401,91,301,310,310,,1,8fbd4105f7add8b347ebb42cfd2fd8ca18293ee9b208f5be25b0eae8b492f5a3,26/06/2023 01:11:18,ESCANER
8303,"Escuintla",5,"Sipacate",14,970,400,175,66,5,10,2,0,0,258,19,1,278,0,278,0,400,122,258,278,278,,1,cfa881eaa9cfa76eaa4b40b23d9b912af45fb079dc7ca7279cdd924d6cc50fee,26/06/2023 01:38:07,ESCANER
8304,"Escuintla",5,"Sipacate",14,970,400,179,91,7,7,1,2,0,287,21,2,310,1,311,0,397,86,287,310,311,,1,c5e6b7457908e58d3322eabb342b053e2b3c8fa5d383182596958fd625634db1,26/06/2023 00:52:57,ESCANER
8305,"Escuintla",5,"Sipacate",14,970,400,174,90,6,17,2,1,0,290,17,7,314,0,314,0,400,86,290,314,314,,1,c27a8cbbbef3f68f3774070a04c907971a164edf16e9ebc2b293ddc33f434fde,26/06/2023 02:00:23,ESCANER
8306,"Escuintla",5,"Sipacate",14,970,400,188,74,9,8,2,2,0,283,14,2,299,0,299,0,400,101,283,299,299,,1,ab633383d943a334299c4b77d064fc4a07c9e96e09b328e6d434a8797a759c52,26/06/2023 02:14:27,ESCANER
8307,"Escuintla",5,"Sipacate",14,970,400,168,85,4,11,2,1,0,171,14,5,290,0,290,0,400,110,271,290,290,Sumas Asentadas sin cuadrar,1,7159d6f19e23ec58c6eb332b30319b78deafc03913759dfeb67fc91e8dc0df2e,26/06/2023 01:20:02,ESCANER
8308,"Escuintla",5,"Sipacate",14,970,400,163,70,4,8,0,2,0,247,10,2,259,0,259,0,400,259,247,259,259,,1,50b882f8c6e34e4cd54444db0391dc96c71f282259f4d39df66a854da113349d,26/06/2023 00:19:10,ESCANER
8309,"Escuintla",5,"Sipacate",14,970,400,172,74,5,14,0,1,0,266,9,2,277,0,277,0,400,123,266,277,277,,1,e88180a969423153b730579d5cfff9bacb4c58dc3a9189412dff2f60406ea190,26/06/2023 00:06:48,ESCANER
8310,"Escuintla",5,"Sipacate",14,970,400,161,79,2,14,0,2,0,258,16,3,277,0,277,0,400,123,258,277,277,,1,1a5018c269a8b06dc3094cdbd3d09f23ff0c85cf84d81d58f2df5ddf63124393,26/06/2023 01:31:54,ESCANER
8311,"Escuintla",5,"Sipacate",14,971,400,159,75,4,10,0,1,0,249,21,1,271,0,271,0,400,129,249,271,271,,1,85f121b93ac465743b2c5295fa292a642d5bc4dca34b43deaf995dc626a0f4eb,25/06/2023 22:41:40,ESCANER
8312,"Escuintla",5,"Sipacate",14,971,400,162,71,8,17,1,0,0,259,16,3,278,0,278,0,400,122,259,278,278,,1,d0fe6b4938ea80dd7ae8be2b49e03506f2c60f2cf5ac0fc528a1c3d0c321f11c,25/06/2023 23:47:58,ESCANER
8313,"Escuintla",5,"Sipacate",14,971,400,170,90,5,10,1,3,0,279,12,3,294,0,294,0,397,106,279,294,294,,1,1635aa97ddc520585342883640075663b378c6f0de1980cfc0a1452352a0239c,25/06/2023 23:09:24,ESCANER
8314,"Escuintla",5,"Sipacate",14,971,400,153,74,3,12,0,1,0,243,19,7,269,0,243,0,400,131,243,269,269,Sumas Asentadas sin cuadrar,1,21c782dc58729fb2cdfa8e9c8a27e806b77ee5838072f3216ada27a5de5f804e,25/06/2023 23:33:35,ESCANER
8315,"Escuintla",5,"Sipacate",14,971,400,170,68,2,8,0,1,0,249,18,2,269,0,269,0,400,131,249,269,269,,1,38c214a9384e6d70b4bc0ecbc999a185fab260627ca139117d433c5a87ba71fe,25/06/2023 23:51:51,ESCANER
8316,"Escuintla",5,"Sipacate",14,971,400,165,65,4,10,1,0,0,245,11,2,258,0,258,--,400,142,245,258,258,Algún campo sin dato,1,64ce7b83f4211e213342f6783381f84889aa90e831555fd314d29ee53f417b8d,25/06/2023 23:37:27,ESCANER
8317,"Escuintla",5,"Sipacate",14,971,400,141,69,5,15,0,2,0,232,4,0,236,0,236,0,400,164,232,236,236,,1,9892596ec7a4648ffa01b9abef3512a1e5a1a891da709fb584185550800cdd0c,25/06/2023 23:54:05,ESCANER
8318,"Escuintla",5,"Sipacate",14,971,400,177,60,2,12,0,2,0,253,1,1,255,0,255,0,399,144,253,255,255,,1,e2136b79728be574c6446d119cd44cc49013e38e624e21153698fcbca62a820a,25/06/2023 23:40:11,ESCANER
8319,"Escuintla",5,"Sipacate",14,972,400,188,59,4,18,0,0,0,269,1,0,270,0,270,0,400,130,269,270,270,,1,8ec789ce390be3912ca6367e5fb27241b55b55127fdecb9a62ffdd3b94fa2dea,25/06/2023 23:55:55,ESCANER
