TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
73,72,98.6301,72,98.6301,0,26956,14463,53.6541

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,UNE,VALOR UNIONISTA,BIEN,VIVA,CABAL,AZUL,P A N,PHG,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8334,"Santa Rosa",6,"Cuilapa",1,975,400,132,0,42,11,7,1,3,2,7,0,0,205,21,4,230,0,230,--,400,170,205,230,230,Algún campo sin dato,1,f8a65c79b197ba61e703ffd0a4ad19616b4029cb2f97ce789564b28603e09679,25/06/2023 21:55:17,ESCANER
8335,"Santa Rosa",6,"Cuilapa",1,975,400,151,0,40,10,15,1,7,2,5,2,0,233,26,0,259,0,259,--,400,141,233,259,259,Algún campo sin dato,1,52b3461573f9d0c581f1235bccf32d97ec7a26fbb7716331e89d4290d446bb6a,26/06/2023 00:36:02,ESCANER
8336,"Santa Rosa",6,"Cuilapa",1,975,400,164,3,39,18,10,4,4,2,3,2,2,251,19,3,273,0,273,1,400,127,251,273,273,,1,7db3052d2776f986f4428cbda3907ec0975f484eb376a962ca47d4fa18ba5244,26/06/2023 01:08:24,ESCANER
8337,"Santa Rosa",6,"Cuilapa",1,975,400,144,1,50,15,7,4,6,3,6,2,1,239,25,0,264,2,266,--,408,131,239,264,266,Algún campo sin dato,1,89427a4d9ce9c3ec95356e1a8a57d9dca03152b963054abf73eda00d43375567,25/06/2023 23:08:26,ESCANER
8338,"Santa Rosa",6,"Cuilapa",1,975,400,175,2,50,17,7,1,6,2,4,2,3,269,17,2,288,0,288,--,400,112,269,288,288,Algún campo sin dato,1,41bb11a6dea4ed795a79e1e23856c8b849388803b0b0e9e757ae60548fc17aa6,26/06/2023 03:25:34,ESCANER
8339,"Santa Rosa",6,"Cuilapa",1,975,400,148,0,52,9,13,5,8,3,7,3,1,249,25,1,275,2,277,--,400,123,249,275,277,Algún campo sin dato,1,72b4ecd2aafc4cb8b6e8201a37538a5451d2e18a4ed59ea47e99eb5ca2a9642d,26/06/2023 01:24:04,ESCANER
8340,"Santa Rosa",6,"Cuilapa",1,975,400,154,1,34,33,10,1,8,8,2,3,0,254,24,2,280,0,280,--,399,119,254,280,280,Algún campo sin dato,1,977f40df39be04fc88f42e3758064a52272b6190b0a403f71b7c1f05b769d48a,26/06/2023 01:30:25,ESCANER
8341,"Santa Rosa",6,"Cuilapa",1,975,400,154,1,43,17,6,1,10,3,5,0,1,241,22,1,264,0,264,--,400,136,241,264,264,Algún campo sin dato,1,3cf67b4711e37550a9218be34fc03fa8ce7c71b828809232826645e4800ab26d,25/06/2023 23:16:40,ESCANER
8342,"Santa Rosa",6,"Cuilapa",1,975,400,134,2,46,9,9,3,3,1,4,0,1,212,20,1,233,1,234,--,400,166,212,233,234,Algún campo sin dato,1,0cb194bcad78b6ec9b249f6a16cf5a829d6070c66b85ea6ffba9c49e629375b4,26/06/2023 00:08:48,ESCANER
8343,"Santa Rosa",6,"Cuilapa",1,975,400,138,3,36,16,13,3,3,2,6,2,0,222,15,3,240,0,240,3,400,157,222,240,240,,1,c403d9ddac4f879f50dc062bff34f9e5cb5f6b0f0e83ef8423c673b904a8cdf0,26/06/2023 04:05:31,ESCANER
8344,"Santa Rosa",6,"Cuilapa",1,975,400,145,1,35,20,6,4,10,3,4,1,0,229,25,1,255,0,229,--,400,145,229,255,255,Sumas Asentadas sin cuadrar,1,ab2a6cb5998fa97524c203646c81025edc1b656ccc1d9a1746d1b2fc01562b37,25/06/2023 23:26:05,ESCANER
8345,"Santa Rosa",6,"Cuilapa",1,975,400,149,2,31,11,5,2,4,1,7,1,1,214,14,0,228,0,228,--,398,170,214,228,228,Algún campo sin dato,1,81b8f7356c5042fb86064bcdd39fb2e6a9b4317115e3fdd31eab0f4d1b465139,25/06/2023 23:49:41,ESCANER
8346,"Santa Rosa",6,"Cuilapa",1,975,400,148,1,42,19,8,2,5,2,3,1,1,232,16,0,248,0,248,--,400,152,232,248,248,Algún campo sin dato,1,9e603d7063ed59cf24678b554a09deedd7d260c32cd99bf58264c838165bc7a9,25/06/2023 22:41:26,ESCANER
8347,"Santa Rosa",6,"Cuilapa",1,975,400,136,1,37,17,13,4,6,2,14,0,0,230,12,0,242,0,242,1,399,156,230,242,242,,1,91c2727d1a331da4e5e764a8d4a3fafb5d999545f3a01a976b904b877e7fc594,26/06/2023 04:03:45,ESCANER
8348,"Santa Rosa",6,"Cuilapa",1,975,400,122,1,35,20,3,3,10,2,4,1,3,204,10,1,215,0,215,--,400,185,204,215,215,Algún campo sin dato,1,294e977d92030007d33032ac54c0553fd0e1fa7934e6b17096cfc5b5545d1fd9,25/06/2023 23:17:50,ESCANER
8349,"Santa Rosa",6,"Cuilapa",1,975,400,124,1,30,8,4,2,10,1,5,1,0,186,13,0,199,0,199,--,400,201,186,199,199,Algún campo sin dato,1,899dade4767945756f420ad8c61e5ab030da2b2f2e33c194d085e89f658a5c4f,26/06/2023 01:49:13,ESCANER
8350,"Santa Rosa",6,"Cuilapa",1,975,400,113,3,49,12,3,1,3,5,2,0,0,191,14,18,223,0,223,--,400,177,191,223,223,Algún campo sin dato,1,f09520768395a5282a413d495aa1bc146218b3c0defd0e897d519342941a7863,25/06/2023 23:05:41,ESCANER
