TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,95,97.9381,2,36309,22010,60.6185

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,AZUL,VIVA,PPN,TODOS,P A N,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8407,"Santa Rosa",6,"Barberena",2,986,400,87,12,32,0,5,3,1,1,69,210,39,3,252,1,253,--,400,147,210,252,253,Algún campo sin dato,1,e37d9f690a7a8a7a54dbaf20460bbbaa0adc8d8f4087d8308555e12ce70d4a08,26/06/2023 01:23:27,ESCANER
8408,"Santa Rosa",6,"Barberena",2,986,400,72,14,28,1,3,1,2,4,93,218,42,4,264,0,264,--,391,127,218,264,264,Algún campo sin dato,1,14d34b7f676f634ecb5720daa27d58589d21c479c2472e486eee39437e3e2b20,26/06/2023 00:07:48,ESCANER
8409,"Santa Rosa",6,"Barberena",2,986,400,81,16,22,0,4,1,0,0,98,222,42,2,266,0,266,--,400,134,222,266,266,Algún campo sin dato,1,0f7ddc45371d00abd0b5141a6e3c9ee4b5aa89cd39843eb72383911518cf872c,25/06/2023 22:30:50,ESCANER
8410,"Santa Rosa",6,"Barberena",2,986,400,101,10,17,2,2,4,2,1,89,228,41,2,271,0,271,--,400,129,228,271,271,Algún campo sin dato,1,07f383ac01d12f5ee21b32f89033f3ceedcfc15167b89e85ef9dcc7477d393c6,26/06/2023 01:46:14,ESCANER
8411,"Santa Rosa",6,"Barberena",2,986,400,109,16,21,1,4,5,1,0,82,239,26,4,269,2,271,--,400,129,239,269,271,Algún campo sin dato,1,eb56c4d9dad45ba87f5ede2ba103d4d2e0eafe826391d9a561c1357521b9f00d,26/06/2023 00:53:45,ESCANER
8412,"Santa Rosa",6,"Barberena",2,986,400,92,17,13,3,3,4,1,2,73,208,32,5,245,5,250,--,400,150,208,245,250,Algún campo sin dato,1,86a41eba2044d5074e218350164306d2445a966bf21f3e6cb2ddf5f378e1bea7,25/06/2023 23:56:22,ESCANER
8413,"Santa Rosa",6,"Barberena",2,986,400,91,18,30,3,3,5,1,0,86,237,45,4,286,49,286,--,400,114,237,286,335,Sumas Asentadas sin cuadrar,1,09a1c24ca8d26d0a8f0818db84e57ccffa3e8a408b434d9ac37d0595cf7d4a68,26/06/2023 01:52:08,ESCANER
8414,"Santa Rosa",6,"Barberena",2,986,400,82,16,22,4,3,5,4,1,87,224,47,1,272,0,272,--,400,128,224,272,272,Algún campo sin dato,1,d6671b206367a29707d6832728c7063415d670fc7f6c6dd3d068379e7602130f,26/06/2023 01:07:45,ESCANER
8415,"Santa Rosa",6,"Barberena",2,986,400,99,14,30,3,4,1,3,0,100,254,41,3,298,--,298,--,400,102,254,298,298,Algún campo sin dato,1,ab39f04543536308f990b6d2eda227ce64e2f323cec40db1d5f9ccfaa24d2b8b,25/06/2023 23:04:59,ESCANER
8416,"Santa Rosa",6,"Barberena",2,986,400,84,13,32,0,3,3,3,0,77,215,36,4,255,0,255,--,400,145,215,255,255,Algún campo sin dato,1,5fdaa765f4257ee3bf093e387f4cb64dbc9f08189ff178d1a4e16d576682c98d,26/06/2023 01:21:54,ESCANER
8417,"Santa Rosa",6,"Barberena",2,986,400,99,19,12,1,2,2,1,0,84,243,21,1,243,0,243,2,400,157,220,242,242,Sumas Asentadas sin cuadrar,1,70e7e0649e3a8f5beb93cc9b5dae4a536fb9357d02dc733773e3eec35ba325b9,26/06/2023 01:15:12,ESCANER
8418,"Santa Rosa",6,"Barberena",2,986,400,73,11,21,2,3,2,0,1,80,193,29,0,222,0,222,--,400,178,193,222,222,Algún campo sin dato,1,5065fb5eec8eceb394a5e6aec9b2ad745af1267fd36d036c9eebff47b2ad6f75,25/06/2023 22:57:23,ESCANER
8419,"Santa Rosa",6,"Barberena",2,987,400,91,8,19,2,4,6,1,0,81,212,29,0,241,0,241,--,397,156,212,241,241,Algún campo sin dato,1,39f46954ce8616c92698fef309c96cd1897f686080bf2b575a346bfc0eee4306,26/06/2023 02:39:53,MOVIL
8420,"Santa Rosa",6,"Barberena",2,987,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Suma Excede Padrón,0,d167c37ed2a4e66cf1a2571b178579e29f7fd11ffd1e27cc3c2367192264d78f,26/06/2023 05:42:41,MOVIL
8421,"Santa Rosa",6,"Barberena",2,987,400,88,10,21,2,2,1,4,0,74,202,27,2,231,0,231,--,400,169,202,231,231,Algún campo sin dato,1,9d7a3e5688b7c0412a584ef86e6d2b9afbdca507686d14185009558fbd031486,26/06/2023 02:36:17,MOVIL
8422,"Santa Rosa",6,"Barberena",2,987,400,79,15,27,2,2,2,5,0,82,214,36,3,253,0,253,--,400,144,214,253,253,Algún campo sin dato,1,e3f9e4ade2a34477c5ce461c2cadae0c0aadfc636f2307d4f3920a430a53b483,26/06/2023 02:18:56,MOVIL
8423,"Santa Rosa",6,"Barberena",2,988,400,100,13,16,2,3,1,1,1,77,214,23,5,242,0,242,1,400,158,214,242,242,,1,c2104a2169e0b082b4f6af95e57668d5aadfcb87d8437cb7bdf6f32f743422cb,25/06/2023 23:38:15,ESCANER
8424,"Santa Rosa",6,"Barberena",2,988,400,95,10,17,3,4,0,1,1,87,218,27,1,246,0,246,--,400,154,218,246,246,Algún campo sin dato,1,5f9dedaddad77d3abb104faef52f8ac6fec03a0a7cb5aa2f32ec6bcb26cd6e3b,26/06/2023 00:34:17,ESCANER
8425,"Santa Rosa",6,"Barberena",2,988,400,81,10,21,1,5,1,2,0,89,210,38,2,250,0,250,--,399,149,210,250,250,Algún campo sin dato,1,f71135899be299d3bb163f77a0eb322cb69d3f3a0a0ca7073c67f89a7fa7b19a,26/06/2023 00:06:10,ESCANER
8426,"Santa Rosa",6,"Barberena",2,988,400,82,14,17,1,3,1,2,0,102,222,28,2,252,0,252,--,400,148,222,252,252,Algún campo sin dato,1,57ed682c9fa605a24785a453e6f69a96dbaf9a0138f425900b776177a5e75d46,26/06/2023 00:37:24,ESCANER
8427,"Santa Rosa",6,"Barberena",2,988,400,75,10,19,2,6,3,2,1,81,199,32,2,233,0,233,--,400,167,199,233,233,Algún campo sin dato,1,626fc5e929ce6b61270c20b8fd10d985e19e3837510c174514cfabae0149aeb3,26/06/2023 00:56:32,ESCANER
8428,"Santa Rosa",6,"Barberena",2,988,400,80,12,19,1,4,4,3,0,80,203,34,2,239,0,239,--,400,161,203,239,239,Algún campo sin dato,1,0d58acbec0b7934af48d95fbda057dff987e6bf82a4eeeda4b975c556c47c098,25/06/2023 23:54:28,ESCANER
8429,"Santa Rosa",6,"Barberena",2,988,400,93,10,18,4,2,1,1,0,63,192,29,2,223,0,223,--,400,177,192,223,223,Algún campo sin dato,1,49eb91fd587da0e565aca1e57d7f262c5d56a6fe877dd1071c891f62958fa691,25/06/2023 23:46:04,ESCANER
8430,"Santa Rosa",6,"Barberena",2,988,400,66,10,18,1,2,3,1,0,78,179,26,0,205,0,205,--,400,195,179,205,205,Algún campo sin dato,1,8053dd3e866e5f31cd228f3c31fec129c005a6e9e93d5a65db5c4c75680150a9,25/06/2023 23:25:20,ESCANER
8431,"Santa Rosa",6,"Barberena",2,989,400,75,10,14,1,1,2,1,1,61,166,22,2,190,0,190,--,400,210,166,190,190,Algún campo sin dato,1,f9097ca89c5ed1d1195be5491dd3962ca86323a33e5903a66a1974e754a5f1b7,26/06/2023 01:12:20,ESCANER
8432,"Santa Rosa",6,"Barberena",2,989,400,69,7,17,2,3,1,0,2,64,165,10,4,179,0,179,--,400,221,165,179,179,Algún campo sin dato,1,db7a1d52dbe4f69f6670f00f44e387727e4e39531558e03d067d3f30343f9d54,25/06/2023 22:23:13,ESCANER
8433,"Santa Rosa",6,"Barberena",2,989,400,97,17,13,6,1,4,1,1,87,227,22,0,249,0,249,--,400,151,227,249,249,Algún campo sin dato,1,eca3d4e8a6ec071bc3b6b2fbc0ca601517c04b164b3147d4ea38f90b2c5ca8a1,25/06/2023 23:28:50,ESCANER
8434,"Santa Rosa",6,"Barberena",2,989,400,116,15,10,2,2,1,1,0,88,235,20,1,256,0,256,--,400,144,235,256,256,Algún campo sin dato,1,91bfc4edb081a1fb1068e3cac98487c36cd708bb0e5c015941a5dc314cfc314b,26/06/2023 01:00:06,ESCANER
8435,"Santa Rosa",6,"Barberena",2,989,400,72,8,16,2,5,2,1,0,65,171,26,0,197,0,197,--,400,203,171,197,197,Algún campo sin dato,1,1f38fa8f56be718c6ecbd45163287860d97ac02d8b456c693c04f261e8b2ce84,26/06/2023 00:25:39,ESCANER
8436,"Santa Rosa",6,"Barberena",2,989,315,61,9,5,0,1,0,0,0,44,120,21,0,141,0,141,--,315,174,120,141,141,Algún campo sin dato,1,5eef306854a0ff5eb06d39e5731dc37ce6221d99b15de871e4ea9aaf1aec9306,26/06/2023 00:06:42,ESCANER
