TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
38,38,100.0000,38,100.0000,0,13572,8007,58.9964

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,CCS,VALOR UNIONISTA,BIEN,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8504,"Santa Rosa",6,"Santa Rosa De Lima",3,1001,400,91,61,30,44,1,5,232,15,6,253,0,253,--,397,144,232,253,253,Algún campo sin dato,1,75abe7fe97109c5ee1f64e64bde026caf9d6463e190c0b52c7a13005e5369c63,26/06/2023 00:58:37,ESCANER
8505,"Santa Rosa",6,"Santa Rosa De Lima",3,1001,400,104,58,38,44,1,3,248,12,5,265,0,265,--,397,132,248,265,265,Algún campo sin dato,1,aa4a208572f598602ca1e013d6f2883b027606567e21cacf5a1530395418a847,25/06/2023 23:27:17,ESCANER
8506,"Santa Rosa",6,"Santa Rosa De Lima",3,1001,400,98,46,47,41,6,2,240,11,2,253,0,253,--,400,147,240,253,253,Algún campo sin dato,1,9c5f8fd58bc347ff8f88fc5424ab07603c71d8f0dd64add75beb02f818a63bc5,26/06/2023 01:17:13,ESCANER
8507,"Santa Rosa",6,"Santa Rosa De Lima",3,1001,400,88,63,48,25,5,2,249,14,4,249,0,249,--,400,151,231,249,249,Sumas Asentadas sin cuadrar,1,d3b5947aed9487648c86e97e5268b493d9fa20ab8aa0d5b85cdb1c5575c97e1d,26/06/2023 00:44:02,ESCANER
8508,"Santa Rosa",6,"Santa Rosa De Lima",3,1001,400,106,53,55,20,2,1,237,7,2,246,0,246,--,400,154,237,246,246,Algún campo sin dato,1,02af8f83629eab1808dbb6ebbc0db0d35cf3fa1982ad9b551e4d1f9dcf822bb8,26/06/2023 00:15:13,ESCANER
8509,"Santa Rosa",6,"Santa Rosa De Lima",3,1001,400,123,52,45,46,6,2,274,6,1,281,0,281,--,397,116,274,281,281,Algún campo sin dato,1,81fb9fdfb0c9fae264ff4a6b60b9e0a30aa12c08eebc24f81b32eb8125f6ccc5,26/06/2023 01:23:57,ESCANER
8510,"Santa Rosa",6,"Santa Rosa De Lima",3,1001,400,97,40,29,30,2,0,198,2,1,201,0,201,--,400,199,198,201,201,Algún campo sin dato,1,1fab23a59b601fe9a594505df23bc691dddc81916492f66977b8270353b48383,26/06/2023 00:29:26,ESCANER
8511,"Santa Rosa",6,"Santa Rosa De Lima",3,1001,400,83,56,30,31,3,1,204,13,1,218,0,218,--,400,182,204,218,218,Algún campo sin dato,1,e74c82fb8423af6f72dac8f45cf71f36c3945e1aa1504af42088d7a69e18fae0,25/06/2023 22:54:35,ESCANER
8512,"Santa Rosa",6,"Santa Rosa De Lima",3,1001,400,96,43,32,32,3,2,208,5,0,213,0,213,--,400,187,208,213,213,Algún campo sin dato,1,d1d603064019f25733895ebcf373c930b375a85619709aee66755cce8a59fd1d,26/06/2023 02:59:05,ESCANER
8513,"Santa Rosa",6,"Santa Rosa De Lima",3,1001,400,106,47,23,40,5,1,222,1,0,223,0,223,--,400,177,222,223,223,Algún campo sin dato,1,de8b3f011d5b61713c111ef6ae12ee743b4fba9ec61ceaa15029aa77735e2407,26/06/2023 01:20:23,ESCANER
