TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
40,40,100.0000,40,100.0000,0,15087,7879,52.2237

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,AZUL,VAMOS,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8542,"Santa Rosa",6,"Casillas",4,1008,400,103,0,2,52,39,3,199,23,4,226,0,226,--,400,174,199,226,226,Algún campo sin dato,1,c55f34d0819295d3d4bdfbfd12f9900a5902f1d32ffb69adb16f8649a26af903,25/06/2023 22:28:36,ESCANER
8543,"Santa Rosa",6,"Casillas",4,1008,400,111,0,3,59,38,3,214,18,9,241,0,241,1,400,159,214,241,241,,1,09bb77a86d8e89c84d13389f24b9f5c02dd8f152f73abb6992905b46fc048a35,25/06/2023 22:59:05,ESCANER
8544,"Santa Rosa",6,"Casillas",4,1008,400,114,0,5,65,47,3,234,12,5,251,0,251,--,400,149,234,251,251,Algún campo sin dato,1,dc0cc08210c594df10b5d64b13fd159547b7c1703a06b836330cfa9d9c5c4fbb,25/06/2023 22:39:32,ESCANER
8545,"Santa Rosa",6,"Casillas",4,1009,400,90,4,7,64,41,4,210,24,6,240,0,240,--,400,160,210,240,240,Algún campo sin dato,1,f953504a93dbd654870612baf8103a786d3c6de698af4a6d644ac5541a447ca3,26/06/2023 00:05:54,ESCANER
8546,"Santa Rosa",6,"Casillas",4,1009,400,115,3,1,54,53,1,227,29,5,261,0,261,--,396,135,227,261,261,Algún campo sin dato,1,1f5c46e2da15a436674e97678498a7539ca8f5923a2234b9f7d181f9b1389ac4,26/06/2023 00:14:57,ESCANER
8547,"Santa Rosa",6,"Casillas",4,1009,400,108,1,1,68,45,6,229,16,7,252,0,400,--,400,148,229,252,252,Sumas Asentadas sin cuadrar,1,cf50db193a098397595fc5f6cd93681f338cec72cba3b53f559484e8ae07bfb0,25/06/2023 23:04:39,ESCANER
8548,"Santa Rosa",6,"Casillas",4,1009,400,106,0,7,53,29,2,197,23,10,230,0,230,--,400,170,197,230,230,Algún campo sin dato,1,5a3bf5243507751eaef31f477fd91ea781899729da56d3d18ba2eb19d67aa01f,25/06/2023 23:31:25,ESCANER
8549,"Santa Rosa",6,"Casillas",4,1009,400,90,0,3,49,40,3,185,12,3,200,--,--,1,400,200,185,200,200,Algún campo sin dato,1,0552f922758ca5db4c2494e03124291d1e936cded17a138abe573beeac48f48f,25/06/2023 22:25:01,ESCANER
8550,"Santa Rosa",6,"Casillas",4,1009,400,105,2,2,55,41,2,207,11,3,221,0,221,--,399,178,207,221,221,Algún campo sin dato,1,b0af54ad2ccc9ba918aefc4ec1401b63f23ec821e9dc108d6d948c6e6e33405d,26/06/2023 00:49:43,ESCANER
8551,"Santa Rosa",6,"Casillas",4,1009,400,91,0,2,44,37,4,178,7,3,188,0,188,--,400,212,178,188,188,Algún campo sin dato,1,68823ed13dbbe0e0f9ac40f081ae06fa9f303aa5273b5f4990c1372ebaed74a0,25/06/2023 23:24:51,ESCANER
