TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
25,25,100.0000,25,100.0000,0,9648,6179,64.0443

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,MLP,VAMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8582,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,133,53,1,49,3,239,4,3,246,0,246,--,400,154,239,246,246,Algún campo sin dato,1,aab57bbf22e361abe96bae23b7ee8a563a77b2de99afb5c680b9414f28f6a06c,26/06/2023 01:23:32,ESCANER
8583,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,102,90,3,54,7,256,10,3,269,1,270,--,400,130,256,269,270,Algún campo sin dato,1,0d81337b7ab17ed96ee19827f1256640a6da31eab016d5c5466bdd19206fa74a,26/06/2023 02:58:45,ESCANER
8584,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,138,91,4,35,3,288,11,6,288,0,288,--,400,112,271,288,288,Sumas Asentadas sin cuadrar,1,5d777f85436af0a39a932597dfdb2bf221ed0c29dc67587a0fb7dbd71f51a93b,26/06/2023 01:23:28,ESCANER
8585,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,151,97,3,35,6,292,10,4,306,0,306,--,400,94,292,306,306,Algún campo sin dato,1,ca165fb5217103aa15a598f951bad771b00aa5d7ea7629888bb01fccd67e7858,26/06/2023 01:11:04,ESCANER
8586,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,144,85,0,49,4,282,15,4,301,0,301,1,400,98,282,301,301,,1,8310ab060496b786fc289b490d3fb8f9e966a6db0c92676004b3f714b2e59dbc,26/06/2023 02:54:46,ESCANER
8587,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,142,93,3,44,4,286,11,4,301,0,301,--,400,99,286,301,301,Algún campo sin dato,1,f5204d76c717ee26ae5f0189fefc5b25eee9c090ef988678180334da057a73ff,26/06/2023 00:45:17,ESCANER
8588,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,158,100,0,44,1,318,8,7,318,0,318,--,400,82,303,318,318,Sumas Asentadas sin cuadrar,1,00588a59121632a8589eacd1d8b93d7163c4e09997cef6131c83c6966a73b227,26/06/2023 03:26:39,ESCANER
8589,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,129,130,1,27,3,290,5,5,301,0,301,--,400,99,290,300,300,Sumas Asentadas sin cuadrar,1,a8eac6c4c26712bcae153dfedbf8ef8de749eef3b29ff575a77773aa61cedf0e,26/06/2023 03:36:55,ESCANER
8590,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,139,116,0,28,6,289,7,6,302,0,302,--,397,95,289,302,302,Algún campo sin dato,1,75052dbf431dfdd16167e504bc0c78a5d18359ede0587cea98d97dc134aa7037,26/06/2023 01:38:00,ESCANER
8591,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,114,134,1,42,0,291,6,0,297,0,297,2,400,103,291,297,297,,1,347465d0c34dad1a9b0806707241dc10a1fdd6e9a027adbff474da7fade45170,26/06/2023 02:12:16,ESCANER
8592,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,129,105,4,31,2,271,2,2,275,0,275,--,400,125,271,275,275,Algún campo sin dato,1,522f7e7df52ddeaadabc950941822387798b6afc0d90dbd5aafe76bc168e14ee,26/06/2023 00:49:41,ESCANER
8593,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,127,65,0,30,5,227,2,0,229,0,229,--,400,171,227,229,229,Algún campo sin dato,1,6c7983e454c7377178c0f8a18e887c95d317a7bc15965f91e686f3366732a764,26/06/2023 02:05:32,ESCANER
8594,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,128,66,0,30,5,229,3,0,232,0,232,--,400,168,229,232,232,Algún campo sin dato,1,ad732e3ce76997c5e7a0de02ede71ef4fd707193cd53611510f2b31ab5888439,26/06/2023 01:05:29,ESCANER
8595,"Santa Rosa",6,"San Rafael Las Flores",5,1017,400,126,53,3,41,3,226,8,0,234,0,234,--,400,166,226,234,234,Algún campo sin dato,1,68006d64e53cad3334bcf84ce3075194fddb228a1bfd08592ab90253e887b91c,26/06/2023 01:32:10,ESCANER
