TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
43,43,100.0000,43,100.0000,0,15988,9587,59.9637

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,MLP,UNE,BIEN,PPN,SEMILLA,VIVA,CAMBIO,MI FAMILIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8607,"Santa Rosa",6,"Oratorio",6,1021,400,38,45,0,49,3,31,1,8,3,5,14,197,23,7,227,0,227,--,403,176,197,227,227,Algún campo sin dato,1,f9e24d2fc966e303f0d2e5c352a9b9ff6f1067445c6f8058e7a0df9986f7b1eb,26/06/2023 01:30:58,ESCANER
8608,"Santa Rosa",6,"Oratorio",6,1021,400,49,45,3,32,4,46,0,20,7,13,5,225,25,2,252,--,--,1,401,149,224,251,251,Sumas Asentadas sin cuadrar,1,855e795c937c63da80cca8440f43914cd1734354bf2fb05a77ed50f36ab2ba6d,26/06/2023 05:41:51,ESCANER
8609,"Santa Rosa",6,"Oratorio",6,1021,400,40,39,0,49,3,44,4,21,7,8,14,229,19,2,250,0,250,--,404,154,229,250,250,Algún campo sin dato,1,2368e82ea9e850a556e3e72f0db46fc74ab41c66e5c5c71486547d1f3ac80ed4,26/06/2023 01:56:53,ESCANER
8610,"Santa Rosa",6,"Oratorio",6,1021,400,53,66,0,34,4,32,1,16,18,11,24,259,12,1,272,0,272,--,403,131,259,272,272,Algún campo sin dato,1,c7f8124ee5af2b40b2d0080b65a3897af5776e25ec67e06386f11c8c923c15ef,26/06/2023 00:17:59,ESCANER
8611,"Santa Rosa",6,"Oratorio",6,1021,400,61,64,1,38,5,37,1,31,10,2,18,268,14,6,288,0,288,--,400,112,268,288,288,Algún campo sin dato,1,d7075d72007e3e3749454e16f608bc86da1ec936f73f6c476c3f298e9290388e,26/06/2023 02:14:35,ESCANER
8612,"Santa Rosa",6,"Oratorio",6,1021,400,73,53,2,33,3,43,0,20,8,10,13,258,8,5,271,0,271,--,400,129,258,271,271,Algún campo sin dato,1,56ca2611baf1167c36b4237b1d64246cbb2e3817ad3a4b511c5ce6a232e0a81e,26/06/2023 05:37:16,ESCANER
8613,"Santa Rosa",6,"Oratorio",6,1022,400,72,43,0,31,3,32,2,19,15,5,12,234,20,1,255,0,255,--,404,149,234,255,255,Algún campo sin dato,1,42a9802c34199844ceeb1c4231b5d9bc94ef67924675529b4022757d9c72ff5a,26/06/2023 00:05:49,ESCANER
8614,"Santa Rosa",6,"Oratorio",6,1022,400,36,52,0,32,1,39,1,12,9,8,12,202,15,0,217,0,217,--,400,183,202,217,217,Algún campo sin dato,1,6fe48e4cddfc3fd3094060856913738355725b01d7d2ad7e43f1f3222c6caf09,26/06/2023 00:12:56,ESCANER
8615,"Santa Rosa",6,"Oratorio",6,1022,400,50,48,0,29,2,42,0,17,17,7,10,222,18,4,244,0,244,--,404,160,222,244,244,Algún campo sin dato,1,cee96d5cd9800366620b7a960fd5418b30c61a2d4e2abc222dec05b8159edd41,26/06/2023 01:09:40,ESCANER
8616,"Santa Rosa",6,"Oratorio",6,1022,400,44,61,0,38,4,29,2,14,8,8,20,228,15,5,248,0,248,--,400,152,228,248,248,Algún campo sin dato,1,8dc488c9f42e330ebd6964aec7bddb8d78cee3e704209d7addd676a3f2189abd,26/06/2023 01:55:50,ESCANER
