TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
104,104,100.0000,104,100.0000,0,38583,23091,59.8476

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,UNE,BIEN,PODEMOS,CABAL,AZUL,MI FAMILIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8671,"Santa Rosa",6,"Chiquimulilla",8,1038,400,136,2,83,4,1,12,4,1,14,257,15,3,275,0,275,--,400,125,257,275,275,Algún campo sin dato,1,6cfc1a9a64b585c026339c9072f2d00e09406ff378156aef16bcba2b42701470,25/06/2023 23:56:07,ESCANER
8672,"Santa Rosa",6,"Chiquimulilla",8,1038,400,126,3,97,3,0,13,2,3,11,258,10,1,269,0,269,--,400,131,258,269,269,Algún campo sin dato,1,41315959f9a8e201b380d2180b6ecc211938eead961cf3c642400404a56f2003,25/06/2023 22:51:03,ESCANER
8673,"Santa Rosa",6,"Chiquimulilla",8,1038,400,117,2,90,4,1,12,2,3,1,232,10,1,243,0,243,--,400,157,232,243,243,Algún campo sin dato,1,9ee1ce988e2c15a3f01c2f2255f429e44721595ef7d5cf2eb609fd8bb605813c,25/06/2023 23:23:34,ESCANER
8674,"Santa Rosa",6,"Chiquimulilla",8,1038,400,117,3,54,2,0,14,1,2,9,202,17,2,221,0,221,--,400,179,202,221,221,Algún campo sin dato,1,97e8d91eedc8953069c63b1da31b00fb1d05dc3ceb7b0c7eca8a50948d9f8ad1,26/06/2023 00:36:18,ESCANER
8675,"Santa Rosa",6,"Chiquimulilla",8,1038,369,111,4,67,2,0,12,1,0,6,203,13,0,216,0,216,--,369,153,203,216,216,Algún campo sin dato,1,0fcdc431640f2fd0f6f2e14c3c95cc4ca7bbccc306772f175adef1a1f9157d79,26/06/2023 01:22:22,ESCANER
8676,"Santa Rosa",6,"Chiquimulilla",8,1038,368,116,5,64,0,0,7,0,0,3,195,9,0,204,0,204,--,368,164,195,204,204,Algún campo sin dato,1,0970c4e3791e8078cf98f5310e53b6d93dfc44595aac42826b39c7376bdfd242,26/06/2023 00:09:56,ESCANER
8677,"Santa Rosa",6,"Chiquimulilla",8,1039,400,120,4,127,2,4,13,3,0,3,276,21,5,302,0,302,--,400,98,276,302,302,Algún campo sin dato,1,4d6e331729d9608de2db69f421f736cdf6a3bd704be85a342819cf4f16dbb2cd,26/06/2023 00:52:49,ESCANER
8678,"Santa Rosa",6,"Chiquimulilla",8,1039,400,123,3,122,3,1,10,4,2,11,279,25,4,308,0,308,--,400,92,279,308,308,Algún campo sin dato,1,3490f88c4186166a128a283484245f68d6c14fe530bab5020861a0fd6e6bb929,25/06/2023 23:09:04,ESCANER
8679,"Santa Rosa",6,"Chiquimulilla",8,1039,400,150,0,113,1,4,5,1,3,4,281,24,0,305,0,305,1,400,94,281,305,305,,1,8d9e61f05d832103ce07e9ac0e06ddbfbbbe3bf6aaa74eff695c99e2ea3a851e,26/06/2023 01:40:41,ESCANER
8680,"Santa Rosa",6,"Chiquimulilla",8,1039,400,129,1,112,1,0,13,2,2,4,264,15,1,280,0,280,--,400,120,264,280,280,Algún campo sin dato,1,9b67faa0fae6b66b9152d800d6dcd05eacabd33b26fb88aa15ad28a4bdcccc10,26/06/2023 01:22:50,ESCANER
8681,"Santa Rosa",6,"Chiquimulilla",8,1039,400,105,0,116,2,1,8,0,0,2,234,17,4,255,0,255,--,400,145,234,255,255,Algún campo sin dato,1,f511c543cb3a4e6aee9f2277d539e78208fcad3814fb00dec61e8c28aaa75e38,26/06/2023 00:54:27,ESCANER
8682,"Santa Rosa",6,"Chiquimulilla",8,1039,400,131,1,109,1,2,10,3,0,10,267,20,2,289,0,289,--,402,113,267,289,289,Algún campo sin dato,1,8bdd8cde54e0fde907f51139de1275e7f94c13f1d8f8edf484e92f9f87a62fd5,26/06/2023 00:48:00,ESCANER
8683,"Santa Rosa",6,"Chiquimulilla",8,1039,400,125,1,107,2,2,10,2,2,4,255,14,2,271,0,271,--,400,129,255,271,271,Algún campo sin dato,1,0364030e528036a0e78d5984b9bd8b22351fbc9ad6ca4d92ac86d064fbbd5931,26/06/2023 00:36:03,ESCANER
8684,"Santa Rosa",6,"Chiquimulilla",8,1039,400,119,1,113,2,4,7,1,0,4,251,16,2,269,0,269,--,400,131,251,269,269,Algún campo sin dato,1,e5863d755190ecaf3d808a0bc2afdd7178488f403cdd6daa912d76b946efadd5,26/06/2023 01:11:57,ESCANER
8685,"Santa Rosa",6,"Chiquimulilla",8,1039,400,113,0,122,3,0,8,0,1,5,252,7,3,262,0,262,--,401,139,252,262,262,Algún campo sin dato,1,d6a4d4beb98f4c66778bc0e2a62955fd74a1fd2bdb76d4ecd05a404da09be48b,26/06/2023 00:26:38,ESCANER
8686,"Santa Rosa",6,"Chiquimulilla",8,1039,353,127,1,109,4,2,5,2,0,7,257,6,0,263,0,263,--,350,87,257,263,263,Algún campo sin dato,1,c9218d676d697fdb92b720abba18769ec3e95c014e5ee99a47ba8a81769f1f54,25/06/2023 22:29:08,ESCANER
8687,"Santa Rosa",6,"Chiquimulilla",8,1039,353,100,1,80,4,0,6,0,0,5,196,9,2,207,0,207,--,353,146,196,207,207,Algún campo sin dato,1,1ce5a88ced8582387e4547ac0256af2776c5ea319474405775fad75ea7024f9d,26/06/2023 01:13:12,ESCANER
