TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
58,58,100.0000,58,100.0000,0,21025,13742,65.3602

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,VALOR UNIONISTA,UR,TUC,MI FAMILIA,CABAL,WINAQ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8775,"Santa Rosa",6,"Taxisco",9,1054,400,100,112,6,8,18,1,4,1,250,14,2,266,0,266,--,384,118,250,266,266,Algún campo sin dato,1,1260b44d7673a95efe18e3207108ce735917824d2dce4ce6f020bed8d57b85ba,26/06/2023 00:46:31,ESCANER
8776,"Santa Rosa",6,"Taxisco",9,1054,400,120,109,4,13,21,1,3,0,271,10,115,285,0,85,--,400,115,271,396,396,Sumas Asentadas sin cuadrar,1,34b523f88f4841b6906d6c18f140b40d3781511021c2f3b449481d2d98ab4875,26/06/2023 01:19:36,ESCANER
8777,"Santa Rosa",6,"Taxisco",9,1054,400,105,127,17,12,19,0,7,3,390,10,2,302,0,302,0,400,98,290,302,302,Sumas Asentadas sin cuadrar,1,a2b63cdbaac47265c981fce9eb460416ac215158d73ca2cb84bed2eb5725e3a0,26/06/2023 03:50:03,ESCANER
8778,"Santa Rosa",6,"Taxisco",9,1054,400,120,124,7,15,18,1,5,1,291,13,3,307,0,307,--,400,93,291,307,307,Algún campo sin dato,1,5743a9e41de7013ae855f5253215e4b986d436b398452a45ed97d5ee311a6568,26/06/2023 00:17:25,ESCANER
8779,"Santa Rosa",6,"Taxisco",9,1054,400,130,128,7,8,28,3,8,0,312,8,1,321,0,321,--,400,79,312,321,321,Algún campo sin dato,1,81d09f4b2e9fd17f11e5632bdf0e9074112355f8d295d2213b7eec4b63f6707b,25/06/2023 23:41:12,ESCANER
8780,"Santa Rosa",6,"Taxisco",9,1054,400,100,114,9,12,19,0,6,0,260,4,1,265,0,265,--,400,135,260,265,265,Algún campo sin dato,1,894b0906f0d72be718ad8b03642914c6691c6bb0f4976052b02305a897702c16,25/06/2023 23:53:09,ESCANER
8781,"Santa Rosa",6,"Taxisco",9,1054,400,98,113,7,12,21,0,5,1,257,5,2,264,0,264,--,400,136,257,264,264,Algún campo sin dato,1,82fa6e6bcd3e3d080fec3369704b7f5ac09de22631eda27daf7093e4a704ae73,26/06/2023 00:31:08,ESCANER
8782,"Santa Rosa",6,"Taxisco",9,1054,400,103,119,7,10,24,0,2,2,267,5,2,274,0,274,--,400,126,267,274,274,Algún campo sin dato,1,90a8fe0d1b3c80cfb5950405d624c32cc4afd31b8842159695a1a53c9dcf4fcc,25/06/2023 23:58:48,ESCANER
8783,"Santa Rosa",6,"Taxisco",9,1054,400,96,110,7,16,17,0,4,0,250,4,2,256,0,256,--,400,144,250,256,256,Algún campo sin dato,1,523c1269aba37842754d3000392f4ff4c5b4645184ed92ebbd6622be239974fe,26/06/2023 01:42:55,ESCANER
8784,"Santa Rosa",6,"Taxisco",9,1054,400,91,105,5,7,22,2,7,1,240,19,4,263,0,263,--,400,137,240,263,263,Algún campo sin dato,1,d77637348e9fbac5b0c3cd5dbba9973e826e3f283567c7196cf13cbfb1620af1,26/06/2023 00:27:01,ESCANER
